case,rung,ref_case,lifter,consumer,trial,meaning_score,abstention_rate,confabulation_rate,lift_coverage,total_tokens,reasoning_tokens
config_cross_domain,named,no-ref,gpt-5.6-sol,gpt-5.6-sol,0,0.8,0.0,0.2,1.0,2064,0
config_cross_domain,named,no-ref,gpt-5.6-sol,gpt-5-mini,0,0.6,0.0,0.4,1.0,3325,1024
config_cross_domain,named,no-ref,gpt-5.6-sol,gpt-5-nano,0,0.6,0.0,0.4,1.0,4032,1984
config_cross_domain,named,lift-only,gpt-5.6-sol,gpt-5.6-sol,0,0.8,0.0,0.2,1.0,2011,0
config_cross_domain,named,lift-only,gpt-5.6-sol,gpt-5-mini,0,0.6,0.0,0.2,1.0,3314,1088
config_cross_domain,named,lift-only,gpt-5.6-sol,gpt-5-nano,0,0.8,0.0,0.2,1.0,3757,1664
config_cross_domain,named,lift+consume,gpt-5.6-sol,gpt-5.6-sol,0,0.8,0.0,0.2,1.0,2798,144
config_cross_domain,named,lift+consume,gpt-5.6-sol,gpt-5-mini,0,0.8,0.0,0.2,1.0,4649,1600
config_cross_domain,named,lift+consume,gpt-5.6-sol,gpt-5-nano,0,0.8,0.0,0.2,1.0,4769,2048
config_cross_domain,named,no-ref,gpt-5.6-sol,gpt-5.6-sol,1,0.4,0.0,0.4,1.0,2051,70
config_cross_domain,named,no-ref,gpt-5.6-sol,gpt-5-mini,1,0.2,0.0,0.4,1.0,3205,1024
config_cross_domain,named,no-ref,gpt-5.6-sol,gpt-5-nano,1,0.4,0.0,0.2,1.0,4239,2240
config_cross_domain,named,lift-only,gpt-5.6-sol,gpt-5.6-sol,1,0.8,0.0,0.2,1.0,2111,85
config_cross_domain,named,lift-only,gpt-5.6-sol,gpt-5-mini,1,0.8,0.0,0.2,1.0,3402,1152
config_cross_domain,named,lift-only,gpt-5.6-sol,gpt-5-nano,1,0.8,0.0,0.0,1.0,3629,1600
config_cross_domain,named,lift+consume,gpt-5.6-sol,gpt-5.6-sol,1,0.8,0.0,0.2,1.0,2899,217
config_cross_domain,named,lift+consume,gpt-5.6-sol,gpt-5-mini,1,0.8,0.0,0.2,1.0,4406,1280
config_cross_domain,named,lift+consume,gpt-5.6-sol,gpt-5-nano,1,0.8,0.0,0.2,1.0,5422,2752
config_cross_domain,named,no-ref,gpt-5.6-sol,gpt-5.6-sol,2,0.2,0.0,0.2,1.0,2097,111
config_cross_domain,named,no-ref,gpt-5.6-sol,gpt-5-mini,2,0.2,0.0,0.4,1.0,3528,1280
config_cross_domain,named,no-ref,gpt-5.6-sol,gpt-5-nano,2,0.4,0.0,0.2,1.0,4011,1984
config_cross_domain,named,lift-only,gpt-5.6-sol,gpt-5.6-sol,2,0.8,0.0,0.2,1.0,2222,165
config_cross_domain,named,lift-only,gpt-5.6-sol,gpt-5-mini,2,0.8,0.0,0.2,1.0,3079,832
config_cross_domain,named,lift-only,gpt-5.6-sol,gpt-5-nano,2,0.8,0.0,0.2,1.0,3848,1792
config_cross_domain,named,lift+consume,gpt-5.6-sol,gpt-5.6-sol,2,0.8,0.0,0.2,1.0,2838,143
config_cross_domain,named,lift+consume,gpt-5.6-sol,gpt-5-mini,2,0.8,0.0,0.2,1.0,5189,1984
config_cross_domain,named,lift+consume,gpt-5.6-sol,gpt-5-nano,2,0.8,0.0,0.2,1.0,5462,2688
config_cross_domain,typed,no-ref,gpt-5.6-sol,gpt-5.6-sol,0,0.4,0.0,0.4,1.0,2008,96
config_cross_domain,typed,no-ref,gpt-5.6-sol,gpt-5-mini,0,0.4,0.0,0.4,1.0,3387,1152
config_cross_domain,typed,no-ref,gpt-5.6-sol,gpt-5-nano,0,0.4,0.0,0.4,1.0,4237,2240
config_cross_domain,typed,lift-only,gpt-5.6-sol,gpt-5.6-sol,0,0.6,0.0,0.4,1.0,1982,0
config_cross_domain,typed,lift-only,gpt-5.6-sol,gpt-5-mini,0,0.6,0.0,0.2,1.0,3984,1728
config_cross_domain,typed,lift-only,gpt-5.6-sol,gpt-5-nano,0,0.8,0.0,0.2,1.0,4240,2240
config_cross_domain,typed,lift+consume,gpt-5.6-sol,gpt-5.6-sol,0,0.6,0.0,0.2,1.0,2715,113
config_cross_domain,typed,lift+consume,gpt-5.6-sol,gpt-5-mini,0,0.8,0.0,0.2,1.0,4745,1664
config_cross_domain,typed,lift+consume,gpt-5.6-sol,gpt-5-nano,0,0.6,0.0,0.4,1.0,4986,2240
config_cross_domain,typed,no-ref,gpt-5.6-sol,gpt-5.6-sol,1,0.6,0.0,0.4,1.0,2117,125
config_cross_domain,typed,no-ref,gpt-5.6-sol,gpt-5-mini,1,0.6,0.0,0.2,1.0,3162,896
config_cross_domain,typed,no-ref,gpt-5.6-sol,gpt-5-nano,1,0.6,0.0,0.4,1.0,3625,1600
config_cross_domain,typed,lift-only,gpt-5.6-sol,gpt-5.6-sol,1,0.8,0.0,0.2,1.0,2064,92
config_cross_domain,typed,lift-only,gpt-5.6-sol,gpt-5-mini,1,0.6,0.0,0.2,1.0,3367,1152
config_cross_domain,typed,lift-only,gpt-5.6-sol,gpt-5-nano,1,0.8,0.0,0.2,1.0,4810,2752
config_cross_domain,typed,lift+consume,gpt-5.6-sol,gpt-5.6-sol,1,0.8,0.0,0.2,1.0,2712,120
config_cross_domain,typed,lift+consume,gpt-5.6-sol,gpt-5-mini,1,0.8,0.0,0.2,1.0,4589,1728
config_cross_domain,typed,lift+consume,gpt-5.6-sol,gpt-5-nano,1,0.8,0.0,0.2,1.0,5470,2816
config_cross_domain,typed,no-ref,gpt-5.6-sol,gpt-5.6-sol,2,0.2,0.0,0.2,1.0,2190,266
config_cross_domain,typed,no-ref,gpt-5.6-sol,gpt-5-mini,2,0.4,0.0,0.4,1.0,3276,1152
config_cross_domain,typed,no-ref,gpt-5.6-sol,gpt-5-nano,2,0.4,0.0,0.2,1.0,4519,2496
config_cross_domain,typed,lift-only,gpt-5.6-sol,gpt-5.6-sol,2,0.4,0.0,0.4,1.0,2064,115
config_cross_domain,typed,lift-only,gpt-5.6-sol,gpt-5-mini,2,0.4,0.0,0.2,1.0,3873,1600
