case,stack,uses_reference,placement,proposed,true_positives,false_positives,false_negatives,surviving_false_cognates,precision,recall,f1,residual,candidates,bilateral_checks,binding_ops,scaling,total_tokens,reasoning_tokens,latency_s,model
config_big_hard,baseline-label-matcher,False,n/a,16,8,8,4,1,0.5,0.667,0.571,9,16,16,0,~N^2,,,,
config_big_hard,reference-reconciler,True,n/a,12,12,0,0,0,1.0,1.0,1.0,7,12,0,29,~N,,,,
config_big_hard,openai-agent(no-ref),False,both_cognitive,13,12,1,0,0,0.923,1.0,0.96,5,13,0,0,~N^2,3849,451,18.43,gpt-5.6-sol
config_big_hard,openai-agent(no-ref),False,both_cognitive,12,11,1,1,0,0.917,0.917,0.917,7,12,0,0,~N^2,5099,1743,38.14,gpt-5.6-sol
config_big_hard,openai-agent(no-ref),False,both_cognitive,10,10,0,2,0,1.0,0.833,0.909,11,10,0,0,~N^2,4449,1166,28.01,gpt-5.6-sol
config_big_hard,openai-agent(no-ref),False,both_cognitive,13,12,1,0,0,0.923,1.0,0.96,5,13,0,0,~N^2,4646,1262,32.24,gpt-5.6-sol
config_big_hard,openai-agent(ref),True,both_cognitive,12,12,0,0,0,1.0,1.0,1.0,7,12,0,29,~N,4581,129,6.73,gpt-5.6-sol
config_big_hard,openai-agent(ref),True,both_cognitive,12,12,0,0,0,1.0,1.0,1.0,7,12,0,29,~N,4590,150,6.99,gpt-5.6-sol
config_big_hard,openai-agent(ref),True,both_cognitive,12,12,0,0,0,1.0,1.0,1.0,7,12,0,29,~N,4422,0,4.42,gpt-5.6-sol
config_big_hard,openai-agent(ref),True,both_cognitive,12,12,0,0,0,1.0,1.0,1.0,7,12,0,29,~N,4422,0,4.95,gpt-5.6-sol
config_big_hard,openai-agent(no-ref),False,one_inert,13,12,1,0,0,0.923,1.0,0.96,5,13,0,0,~N^2,6260,2302,48.7,gpt-5.6-sol
config_big_hard,openai-agent(no-ref),False,one_inert,13,12,1,0,0,0.923,1.0,0.96,5,13,0,0,~N^2,5227,1344,31.61,gpt-5.6-sol
config_big_hard,openai-agent(no-ref),False,one_inert,12,12,0,0,0,1.0,1.0,1.0,7,12,0,0,~N^2,4836,1015,26.48,gpt-5.6-sol
config_big_hard,openai-agent(no-ref),False,one_inert,11,11,0,1,0,1.0,0.917,0.957,9,11,0,0,~N^2,5347,1576,37.6,gpt-5.6-sol
config_big_hard,openai-agent(ref),True,one_inert,12,12,0,0,0,1.0,1.0,1.0,7,12,0,29,~N,5144,240,12.33,gpt-5.6-sol
config_big_hard,openai-agent(ref),True,one_inert,12,12,0,0,0,1.0,1.0,1.0,7,12,0,29,~N,5175,307,10.97,gpt-5.6-sol
config_big_hard,openai-agent(ref),True,one_inert,12,12,0,0,0,1.0,1.0,1.0,7,12,0,29,~N,5276,307,13.35,gpt-5.6-sol
config_big_hard,openai-agent(ref),True,one_inert,12,12,0,0,0,1.0,1.0,1.0,7,12,0,29,~N,5106,189,11.28,gpt-5.6-sol
config_big_hard,openai-agent(no-ref),False,both_inert,13,12,1,0,0,0.923,1.0,0.96,5,13,0,0,~N^2,4872,512,18.36,gpt-5.6-sol
config_big_hard,openai-agent(no-ref),False,both_inert,13,12,1,0,0,0.923,1.0,0.96,5,13,0,0,~N^2,4831,512,16.24,gpt-5.6-sol
config_big_hard,openai-agent(no-ref),False,both_inert,13,12,1,0,0,0.923,1.0,0.96,5,13,0,0,~N^2,5883,1536,34.88,gpt-5.6-sol
config_big_hard,openai-agent(no-ref),False,both_inert,13,12,1,0,0,0.923,1.0,0.96,5,13,0,0,~N^2,5211,816,23.79,gpt-5.6-sol
config_big_hard,openai-agent(ref),True,both_inert,12,12,0,0,0,1.0,1.0,1.0,7,12,0,29,~N,5667,381,14.57,gpt-5.6-sol
config_big_hard,openai-agent(ref),True,both_inert,12,12,0,0,0,1.0,1.0,1.0,7,12,0,29,~N,5646,328,13.63,gpt-5.6-sol
config_big_hard,openai-agent(ref),True,both_inert,12,12,0,0,0,1.0,1.0,1.0,7,12,0,29,~N,5636,389,14.46,gpt-5.6-sol
config_big_hard,openai-agent(ref),True,both_inert,12,12,0,0,0,1.0,1.0,1.0,7,12,0,29,~N,5564,317,11.86,gpt-5.6-sol
config_big_hard,openai-agent(no-ref),False,both_cognitive,13,12,1,0,0,0.923,1.0,0.96,5,13,0,0,~N^2,5626,1920,23.75,gpt-5-mini
config_big_hard,openai-agent(no-ref),False,both_cognitive,11,10,1,2,0,0.909,0.833,0.87,9,11,0,0,~N^2,6089,2496,28.66,gpt-5-mini
config_big_hard,openai-agent(no-ref),False,both_cognitive,13,12,1,0,0,0.923,1.0,0.96,5,13,0,0,~N^2,6164,2432,30.04,gpt-5-mini
config_big_hard,openai-agent(no-ref),False,both_cognitive,13,12,1,0,0,0.923,1.0,0.96,5,13,0,0,~N^2,5574,1856,22.48,gpt-5-mini
config_big_hard,openai-agent(ref),True,both_cognitive,12,12,0,0,0,1.0,1.0,1.0,7,12,0,29,~N,5902,1152,18.75,gpt-5-mini
config_big_hard,openai-agent(ref),True,both_cognitive,12,12,0,0,0,1.0,1.0,1.0,7,12,0,29,~N,5947,1216,18.5,gpt-5-mini
config_big_hard,openai-agent(ref),True,both_cognitive,13,12,1,0,1,0.923,1.0,0.96,5,13,0,29,~N,5698,768,16.45,gpt-5-mini
config_big_hard,openai-agent(ref),True,both_cognitive,12,12,0,0,0,1.0,1.0,1.0,7,12,0,29,~N,5824,1024,15.95,gpt-5-mini
config_big_hard,openai-agent(no-ref),False,one_inert,14,12,2,0,0,0.857,1.0,0.923,3,14,0,0,~N^2,5642,1344,23.96,gpt-5-mini
config_big_hard,openai-agent(no-ref),False,one_inert,14,12,2,0,0,0.857,1.0,0.923,3,14,0,0,~N^2,6040,1856,23.7,gpt-5-mini
config_big_hard,openai-agent(no-ref),False,one_inert,14,12,2,0,0,0.857,1.0,0.923,3,14,0,0,~N^2,5811,1664,22.31,gpt-5-mini
config_big_hard,openai-agent(no-ref),False,one_inert,14,12,2,0,0,0.857,1.0,0.923,3,14,0,0,~N^2,6969,2688,38.49,gpt-5-mini
config_big_hard,openai-agent(ref),True,one_inert,13,12,1,0,0,0.923,1.0,0.96,5,13,0,29,~N,7272,1920,28.16,gpt-5-mini
config_big_hard,openai-agent(ref),True,one_inert,13,12,1,0,0,0.923,1.0,0.96,5,13,0,29,~N,8102,2752,34.56,gpt-5-mini
config_big_hard,openai-agent(ref),True,one_inert,13,12,1,0,0,0.923,1.0,0.96,5,13,0,29,~N,7666,2368,30.17,gpt-5-mini
config_big_hard,openai-agent(ref),True,one_inert,13,12,1,0,0,0.923,1.0,0.96,5,13,0,29,~N,7172,1920,25.8,gpt-5-mini
config_big_hard,openai-agent(no-ref),False,both_inert,13,12,1,0,0,0.923,1.0,0.96,5,13,0,0,~N^2,7181,2368,29.48,gpt-5-mini
config_big_hard,openai-agent(no-ref),False,both_inert,14,12,2,0,0,0.857,1.0,0.923,3,14,0,0,~N^2,6622,1920,26.58,gpt-5-mini
config_big_hard,openai-agent(no-ref),False,both_inert,15,12,3,0,1,0.8,1.0,0.889,1,15,0,0,~N^2,6408,1536,26.06,gpt-5-mini
