case,model,placement,reference_variant,evidence,budget,trial,submitted,proposed,precision,recall,surviving_instance_fc,experiment_only_recall,residual_total,residual_experiment_only,residual_native,confirmed_provision,refuted_provision,interrogated,interrogate_calls,provision_calls,turns,total_tokens,reasoning_tokens,latency_s,mean_conf_correct,mean_conf_incorrect,surviving_traps
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key+attrs+rels,unbounded,0,True,11,1.0,1.0,0,1.0,3,0,3,2,1,8,8,3,2,7705,368,17.55,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key+attrs+rels,unbounded,1,True,11,1.0,1.0,0,1.0,3,0,3,2,1,8,8,3,2,7570,254,12.78,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key+attrs+rels,unbounded,2,True,11,1.0,1.0,0,1.0,3,0,3,2,1,8,8,3,2,7527,240,12.69,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key+attrs+rels,unbounded,3,True,11,1.0,1.0,0,1.0,3,0,3,2,1,8,8,3,2,7688,335,12.7,0.995,,
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key+attrs+rels,unbounded,4,True,11,1.0,1.0,0,1.0,3,0,3,2,1,8,8,3,2,7541,245,10.62,0.995,,
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key+attrs+rels,unbounded,5,True,11,1.0,1.0,0,1.0,3,0,3,2,1,8,8,3,3,11120,280,14.66,1.0,,
instance_hard,gpt-5.6-sol,one_inert,none,name+key+attrs+rels,unbounded,0,True,9,1.0,0.818,0,0.5,7,2,3,2,1,0,0,3,2,7575,716,15.97,0.972,,
instance_hard,gpt-5.6-sol,one_inert,none,name+key+attrs+rels,unbounded,1,True,7,1.0,0.636,0,0.0,11,4,3,2,1,0,0,3,2,7492,619,18.11,0.993,,
instance_hard,gpt-5.6-sol,one_inert,none,name+key+attrs+rels,unbounded,2,True,7,1.0,0.636,0,0.0,11,4,3,2,1,0,0,3,2,7267,421,12.58,0.993,,
instance_hard,gpt-5.6-sol,one_inert,none,name+key+attrs+rels,unbounded,3,True,7,1.0,0.636,0,0.0,11,4,3,2,1,0,0,3,2,7415,580,16.7,1.0,,
instance_hard,gpt-5.6-sol,one_inert,none,name+key+attrs+rels,unbounded,4,True,7,1.0,0.636,0,0.0,11,4,3,2,1,0,0,3,2,7165,405,15.59,1.0,,
