case,model,placement,reference,trial,submitted,n_fields,authority_correct,authority_accuracy,over_transport,over_ip,shared_missed,fields,reasoning_tokens,latency_s
config_cross_domain,gpt-5.6-sol,both_cognitive,no-ref,0,True,5,5,1.0,0,0,0,latency-realized:Xok;path-protection:Xok;service-class:Yok;committed-rate:Yok;demarcation:sharedok,377,12.57
config_cross_domain,gpt-5.6-sol,both_cognitive,no-ref,1,True,5,5,1.0,0,0,0,latency-realized:Xok;path-protection:Xok;service-class:Yok;committed-rate:Yok;demarcation:sharedok,200,9.45
config_cross_domain,gpt-5.6-sol,both_cognitive,no-ref,2,True,5,5,1.0,0,0,0,latency-realized:Xok;path-protection:Xok;service-class:Yok;committed-rate:Yok;demarcation:sharedok,252,10.9
config_cross_domain,gpt-5.6-sol,both_cognitive,ref,0,True,5,4,0.8,0,1,0,latency-realized:Y!=X;path-protection:Xok;service-class:Yok;committed-rate:Yok;demarcation:sharedok,320,12.38
config_cross_domain,gpt-5.6-sol,both_cognitive,ref,1,True,5,4,0.8,0,1,0,latency-realized:Y!=X;path-protection:Xok;service-class:Yok;committed-rate:Yok;demarcation:sharedok,297,13.83
config_cross_domain,gpt-5.6-sol,both_cognitive,ref,2,True,5,5,1.0,0,0,0,latency-realized:Xok;path-protection:Xok;service-class:Yok;committed-rate:Yok;demarcation:sharedok,843,22.63
config_cross_domain,gpt-5.6-sol,one_inert,no-ref,0,True,5,5,1.0,0,0,0,latency-realized:Xok;path-protection:Xok;service-class:Yok;committed-rate:Yok;demarcation:sharedok,279,11.07
config_cross_domain,gpt-5.6-sol,one_inert,no-ref,1,True,5,5,1.0,0,0,0,latency-realized:Xok;path-protection:Xok;service-class:Yok;committed-rate:Yok;demarcation:sharedok,560,15.6
config_cross_domain,gpt-5.6-sol,one_inert,no-ref,2,True,5,4,0.8,1,0,0,latency-realized:Xok;path-protection:Xok;service-class:Yok;committed-rate:X!=Y;demarcation:sharedok,243,10.75
config_cross_domain,gpt-5.6-sol,one_inert,ref,0,True,5,5,1.0,0,0,0,latency-realized:Xok;path-protection:Xok;service-class:Yok;committed-rate:Yok;demarcation:sharedok,232,10.24
config_cross_domain,gpt-5.6-sol,one_inert,ref,1,True,5,4,0.8,0,1,0,latency-realized:Y!=X;path-protection:Xok;service-class:Yok;committed-rate:Yok;demarcation:sharedok,420,14.91
config_cross_domain,gpt-5.6-sol,one_inert,ref,2,True,5,4,0.8,0,1,0,latency-realized:Y!=X;path-protection:Xok;service-class:Yok;committed-rate:Yok;demarcation:sharedok,332,13.14
config_cross_domain,gpt-5.6-sol,both_inert,no-ref,0,True,5,5,1.0,0,0,0,latency-realized:Xok;path-protection:Xok;service-class:Yok;committed-rate:Yok;demarcation:sharedok,190,6.45
config_cross_domain,gpt-5.6-sol,both_inert,no-ref,1,True,5,5,1.0,0,0,0,latency-realized:Xok;path-protection:Xok;service-class:Yok;committed-rate:Yok;demarcation:sharedok,195,6.02
config_cross_domain,gpt-5.6-sol,both_inert,no-ref,2,True,5,5,1.0,0,0,0,latency-realized:Xok;path-protection:Xok;service-class:Yok;committed-rate:Yok;demarcation:sharedok,261,7.91
config_cross_domain,gpt-5.6-sol,both_inert,ref,0,True,5,4,0.8,0,1,0,latency-realized:Y!=X;path-protection:Xok;service-class:Yok;committed-rate:Yok;demarcation:sharedok,512,14.4
