case,model,placement,cell,uses_reference,explanation,class,structure,instances,n_fields,trial,precision,recall,surviving_false_cognates,residual,reasoning_tokens,surviving_traps
config_big_hard,gpt-5.6-sol,both_cognitive,lexical-only,False,0,0,0,0,0,0,1.0,0.75,0,13,479,
config_big_hard,gpt-5.6-sol,both_cognitive,lexical-only,False,0,0,0,0,0,1,1.0,0.75,0,13,267,
config_big_hard,gpt-5.6-sol,both_cognitive,lexical-only,False,0,0,0,0,0,2,1.0,0.75,0,13,1208,
config_big_hard,gpt-5.6-sol,both_cognitive,lexical-only,False,0,0,0,0,0,3,1.0,0.75,0,13,567,
config_big_hard,gpt-5.6-sol,both_cognitive,lexical-only,False,0,0,0,0,0,4,1.0,0.75,0,13,676,
config_big_hard,gpt-5.6-sol,both_cognitive,lexical-only,False,0,0,0,0,0,5,0.909,0.833,0,9,667,
config_big_hard,gpt-5.6-sol,both_cognitive,instances,False,0,0,0,1,1,0,0.909,0.833,0,9,1241,
config_big_hard,gpt-5.6-sol,both_cognitive,instances,False,0,0,0,1,1,1,0.909,0.833,0,9,512,
config_big_hard,gpt-5.6-sol,both_cognitive,instances,False,0,0,0,1,1,2,0.909,0.833,0,9,498,
config_big_hard,gpt-5.6-sol,both_cognitive,instances,False,0,0,0,1,1,3,0.909,0.833,0,9,1425,
config_big_hard,gpt-5.6-sol,both_cognitive,instances,False,0,0,0,1,1,4,0.909,0.833,0,9,1770,
config_big_hard,gpt-5.6-sol,both_cognitive,instances,False,0,0,0,1,1,5,0.909,0.833,0,9,1024,
config_big_hard,gpt-5.6-sol,both_cognitive,structure,False,0,0,1,0,1,0,0.909,0.833,0,9,1279,
config_big_hard,gpt-5.6-sol,both_cognitive,structure,False,0,0,1,0,1,1,0.909,0.833,0,9,955,
config_big_hard,gpt-5.6-sol,both_cognitive,structure,False,0,0,1,0,1,2,0.909,0.833,0,9,825,
config_big_hard,gpt-5.6-sol,both_cognitive,structure,False,0,0,1,0,1,3,0.909,0.833,0,9,1378,
config_big_hard,gpt-5.6-sol,both_cognitive,structure,False,0,0,1,0,1,4,0.909,0.833,0,9,1024,
config_big_hard,gpt-5.6-sol,both_cognitive,structure,False,0,0,1,0,1,5,0.909,0.833,0,9,643,
config_big_hard,gpt-5.6-sol,both_cognitive,structure+instances,False,0,0,1,1,2,0,0.9,0.75,0,11,1507,
config_big_hard,gpt-5.6-sol,both_cognitive,structure+instances,False,0,0,1,1,2,1,0.917,0.917,0,7,1838,
config_big_hard,gpt-5.6-sol,both_cognitive,structure+instances,False,0,0,1,1,2,2,0.909,0.833,0,9,1389,
config_big_hard,gpt-5.6-sol,both_cognitive,structure+instances,False,0,0,1,1,2,3,0.909,0.833,0,9,1515,
config_big_hard,gpt-5.6-sol,both_cognitive,structure+instances,False,0,0,1,1,2,4,0.9,0.75,0,11,1370,
config_big_hard,gpt-5.6-sol,both_cognitive,structure+instances,False,0,0,1,1,2,5,0.909,0.833,0,9,1000,
config_big_hard,gpt-5.6-sol,both_cognitive,class,False,0,1,0,0,1,0,1.0,0.833,0,11,512,
config_big_hard,gpt-5.6-sol,both_cognitive,class,False,0,1,0,0,1,1,1.0,0.917,0,9,1247,
config_big_hard,gpt-5.6-sol,both_cognitive,class,False,0,1,0,0,1,2,1.0,1.0,0,7,2429,
config_big_hard,gpt-5.6-sol,both_cognitive,class,False,0,1,0,0,1,3,1.0,1.0,0,7,512,
config_big_hard,gpt-5.6-sol,both_cognitive,class,False,0,1,0,0,1,4,0.917,0.917,0,7,2658,
config_big_hard,gpt-5.6-sol,both_cognitive,class,False,0,1,0,0,1,5,1.0,0.833,0,11,1249,
config_big_hard,gpt-5.6-sol,both_cognitive,class+instances,False,0,1,0,1,2,0,1.0,0.917,0,9,1125,
config_big_hard,gpt-5.6-sol,both_cognitive,class+instances,False,0,1,0,1,2,1,1.0,0.917,0,9,1303,
config_big_hard,gpt-5.6-sol,both_cognitive,class+instances,False,0,1,0,1,2,2,1.0,0.833,0,11,1802,
config_big_hard,gpt-5.6-sol,both_cognitive,class+instances,False,0,1,0,1,2,3,1.0,0.833,0,11,1226,
config_big_hard,gpt-5.6-sol,both_cognitive,class+instances,False,0,1,0,1,2,4,1.0,0.833,0,11,1152,
config_big_hard,gpt-5.6-sol,both_cognitive,class+instances,False,0,1,0,1,2,5,1.0,0.833,0,11,1135,
config_big_hard,gpt-5.6-sol,both_cognitive,class+structure,False,0,1,1,0,2,0,0.923,1.0,0,5,1070,
config_big_hard,gpt-5.6-sol,both_cognitive,class+structure,False,0,1,1,0,2,1,0.923,1.0,0,5,560,
config_big_hard,gpt-5.6-sol,both_cognitive,class+structure,False,0,1,1,0,2,2,0.923,1.0,0,5,436,
config_big_hard,gpt-5.6-sol,both_cognitive,class+structure,False,0,1,1,0,2,3,0.909,0.833,0,9,1613,
config_big_hard,gpt-5.6-sol,both_cognitive,class+structure,False,0,1,1,0,2,4,0.917,0.917,0,7,1194,
