case,model,arm,trial,authority_accuracy,n_fields,committed_rate_correct,demarcation_correct,contested_to_transport,reasoning_tokens
config_cross_domain,gpt-5.6-sol,structure,0,1.0,5,1,1,0,149
config_cross_domain,gpt-5.6-sol,structure,1,1.0,5,1,1,0,131
config_cross_domain,gpt-5.6-sol,structure,2,1.0,5,1,1,0,155
config_cross_domain,gpt-5.6-sol,artefact,0,1.0,5,1,1,0,0
config_cross_domain,gpt-5.6-sol,artefact,1,1.0,5,1,1,0,0
config_cross_domain,gpt-5.6-sol,artefact,2,1.0,5,1,1,0,0
config_cross_domain,gpt-5-mini,structure,0,0.4,5,1,0,0,1408
config_cross_domain,gpt-5-mini,structure,1,0.6,5,1,0,0,1408
config_cross_domain,gpt-5-mini,structure,2,0.4,5,1,0,0,1216
config_cross_domain,gpt-5-mini,artefact,0,1.0,5,1,1,0,192
config_cross_domain,gpt-5-mini,artefact,1,1.0,5,1,1,0,192
config_cross_domain,gpt-5-mini,artefact,2,1.0,5,1,1,0,192
config_cross_domain,gpt-5-nano,structure,0,0.4,5,0,0,1,2240
config_cross_domain,gpt-5-nano,structure,1,0.4,5,0,0,1,2048
config_cross_domain,gpt-5-nano,structure,2,0.4,5,0,0,1,2240
config_cross_domain,gpt-5-nano,artefact,0,1.0,5,1,1,0,640
config_cross_domain,gpt-5-nano,artefact,1,1.0,5,1,1,0,832
config_cross_domain,gpt-5-nano,artefact,2,1.0,5,1,1,0,1280
config_cross_domain,qwen2.5:7b,structure,0,0.4,5,0,0,0,
config_cross_domain,qwen2.5:7b,structure,1,0.2,5,0,0,0,
config_cross_domain,qwen2.5:7b,structure,2,0.8,5,1,1,0,
config_cross_domain,qwen2.5:7b,artefact,0,0.8,5,1,1,0,
config_cross_domain,qwen2.5:7b,artefact,1,1.0,5,1,1,0,
config_cross_domain,qwen2.5:7b,artefact,2,1.0,5,1,1,0,
config_cross_domain,deepseek-chat,structure,0,0.4,5,0,0,0,
config_cross_domain,deepseek-chat,structure,1,0.6,5,0,1,0,
config_cross_domain,deepseek-chat,structure,2,0.2,5,0,1,0,
config_cross_domain,deepseek-chat,artefact,0,1.0,5,1,1,0,
config_cross_domain,deepseek-chat,artefact,1,1.0,5,1,1,0,
config_cross_domain,deepseek-chat,artefact,2,1.0,5,1,1,0,
