case,stack,uses_reference,placement,proposed,true_positives,false_positives,false_negatives,surviving_false_cognates,precision,recall,f1,residual,candidates,bilateral_checks,binding_ops,scaling,total_tokens,reasoning_tokens,latency_s,model
config_xdom_ran,baseline-label-matcher,False,n/a,5,4,1,1,0,0.8,0.8,0.8,6,5,5,0,~N^2,,,,
config_xdom_ran,reference-reconciler,True,n/a,5,5,0,0,0,1.0,1.0,1.0,6,5,0,14,~N,,,,
config_xdom_ran,openai-agent(no-ref),False,both_cognitive,2,2,0,3,0,1.0,0.4,0.571,12,2,0,0,~N^2,2896,827,17.64,gpt-5.6-sol
config_xdom_ran,openai-agent(no-ref),False,both_cognitive,2,2,0,3,0,1.0,0.4,0.571,12,2,0,0,~N^2,2510,449,9.44,gpt-5.6-sol
config_xdom_ran,openai-agent(ref),True,both_cognitive,5,5,0,0,0,1.0,1.0,1.0,6,5,0,14,~N,2822,0,2.56,gpt-5.6-sol
config_xdom_ran,openai-agent(ref),True,both_cognitive,5,5,0,0,0,1.0,1.0,1.0,6,5,0,14,~N,2830,0,2.72,gpt-5.6-sol
config_xdom_ran,openai-agent(no-ref),False,one_inert,4,4,0,1,0,1.0,0.8,0.889,8,4,0,0,~N^2,2387,248,7.05,gpt-5.6-sol
config_xdom_ran,openai-agent(no-ref),False,one_inert,4,4,0,1,0,1.0,0.8,0.889,8,4,0,0,~N^2,2503,339,9.49,gpt-5.6-sol
config_xdom_ran,openai-agent(ref),True,one_inert,5,5,0,0,0,1.0,1.0,1.0,6,5,0,14,~N,2977,116,6.27,gpt-5.6-sol
config_xdom_ran,openai-agent(ref),True,one_inert,5,5,0,0,0,1.0,1.0,1.0,6,5,0,14,~N,2980,107,5.73,gpt-5.6-sol
config_xdom_ran,openai-agent(no-ref),False,both_inert,4,4,0,1,0,1.0,0.8,0.889,8,4,0,0,~N^2,2771,702,12.9,gpt-5.6-sol
config_xdom_ran,openai-agent(no-ref),False,both_inert,4,4,0,1,0,1.0,0.8,0.889,8,4,0,0,~N^2,2442,378,9.21,gpt-5.6-sol
config_xdom_ran,openai-agent(ref),True,both_inert,5,5,0,0,0,1.0,1.0,1.0,6,5,0,14,~N,2841,141,8.4,gpt-5.6-sol
config_xdom_ran,openai-agent(ref),True,both_inert,5,5,0,0,0,1.0,1.0,1.0,6,5,0,14,~N,3711,1018,19.82,gpt-5.6-sol
config_xdom_ran,openai-agent(no-ref),False,both_cognitive,5,4,1,1,0,0.8,0.8,0.8,6,5,0,0,~N^2,3194,832,11.16,gpt-5-mini
config_xdom_ran,openai-agent(no-ref),False,both_cognitive,5,4,1,1,0,0.8,0.8,0.8,6,5,0,0,~N^2,3615,1280,14.44,gpt-5-mini
config_xdom_ran,openai-agent(ref),True,both_cognitive,5,5,0,0,0,1.0,1.0,1.0,6,5,0,14,~N,3589,576,9.35,gpt-5-mini
config_xdom_ran,openai-agent(ref),True,both_cognitive,5,5,0,0,0,1.0,1.0,1.0,6,5,0,14,~N,3777,768,10.03,gpt-5-mini
config_xdom_ran,openai-agent(no-ref),False,one_inert,5,4,1,1,0,0.8,0.8,0.8,6,5,0,0,~N^2,3951,1600,23.04,gpt-5-mini
config_xdom_ran,openai-agent(no-ref),False,one_inert,5,4,1,1,0,0.8,0.8,0.8,6,5,0,0,~N^2,3985,1600,18.13,gpt-5-mini
config_xdom_ran,openai-agent(ref),True,one_inert,5,4,1,1,0,0.8,0.8,0.8,6,5,0,14,~N,5018,1920,20.79,gpt-5-mini
config_xdom_ran,openai-agent(ref),True,one_inert,5,5,0,0,0,1.0,1.0,1.0,6,5,0,14,~N,4157,1152,13.27,gpt-5-mini
config_xdom_ran,openai-agent(no-ref),False,both_inert,6,5,1,0,0,0.833,1.0,0.909,4,6,0,0,~N^2,3285,896,13.01,gpt-5-mini
config_xdom_ran,openai-agent(no-ref),False,both_inert,6,5,1,0,0,0.833,1.0,0.909,4,6,0,0,~N^2,3592,1280,15.74,gpt-5-mini
config_xdom_ran,openai-agent(ref),True,both_inert,5,5,0,0,0,1.0,1.0,1.0,6,5,0,14,~N,4255,1408,16.56,gpt-5-mini
config_xdom_ran,openai-agent(ref),True,both_inert,5,5,0,0,0,1.0,1.0,1.0,6,5,0,14,~N,3878,1024,12.8,gpt-5-mini
config_xdom_ran,openai-agent(no-ref),False,both_cognitive,6,5,1,0,0,0.833,1.0,0.909,4,6,0,0,~N^2,5427,3136,14.23,gpt-5-nano
config_xdom_ran,openai-agent(no-ref),False,both_cognitive,6,5,1,0,0,0.833,1.0,0.909,4,6,0,0,~N^2,6191,3840,19.28,gpt-5-nano
config_xdom_ran,openai-agent(ref),True,both_cognitive,5,5,0,0,0,1.0,1.0,1.0,6,5,0,14,~N,5811,2944,17.31,gpt-5-nano
config_xdom_ran,openai-agent(ref),True,both_cognitive,5,5,0,0,0,1.0,1.0,1.0,6,5,0,14,~N,4843,1856,9.72,gpt-5-nano
config_xdom_ran,openai-agent(no-ref),False,one_inert,6,5,1,0,0,0.833,1.0,0.909,4,6,0,0,~N^2,6307,3968,18.52,gpt-5-nano
config_xdom_ran,openai-agent(no-ref),False,one_inert,6,5,1,0,0,0.833,1.0,0.909,4,6,0,0,~N^2,6391,3968,19.43,gpt-5-nano
config_xdom_ran,openai-agent(ref),True,one_inert,5,5,0,0,0,1.0,1.0,1.0,6,5,0,14,~N,8054,5056,27.92,gpt-5-nano
config_xdom_ran,openai-agent(ref),True,one_inert,6,5,1,0,0,0.833,1.0,0.909,4,6,0,14,~N,9727,6656,42.61,gpt-5-nano
config_xdom_ran,openai-agent(no-ref),False,both_inert,6,5,1,0,0,0.833,1.0,0.909,4,6,0,0,~N^2,6741,4416,23.79,gpt-5-nano
config_xdom_ran,openai-agent(no-ref),False,both_inert,8,5,3,0,0,0.625,1.0,0.769,0,8,0,0,~N^2,7697,5248,27.4,gpt-5-nano
config_xdom_ran,openai-agent(ref),True,both_inert,5,5,0,0,0,1.0,1.0,1.0,6,5,0,14,~N,7277,4480,23.45,gpt-5-nano
config_xdom_ran,openai-agent(ref),True,both_inert,5,5,0,0,0,1.0,1.0,1.0,6,5,0,14,~N,7418,4672,22.59,gpt-5-nano
