case,phase,model,pragmatics,context,trial,n_anomalies,verdict_correct,verdict_accuracy,false_page,missed_suppress,reasoning_tokens,latency_s
config_observability,verdict,gpt-5.6-sol,on,normal,0,6,4,0.667,0,1,116,4.09
config_observability,verdict,gpt-5.6-sol,on,normal,1,6,3,0.5,0,2,0,1.74
config_observability,verdict,gpt-5.6-sol,on,maintenance,0,6,6,1.0,0,0,57,2.96
config_observability,verdict,gpt-5.6-sol,on,maintenance,1,6,6,1.0,0,0,63,2.61
config_observability,verdict,gpt-5.6-sol,on,holiday,0,6,4,0.667,0,2,0,1.59
config_observability,verdict,gpt-5.6-sol,on,holiday,1,6,4,0.667,0,2,0,1.64
config_observability,verdict,gpt-5.6-sol,off,normal,0,6,3,0.5,2,1,57,3.66
config_observability,verdict,gpt-5.6-sol,off,normal,1,6,4,0.667,1,1,121,3.99
config_observability,verdict,gpt-5.6-sol,off,maintenance,0,6,1,0.167,4,5,86,4.03
config_observability,verdict,gpt-5.6-sol,off,maintenance,1,6,1,0.167,4,5,74,3.03
config_observability,verdict,gpt-5.6-sol,off,holiday,0,6,3,0.5,2,2,68,3.01
config_observability,verdict,gpt-5.6-sol,off,holiday,1,6,3,0.5,2,2,84,2.82
