case,stage,model,trial,scenario,arm,map_precision,map_recall,map_exact,partition_exact,cause_accuracy,reasoning_tokens
derive_deps_config,derive,gpt-5.6-sol,0,,,1.0,1.0,True,,,0
derive_deps_config,correlate,gpt-5.6-sol,0,C1,given,,,,True,1.0,
derive_deps_config,correlate,gpt-5.6-sol,0,C2,given,,,,True,1.0,
derive_deps_config,correlate,gpt-5.6-sol,0,C3,given,,,,True,1.0,
derive_deps_config,correlate,gpt-5.6-sol,0,C1,derived,,,,True,1.0,
derive_deps_config,correlate,gpt-5.6-sol,0,C2,derived,,,,True,1.0,
derive_deps_config,correlate,gpt-5.6-sol,0,C3,derived,,,,True,1.0,
derive_deps_config,derive,gpt-5.6-sol,1,,,1.0,1.0,True,,,69
derive_deps_config,correlate,gpt-5.6-sol,1,C1,given,,,,True,1.0,
derive_deps_config,correlate,gpt-5.6-sol,1,C2,given,,,,True,1.0,
derive_deps_config,correlate,gpt-5.6-sol,1,C3,given,,,,True,1.0,
derive_deps_config,correlate,gpt-5.6-sol,1,C1,derived,,,,True,1.0,
derive_deps_config,correlate,gpt-5.6-sol,1,C2,derived,,,,True,1.0,
derive_deps_config,correlate,gpt-5.6-sol,1,C3,derived,,,,True,1.0,
derive_deps_config,derive,gpt-5.6-sol,2,,,1.0,1.0,True,,,0
derive_deps_config,correlate,gpt-5.6-sol,2,C1,given,,,,True,1.0,
derive_deps_config,correlate,gpt-5.6-sol,2,C2,given,,,,True,1.0,
derive_deps_config,correlate,gpt-5.6-sol,2,C3,given,,,,True,1.0,
derive_deps_config,correlate,gpt-5.6-sol,2,C1,derived,,,,True,1.0,
derive_deps_config,correlate,gpt-5.6-sol,2,C2,derived,,,,True,1.0,
derive_deps_config,correlate,gpt-5.6-sol,2,C3,derived,,,,True,1.0,
derive_deps_config,derive,gpt-5-mini,0,,,1.0,1.0,True,,,896
derive_deps_config,correlate,gpt-5-mini,0,C1,given,,,,True,1.0,
derive_deps_config,correlate,gpt-5-mini,0,C2,given,,,,True,1.0,
derive_deps_config,correlate,gpt-5-mini,0,C3,given,,,,True,1.0,
derive_deps_config,correlate,gpt-5-mini,0,C1,derived,,,,True,1.0,
derive_deps_config,correlate,gpt-5-mini,0,C2,derived,,,,True,1.0,
derive_deps_config,correlate,gpt-5-mini,0,C3,derived,,,,True,1.0,
derive_deps_config,derive,gpt-5-mini,1,,,1.0,1.0,True,,,832
derive_deps_config,correlate,gpt-5-mini,1,C1,given,,,,True,1.0,
derive_deps_config,correlate,gpt-5-mini,1,C2,given,,,,True,1.0,
derive_deps_config,correlate,gpt-5-mini,1,C3,given,,,,True,1.0,
derive_deps_config,correlate,gpt-5-mini,1,C1,derived,,,,True,1.0,
derive_deps_config,correlate,gpt-5-mini,1,C2,derived,,,,True,1.0,
derive_deps_config,correlate,gpt-5-mini,1,C3,derived,,,,True,1.0,
derive_deps_config,derive,gpt-5-mini,2,,,1.0,1.0,True,,,832
derive_deps_config,correlate,gpt-5-mini,2,C1,given,,,,True,1.0,
derive_deps_config,correlate,gpt-5-mini,2,C2,given,,,,True,1.0,
derive_deps_config,correlate,gpt-5-mini,2,C3,given,,,,True,1.0,
derive_deps_config,correlate,gpt-5-mini,2,C1,derived,,,,True,1.0,
derive_deps_config,correlate,gpt-5-mini,2,C2,derived,,,,True,1.0,
derive_deps_config,correlate,gpt-5-mini,2,C3,derived,,,,True,1.0,
derive_deps_config,derive,gpt-5-nano,0,,,1.0,1.0,True,,,2944
derive_deps_config,correlate,gpt-5-nano,0,C1,given,,,,True,1.0,
derive_deps_config,correlate,gpt-5-nano,0,C2,given,,,,True,1.0,
derive_deps_config,correlate,gpt-5-nano,0,C3,given,,,,False,0.0,
derive_deps_config,correlate,gpt-5-nano,0,C1,derived,,,,True,1.0,
derive_deps_config,correlate,gpt-5-nano,0,C2,derived,,,,True,1.0,
derive_deps_config,correlate,gpt-5-nano,0,C3,derived,,,,False,0.0,
derive_deps_config,derive,gpt-5-nano,1,,,1.0,1.0,True,,,2880
derive_deps_config,correlate,gpt-5-nano,1,C1,given,,,,True,1.0,
derive_deps_config,correlate,gpt-5-nano,1,C2,given,,,,True,1.0,
derive_deps_config,correlate,gpt-5-nano,1,C3,given,,,,False,0.0,
derive_deps_config,correlate,gpt-5-nano,1,C1,derived,,,,True,1.0,
derive_deps_config,correlate,gpt-5-nano,1,C2,derived,,,,True,1.0,
derive_deps_config,correlate,gpt-5-nano,1,C3,derived,,,,True,1.0,
derive_deps_config,derive,gpt-5-nano,2,,,1.0,1.0,True,,,2880
derive_deps_config,correlate,gpt-5-nano,2,C1,given,,,,True,1.0,
derive_deps_config,correlate,gpt-5-nano,2,C2,given,,,,True,1.0,
derive_deps_config,correlate,gpt-5-nano,2,C3,given,,,,True,1.0,
derive_deps_config,correlate,gpt-5-nano,2,C1,derived,,,,True,1.0,
derive_deps_config,correlate,gpt-5-nano,2,C2,derived,,,,True,1.0,
derive_deps_config,correlate,gpt-5-nano,2,C3,derived,,,,True,1.0,
