case,model,placement,uses_reference,trial,stage,precision,recall,surviving_false_cognates,residual,reasoning_tokens,verify_reasoning_tokens
config_big_hard,gpt-5.6-sol,both_cognitive,False,0,pre,1.0,0.75,0,13,2935,
config_big_hard,gpt-5.6-sol,both_cognitive,False,0,post,1.0,0.75,0,13,2935,875
config_big_hard,gpt-5.6-sol,both_cognitive,False,1,pre,0.917,0.917,0,7,1074,
config_big_hard,gpt-5.6-sol,both_cognitive,False,1,post,1.0,0.917,0,9,1074,1743
config_big_hard,gpt-5.6-sol,both_cognitive,False,2,pre,0.917,0.917,0,7,1396,
config_big_hard,gpt-5.6-sol,both_cognitive,False,2,post,1.0,0.75,0,13,1396,1756
config_big_hard,gpt-5.6-sol,both_cognitive,True,0,pre,1.0,1.0,0,7,102,
config_big_hard,gpt-5.6-sol,both_cognitive,True,0,post,1.0,1.0,0,7,102,429
config_big_hard,gpt-5.6-sol,both_cognitive,True,1,pre,1.0,1.0,0,7,129,
config_big_hard,gpt-5.6-sol,both_cognitive,True,1,post,1.0,1.0,0,7,129,395
config_big_hard,gpt-5.6-sol,both_cognitive,True,2,pre,1.0,1.0,0,7,114,
config_big_hard,gpt-5.6-sol,both_cognitive,True,2,post,1.0,1.0,0,7,114,436
config_big_hard,gpt-5.6-sol,one_inert,False,0,pre,0.923,1.0,0,5,939,
config_big_hard,gpt-5.6-sol,one_inert,False,0,post,1.0,0.75,0,13,939,1167
config_big_hard,gpt-5.6-sol,one_inert,False,1,pre,1.0,0.917,0,9,804,
config_big_hard,gpt-5.6-sol,one_inert,False,1,post,1.0,0.75,0,13,804,1949
config_big_hard,gpt-5.6-sol,one_inert,False,2,pre,0.923,1.0,0,5,1073,
config_big_hard,gpt-5.6-sol,one_inert,False,2,post,1.0,0.75,0,13,1073,1408
config_big_hard,gpt-5.6-sol,one_inert,True,0,pre,1.0,1.0,0,7,359,
config_big_hard,gpt-5.6-sol,one_inert,True,0,post,1.0,1.0,0,7,359,1038
config_big_hard,gpt-5.6-sol,one_inert,True,1,pre,1.0,1.0,0,7,279,
config_big_hard,gpt-5.6-sol,one_inert,True,1,post,1.0,1.0,0,7,279,512
config_big_hard,gpt-5.6-sol,one_inert,True,2,pre,1.0,1.0,0,7,212,
config_big_hard,gpt-5.6-sol,one_inert,True,2,post,1.0,1.0,0,7,212,1484
config_big_hard,gpt-5.6-sol,both_inert,False,0,pre,0.923,1.0,0,5,1305,
config_big_hard,gpt-5.6-sol,both_inert,False,0,post,1.0,0.75,0,13,1305,2136
config_big_hard,gpt-5.6-sol,both_inert,False,1,pre,0.923,1.0,0,5,787,
config_big_hard,gpt-5.6-sol,both_inert,False,1,post,1.0,0.417,0,21,787,2429
config_big_hard,gpt-5.6-sol,both_inert,False,2,pre,0.917,0.917,0,7,675,
config_big_hard,gpt-5.6-sol,both_inert,False,2,post,1.0,0.667,0,15,675,2278
config_big_hard,gpt-5.6-sol,both_inert,True,0,pre,1.0,1.0,0,7,396,
config_big_hard,gpt-5.6-sol,both_inert,True,0,post,1.0,1.0,0,7,396,1310
config_big_hard,gpt-5.6-sol,both_inert,True,1,pre,1.0,1.0,0,7,402,
config_big_hard,gpt-5.6-sol,both_inert,True,1,post,1.0,1.0,0,7,402,1276
config_big_hard,gpt-5.6-sol,both_inert,True,2,pre,1.0,1.0,0,7,302,
config_big_hard,gpt-5.6-sol,both_inert,True,2,post,1.0,1.0,0,7,302,882
