case,stack,uses_reference,placement,proposed,true_positives,false_positives,false_negatives,surviving_false_cognates,precision,recall,f1,residual,candidates,bilateral_checks,binding_ops,scaling,total_tokens,reasoning_tokens,latency_s,model
obs_compute,baseline-label-matcher,False,n/a,7,4,3,0,1,0.571,1.0,0.727,6,7,7,0,~N^2,,,,
obs_compute,reference-reconciler,True,n/a,3,3,0,1,0,1.0,0.75,0.857,11,3,0,10,~N,,,,
obs_compute,openai-agent(no-ref),False,both_cognitive,3,3,0,1,0,1.0,0.75,0.857,11,3,0,0,~N^2,2175,110,5.18,gpt-5.6-sol
obs_compute,openai-agent(no-ref),False,both_cognitive,3,3,0,1,0,1.0,0.75,0.857,11,3,0,0,~N^2,2149,84,4.38,gpt-5.6-sol
obs_compute,openai-agent(ref),True,both_cognitive,3,3,0,1,0,1.0,0.75,0.857,11,3,0,10,~N,2501,0,2.87,gpt-5.6-sol
obs_compute,openai-agent(ref),True,both_cognitive,3,3,0,1,0,1.0,0.75,0.857,11,3,0,10,~N,2530,0,2.81,gpt-5.6-sol
obs_compute,openai-agent(no-ref),False,one_inert,2,2,0,2,0,1.0,0.5,0.667,13,2,0,0,~N^2,2560,583,9.88,gpt-5.6-sol
obs_compute,openai-agent(no-ref),False,one_inert,2,2,0,2,0,1.0,0.5,0.667,13,2,0,0,~N^2,2315,349,8.09,gpt-5.6-sol
obs_compute,openai-agent(ref),True,one_inert,3,3,0,1,0,1.0,0.75,0.857,11,3,0,10,~N,2683,167,5.22,gpt-5.6-sol
obs_compute,openai-agent(ref),True,one_inert,3,3,0,1,0,1.0,0.75,0.857,11,3,0,10,~N,2649,155,4.91,gpt-5.6-sol
obs_compute,openai-agent(no-ref),False,both_inert,3,3,0,1,0,1.0,0.75,0.857,11,3,0,0,~N^2,2086,108,3.89,gpt-5.6-sol
obs_compute,openai-agent(no-ref),False,both_inert,3,3,0,1,0,1.0,0.75,0.857,11,3,0,0,~N^2,2102,113,4.5,gpt-5.6-sol
obs_compute,openai-agent(ref),True,both_inert,3,3,0,1,0,1.0,0.75,0.857,11,3,0,10,~N,2556,186,6.04,gpt-5.6-sol
obs_compute,openai-agent(ref),True,both_inert,3,3,0,1,0,1.0,0.75,0.857,11,3,0,10,~N,2523,156,5.3,gpt-5.6-sol
obs_compute,openai-agent(no-ref),False,both_cognitive,3,3,0,1,0,1.0,0.75,0.857,11,3,0,0,~N^2,3457,1280,14.4,gpt-5-mini
obs_compute,openai-agent(no-ref),False,both_cognitive,3,3,0,1,0,1.0,0.75,0.857,11,3,0,0,~N^2,2909,768,9.74,gpt-5-mini
obs_compute,openai-agent(ref),True,both_cognitive,3,3,0,1,0,1.0,0.75,0.857,11,3,0,10,~N,3303,640,9.49,gpt-5-mini
obs_compute,openai-agent(ref),True,both_cognitive,3,3,0,1,0,1.0,0.75,0.857,11,3,0,10,~N,3159,512,8.84,gpt-5-mini
obs_compute,openai-agent(no-ref),False,one_inert,4,3,1,1,1,0.75,0.75,0.75,9,4,0,0,~N^2,3856,1664,19.76,gpt-5-mini
obs_compute,openai-agent(no-ref),False,one_inert,4,3,1,1,1,0.75,0.75,0.75,9,4,0,0,~N^2,3588,1344,17.34,gpt-5-mini
obs_compute,openai-agent(ref),True,one_inert,3,3,0,1,0,1.0,0.75,0.857,11,3,0,10,~N,3787,1088,15.02,gpt-5-mini
obs_compute,openai-agent(ref),True,one_inert,3,3,0,1,0,1.0,0.75,0.857,11,3,0,10,~N,3664,1024,12.83,gpt-5-mini
obs_compute,openai-agent(no-ref),False,both_inert,4,3,1,1,1,0.75,0.75,0.75,9,4,0,0,~N^2,3407,1216,14.9,gpt-5-mini
obs_compute,openai-agent(no-ref),False,both_inert,4,3,1,1,1,0.75,0.75,0.75,9,4,0,0,~N^2,3126,960,19.75,gpt-5-mini
obs_compute,openai-agent(ref),True,both_inert,3,3,0,1,0,1.0,0.75,0.857,11,3,0,10,~N,4304,1792,23.01,gpt-5-mini
obs_compute,openai-agent(ref),True,both_inert,3,3,0,1,0,1.0,0.75,0.857,11,3,0,10,~N,4247,1728,22.42,gpt-5-mini
obs_compute,openai-agent(no-ref),False,both_cognitive,3,3,0,1,0,1.0,0.75,0.857,11,3,0,0,~N^2,5687,3520,16.89,gpt-5-nano
obs_compute,openai-agent(no-ref),False,both_cognitive,3,3,0,1,0,1.0,0.75,0.857,11,3,0,0,~N^2,5359,3200,15.32,gpt-5-nano
