case,model,placement,reference_variant,evidence,budget,trial,submitted,proposed,precision,recall,surviving_instance_fc,experiment_only_recall,residual_total,residual_experiment_only,residual_native,confirmed_provision,refuted_provision,interrogated,interrogate_calls,provision_calls,turns,total_tokens,reasoning_tokens,latency_s,mean_conf_correct,mean_conf_incorrect,surviving_traps
instance_hard,gpt-5-mini,both_cognitive,none,name+key+attrs+rels,12,0,True,9,1.0,0.818,0,0.5,7,2,3,0,0,8,8,0,2,9791,1600,22.48,1.0,,
instance_hard,gpt-5-mini,both_cognitive,none,name+key+attrs+rels,12,1,True,7,1.0,0.636,0,0.0,11,4,3,0,1,0,0,1,2,9769,1856,22.13,1.0,,
instance_hard,gpt-5-mini,both_cognitive,none,name+key+attrs+rels,12,2,True,9,1.0,0.818,0,0.5,7,2,3,2,1,0,0,3,2,10183,2176,26.77,0.989,,
instance_hard,gpt-5-mini,both_cognitive,none,name+attrs+rels,12,0,True,1,1.0,0.091,0,0.25,23,3,3,0,0,12,12,0,2,10740,1856,27.05,1.0,,
instance_hard,gpt-5-mini,both_cognitive,none,name+attrs+rels,12,1,True,11,1.0,1.0,0,1.0,3,0,3,0,0,3,3,0,2,8956,1472,21.75,0.927,,
instance_hard,gpt-5-mini,both_cognitive,none,name+attrs+rels,12,2,True,11,1.0,1.0,0,1.0,3,0,3,0,0,12,12,0,3,17117,2880,37.56,0.96,,
instance_hard,gpt-5-mini,both_cognitive,none,key+attrs+rels,12,0,True,7,1.0,0.636,0,0.0,11,4,3,0,0,4,4,0,2,8965,1856,22.92,1.0,,
instance_hard,gpt-5-mini,both_cognitive,none,key+attrs+rels,12,1,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,4202,1152,14.84,0.996,,
instance_hard,gpt-5-mini,both_cognitive,none,key+attrs+rels,12,2,True,11,1.0,1.0,0,1.0,3,0,3,0,0,4,4,0,2,8410,1472,20.19,0.982,,
instance_hard,gpt-5-mini,both_cognitive,none,name+key,12,0,True,7,1.0,0.636,0,0.0,11,4,3,0,1,0,0,1,2,5577,1536,20.4,0.99,,
instance_hard,gpt-5-mini,both_cognitive,none,name+key,12,1,True,7,1.0,0.636,0,0.0,11,4,3,0,1,0,0,1,2,5671,1408,17.52,1.0,,
instance_hard,gpt-5-mini,both_cognitive,none,name+key,12,2,True,7,1.0,0.636,0,0.0,11,4,3,0,1,0,0,1,2,5129,1216,15.46,1.0,,
instance_hard,gpt-5-mini,both_cognitive,none,attrs+rels,12,0,True,11,1.0,1.0,0,1.0,3,0,3,2,1,8,8,3,7,34823,2688,41.79,0.996,,
instance_hard,gpt-5-mini,both_cognitive,none,attrs+rels,12,1,True,11,1.0,1.0,0,1.0,3,0,3,2,0,8,8,2,2,10095,2432,32.4,0.982,,
instance_hard,gpt-5-mini,both_cognitive,none,attrs+rels,12,2,True,11,1.0,1.0,0,1.0,3,0,3,2,1,8,8,3,3,16636,3328,42.48,0.978,,
instance_hard,gpt-5-mini,both_cognitive,none,name,12,0,True,2,1.0,0.182,0,0.0,21,4,3,2,1,0,0,3,2,5811,1984,23.65,1.0,,
instance_hard,gpt-5-mini,both_cognitive,none,name,12,1,True,2,1.0,0.182,0,0.0,21,4,3,2,1,5,6,3,11,30511,1408,35.63,1.0,,
instance_hard,gpt-5-mini,both_cognitive,none,name,12,2,True,7,0.857,0.545,1,0.5,11,2,2,0,0,12,12,0,2,7900,2560,32.5,0.892,0.95,a.r1~b.r1
instance_hard,gpt-5-mini,one_inert,none,name+key+attrs+rels,12,0,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,5189,1920,23.68,0.981,,
instance_hard,gpt-5-mini,one_inert,none,name+key+attrs+rels,12,1,True,7,1.0,0.636,0,0.0,11,4,3,0,1,0,0,1,2,9812,1920,30.01,1.0,,
instance_hard,gpt-5-mini,one_inert,none,name+key+attrs+rels,12,2,True,9,1.0,0.818,0,0.5,7,2,3,0,1,0,0,1,2,9534,1664,24.15,1.0,,
instance_hard,gpt-5-mini,one_inert,none,name+attrs+rels,12,0,True,9,1.0,0.818,0,0.5,7,2,3,2,0,0,0,2,2,11063,2624,33.42,0.981,,
instance_hard,gpt-5-mini,one_inert,none,name+attrs+rels,12,1,True,9,1.0,0.818,0,0.5,7,2,3,2,1,0,0,3,2,10670,2560,37.81,0.922,,
instance_hard,gpt-5-mini,one_inert,none,name+attrs+rels,12,2,True,9,1.0,0.818,0,0.5,7,2,3,2,1,0,0,3,2,11222,3008,40.92,1.0,,
instance_hard,gpt-5-mini,one_inert,none,key+attrs+rels,12,0,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,4680,1600,21.72,1.0,,
