case,condition,model,placement,trial,precision,recall,surviving_false_cognates,residual,constructed_entries,construct_reasoning_tokens,construct_total_tokens,bind_reasoning_tokens,bind_total_tokens,total_reasoning_tokens,total_tokens
config_cross_domain,no-ref,gpt-5.6-sol,both_cognitive,0,1.0,0.6,0,9,,0,0,1024,2955,1024,2955
config_cross_domain,given-ref,gpt-5.6-sol,both_cognitive,0,1.0,1.0,0,5,,0,0,0,2624,0,2624
config_cross_domain,constructed,gpt-5.6-sol,both_cognitive,0,1.0,1.0,0,5,10,1187,3713,0,2747,1187,6460
config_cross_domain,no-ref,gpt-5.6-sol,both_cognitive,1,1.0,0.4,0,11,,0,0,512,2398,512,2398
config_cross_domain,given-ref,gpt-5.6-sol,both_cognitive,1,1.0,1.0,0,5,,0,0,0,2632,0,2632
config_cross_domain,constructed,gpt-5.6-sol,both_cognitive,1,1.0,1.0,0,5,10,1177,3741,0,2785,1177,6526
config_cross_domain,no-ref,gpt-5.6-sol,both_cognitive,2,1.0,0.4,0,11,,0,0,608,2504,608,2504
config_cross_domain,given-ref,gpt-5.6-sol,both_cognitive,2,1.0,1.0,0,5,,0,0,0,2629,0,2629
config_cross_domain,constructed,gpt-5.6-sol,both_cognitive,2,1.0,0.8,0,7,11,1904,4501,0,2822,1904,7323
config_cross_domain,no-ref,gpt-5.6-sol,one_inert,0,1.0,0.4,0,11,,0,0,512,2457,512,2457
config_cross_domain,given-ref,gpt-5.6-sol,one_inert,0,1.0,1.0,0,5,,0,0,118,2765,118,2765
config_cross_domain,constructed,gpt-5.6-sol,one_inert,0,1.0,1.0,0,5,10,959,3490,58,2767,1017,6257
config_cross_domain,no-ref,gpt-5.6-sol,one_inert,1,1.0,0.6,0,9,,0,0,1676,3694,1676,3694
config_cross_domain,given-ref,gpt-5.6-sol,one_inert,1,1.0,1.0,0,5,,0,0,187,2842,187,2842
config_cross_domain,constructed,gpt-5.6-sol,one_inert,1,1.0,0.8,0,7,11,1419,4091,63,2917,1482,7008
config_cross_domain,no-ref,gpt-5.6-sol,one_inert,2,1.0,0.6,0,9,,0,0,1720,3725,1720,3725
config_cross_domain,given-ref,gpt-5.6-sol,one_inert,2,1.0,1.0,0,5,,0,0,112,2741,112,2741
config_cross_domain,constructed,gpt-5.6-sol,one_inert,2,1.0,1.0,0,5,10,1024,3598,97,2847,1121,6445
config_cross_domain,no-ref,gpt-5-mini,both_cognitive,0,1.0,1.0,0,5,,0,0,1088,3300,1088,3300
config_cross_domain,given-ref,gpt-5-mini,both_cognitive,0,1.0,1.0,0,5,,0,0,640,3417,640,3417
config_cross_domain,constructed,gpt-5-mini,both_cognitive,0,1.0,1.0,0,5,10,2432,5175,1216,3985,3648,9160
config_cross_domain,no-ref,gpt-5-mini,both_cognitive,1,1.0,1.0,0,5,,0,0,832,3036,832,3036
config_cross_domain,given-ref,gpt-5-mini,both_cognitive,1,1.0,1.0,0,5,,0,0,512,3294,512,3294
config_cross_domain,constructed,gpt-5-mini,both_cognitive,1,0.833,1.0,0,4,10,1344,4094,1024,3837,2368,7931
config_cross_domain,no-ref,gpt-5-mini,both_cognitive,2,1.0,1.0,0,5,,0,0,896,3066,896,3066
config_cross_domain,given-ref,gpt-5-mini,both_cognitive,2,1.0,1.0,0,5,,0,0,512,3274,512,3274
config_cross_domain,constructed,gpt-5-mini,both_cognitive,2,0.833,1.0,0,4,10,1792,4668,768,3705,2560,8373
config_cross_domain,no-ref,gpt-5-mini,one_inert,0,0.833,1.0,1,3,,0,0,1472,3783,1472,3783
