case,phase,model,pragmatics,context,trial,n_anomalies,verdict_correct,verdict_accuracy,false_page,missed_suppress,reasoning_tokens,latency_s
config_observability,verdict,gpt-5-mini,on,normal,0,6,5,0.833,0,0,448,8.43
config_observability,verdict,gpt-5-mini,on,normal,1,6,4,0.667,0,1,384,6.95
config_observability,verdict,gpt-5-mini,on,maintenance,0,6,4,0.667,1,2,960,15.58
config_observability,verdict,gpt-5-mini,on,maintenance,1,6,6,1.0,0,0,576,9.87
config_observability,verdict,gpt-5-mini,on,holiday,0,6,6,1.0,0,0,384,6.88
config_observability,verdict,gpt-5-mini,on,holiday,1,6,6,1.0,0,0,512,8.81
config_observability,verdict,gpt-5-mini,off,normal,0,6,3,0.5,2,1,384,7.58
config_observability,verdict,gpt-5-mini,off,normal,1,6,2,0.333,2,2,448,8.67
config_observability,verdict,gpt-5-mini,off,maintenance,0,6,0,0.0,4,6,640,8.63
config_observability,verdict,gpt-5-mini,off,maintenance,1,6,1,0.167,3,5,448,7.93
config_observability,verdict,gpt-5-mini,off,holiday,0,6,2,0.333,2,3,512,8.16
config_observability,verdict,gpt-5-mini,off,holiday,1,6,2,0.333,1,3,512,7.86
