case,model,placement,reference_variant,evidence,budget,trial,submitted,proposed,precision,recall,surviving_instance_fc,experiment_only_recall,residual_total,residual_experiment_only,residual_native,confirmed_provision,refuted_provision,interrogated,interrogate_calls,provision_calls,turns,total_tokens,reasoning_tokens,latency_s,mean_conf_correct,mean_conf_incorrect,surviving_traps
instance_hard,gpt-5-nano,both_inert,none,id-only,unbounded,0,True,12,0.833,0.909,2,1.0,1,0,0,0,0,0,0,0,1,5880,4672,31.59,0.665,0.725,a.r1~b.r1;a.svc100~b.svc100
instance_hard,gpt-5-nano,both_inert,none,id-only,unbounded,1,True,12,0.583,0.636,1,0.5,1,2,1,0,0,0,0,0,1,5953,4736,32.24,0.756,0.75,a.svc100~b.svc100
instance_hard,gpt-5-nano,both_inert,none,id-only,unbounded,2,True,4,0.5,0.182,2,0.5,17,2,0,0,0,0,0,0,1,4571,3456,23.14,0.85,0.935,a.r1~b.r1;a.svc100~b.svc100
instance_hard,gpt-5-nano,both_inert,none,id-only,unbounded,3,True,9,0.556,0.455,2,0.5,7,2,0,0,0,0,0,0,1,5054,3904,24.58,0.72,0.738,a.r1~b.r1;a.svc100~b.svc100
instance_hard,gpt-5-nano,both_inert,none,id-only,unbounded,4,True,10,0.6,0.545,1,0.5,5,2,1,0,0,0,0,0,1,4657,3456,25.54,0.633,0.675,a.svc100~b.svc100
instance_hard,gpt-5-nano,both_inert,none,id-only,unbounded,5,True,8,0.75,0.545,2,0.5,9,2,0,0,0,0,0,0,1,5396,4224,26.57,0.758,0.85,a.r1~b.r1;a.svc100~b.svc100
instance_hard,gpt-5-nano,both_inert,none,rels,unbounded,0,True,12,0.917,1.0,1,1.0,1,0,1,0,0,0,0,0,1,11183,8704,55.59,0.905,0.9,a.svc100~b.svc100
instance_hard,gpt-5-nano,both_inert,none,rels,unbounded,1,True,11,1.0,1.0,0,1.0,3,0,3,0,0,0,0,0,1,9055,6592,43.81,0.865,,
instance_hard,gpt-5-nano,both_inert,none,rels,unbounded,2,True,11,1.0,1.0,0,1.0,3,0,3,0,0,0,0,0,1,10161,7744,50.18,0.773,,
instance_hard,gpt-5-nano,both_inert,none,rels,unbounded,3,True,7,0.429,0.273,1,0.5,11,2,1,0,0,0,0,0,1,13392,11008,73.44,0.917,0.825,a.svc100~b.svc100
