case,phase,model,pragmatics,context,trial,n_anomalies,verdict_correct,verdict_accuracy,false_page,missed_suppress,reasoning_tokens,latency_s
config_observability,verdict,gpt-5-nano,on,normal,0,6,4,0.667,0,1,1088,7.19
config_observability,verdict,gpt-5-nano,on,normal,1,6,3,0.5,0,2,1472,11.57
config_observability,verdict,gpt-5-nano,on,maintenance,0,6,1,0.167,2,5,2816,19.78
config_observability,verdict,gpt-5-nano,on,maintenance,1,6,1,0.167,2,5,1920,12.83
config_observability,verdict,gpt-5-nano,on,holiday,0,6,5,0.833,0,1,1472,9.93
config_observability,verdict,gpt-5-nano,on,holiday,1,6,5,0.833,0,1,1408,9.84
config_observability,verdict,gpt-5-nano,off,normal,0,6,4,0.667,1,1,896,6.03
config_observability,verdict,gpt-5-nano,off,normal,1,6,5,0.833,1,0,640,5.24
config_observability,verdict,gpt-5-nano,off,maintenance,0,6,1,0.167,3,5,960,7.35
config_observability,verdict,gpt-5-nano,off,maintenance,1,6,2,0.333,3,4,768,5.63
config_observability,verdict,gpt-5-nano,off,holiday,0,6,4,0.667,1,1,704,5.36
config_observability,verdict,gpt-5-nano,off,holiday,1,6,2,0.333,1,3,448,5.29
