case,stack,uses_reference,placement,proposed,true_positives,false_positives,false_negatives,surviving_false_cognates,precision,recall,f1,residual,candidates,bilateral_checks,binding_ops,scaling,total_tokens,reasoning_tokens,latency_s,model
config_tapi_teas,baseline-label-matcher,False,n/a,10,5,5,4,1,0.5,0.556,0.526,5,10,10,0,~N^2,,,,
config_tapi_teas,reference-reconciler,True,n/a,9,9,0,0,0,1.0,1.0,1.0,2,9,0,20,~N,,,,
config_tapi_teas,openai-agent(no-ref),False,both_cognitive,9,9,0,0,0,1.0,1.0,1.0,2,9,0,0,~N^2,2985,614,17.69,gpt-5.6-sol
config_tapi_teas,openai-agent(no-ref),False,both_cognitive,5,5,0,4,0,1.0,0.556,0.714,10,5,0,0,~N^2,3998,1791,33.39,gpt-5.6-sol
config_tapi_teas,openai-agent(no-ref),False,both_cognitive,6,6,0,3,0,1.0,0.667,0.8,8,6,0,0,~N^2,3674,1424,29.74,gpt-5.6-sol
config_tapi_teas,openai-agent(no-ref),False,both_cognitive,9,9,0,0,0,1.0,1.0,1.0,2,9,0,0,~N^2,2615,256,10.6,gpt-5.6-sol
config_tapi_teas,openai-agent(ref),True,both_cognitive,9,9,0,0,0,1.0,1.0,1.0,2,9,0,20,~N,3066,0,4.14,gpt-5.6-sol
config_tapi_teas,openai-agent(ref),True,both_cognitive,9,9,0,0,0,1.0,1.0,1.0,2,9,0,20,~N,3119,65,4.4,gpt-5.6-sol
config_tapi_teas,openai-agent(ref),True,both_cognitive,9,9,0,0,0,1.0,1.0,1.0,2,9,0,20,~N,3126,63,4.56,gpt-5.6-sol
config_tapi_teas,openai-agent(ref),True,both_cognitive,9,9,0,0,0,1.0,1.0,1.0,2,9,0,20,~N,3122,50,4.86,gpt-5.6-sol
config_tapi_teas,openai-agent(no-ref),False,one_inert,9,9,0,0,0,1.0,1.0,1.0,2,9,0,0,~N^2,3917,1237,26.81,gpt-5.6-sol
config_tapi_teas,openai-agent(no-ref),False,one_inert,10,9,1,0,0,0.9,1.0,0.947,0,10,0,0,~N^2,3770,1024,25.05,gpt-5.6-sol
config_tapi_teas,openai-agent(no-ref),False,one_inert,10,9,1,0,0,0.9,1.0,0.947,0,10,0,0,~N^2,4514,1756,37.11,gpt-5.6-sol
config_tapi_teas,openai-agent(no-ref),False,one_inert,10,9,1,0,0,0.9,1.0,0.947,0,10,0,0,~N^2,3507,806,21.98,gpt-5.6-sol
config_tapi_teas,openai-agent(ref),True,one_inert,9,9,0,0,0,1.0,1.0,1.0,2,9,0,20,~N,3570,158,9.04,gpt-5.6-sol
config_tapi_teas,openai-agent(ref),True,one_inert,9,9,0,0,0,1.0,1.0,1.0,2,9,0,20,~N,3520,105,8.19,gpt-5.6-sol
config_tapi_teas,openai-agent(ref),True,one_inert,9,9,0,0,0,1.0,1.0,1.0,2,9,0,20,~N,3507,111,8.38,gpt-5.6-sol
config_tapi_teas,openai-agent(ref),True,one_inert,9,9,0,0,0,1.0,1.0,1.0,2,9,0,20,~N,3507,97,8.01,gpt-5.6-sol
config_tapi_teas,openai-agent(no-ref),False,both_cognitive,9,9,0,0,0,1.0,1.0,1.0,2,9,0,0,~N^2,3741,1152,23.89,gpt-5-mini
config_tapi_teas,openai-agent(no-ref),False,both_cognitive,9,9,0,0,0,1.0,1.0,1.0,2,9,0,0,~N^2,3955,1344,25.3,gpt-5-mini
config_tapi_teas,openai-agent(no-ref),False,both_cognitive,8,8,0,1,0,1.0,0.889,0.941,4,8,0,0,~N^2,3830,1280,25.45,gpt-5-mini
config_tapi_teas,openai-agent(no-ref),False,both_cognitive,10,9,1,0,0,0.9,1.0,0.947,0,10,0,0,~N^2,3733,1088,22.89,gpt-5-mini
config_tapi_teas,openai-agent(ref),True,both_cognitive,9,9,0,0,0,1.0,1.0,1.0,2,9,0,20,~N,4039,640,20.92,gpt-5-mini
config_tapi_teas,openai-agent(ref),True,both_cognitive,9,9,0,0,0,1.0,1.0,1.0,2,9,0,20,~N,3972,640,28.46,gpt-5-mini
config_tapi_teas,openai-agent(ref),True,both_cognitive,9,9,0,0,0,1.0,1.0,1.0,2,9,0,20,~N,3762,384,20.07,gpt-5-mini
config_tapi_teas,openai-agent(ref),True,both_cognitive,10,9,1,0,0,0.9,1.0,0.947,0,10,0,20,~N,3854,384,18.33,gpt-5-mini
config_tapi_teas,openai-agent(no-ref),False,one_inert,10,9,1,0,0,0.9,1.0,0.947,0,10,0,0,~N^2,3802,768,22.78,gpt-5-mini
config_tapi_teas,openai-agent(no-ref),False,one_inert,10,9,1,0,0,0.9,1.0,0.947,0,10,0,0,~N^2,4604,1536,30.81,gpt-5-mini
config_tapi_teas,openai-agent(no-ref),False,one_inert,10,9,1,0,0,0.9,1.0,0.947,0,10,0,0,~N^2,4099,1088,23.19,gpt-5-mini
