case,stack,uses_reference,placement,proposed,true_positives,false_positives,false_negatives,surviving_false_cognates,precision,recall,f1,residual,candidates,bilateral_checks,binding_ops,scaling,total_tokens,reasoning_tokens,latency_s,model
config_cross_domain,baseline-label-matcher,False,n/a,4,3,1,2,1,0.75,0.6,0.667,7,4,4,0,~N^2,,,,
config_cross_domain,reference-reconciler,True,n/a,5,5,0,0,0,1.0,1.0,1.0,5,5,0,10,~N,,,,
config_cross_domain,openai-agent(no-ref),False,both_cognitive,2,2,0,3,0,1.0,0.4,0.571,11,2,0,0,~N^2,3340,1442,33.36,gpt-5.6-sol
config_cross_domain,openai-agent(no-ref),False,both_cognitive,3,3,0,2,0,1.0,0.6,0.75,9,3,0,0,~N^2,2313,379,11.92,gpt-5.6-sol
config_cross_domain,openai-agent(no-ref),False,both_cognitive,3,3,0,2,0,1.0,0.6,0.75,9,3,0,0,~N^2,2444,512,13.91,gpt-5.6-sol
config_cross_domain,openai-agent(ref),True,both_cognitive,5,5,0,0,0,1.0,1.0,1.0,5,5,0,10,~N,2630,0,4.21,gpt-5.6-sol
config_cross_domain,openai-agent(ref),True,both_cognitive,5,5,0,0,0,1.0,1.0,1.0,5,5,0,10,~N,2600,0,3.58,gpt-5.6-sol
config_cross_domain,openai-agent(ref),True,both_cognitive,5,5,0,0,0,1.0,1.0,1.0,5,5,0,10,~N,2631,0,4.48,gpt-5.6-sol
config_cross_domain,openai-agent(no-ref),False,one_inert,2,2,0,3,0,1.0,0.4,0.571,11,2,0,0,~N^2,3387,1418,23.47,gpt-5.6-sol
config_cross_domain,openai-agent(no-ref),False,one_inert,2,2,0,3,0,1.0,0.4,0.571,11,2,0,0,~N^2,2990,1024,18.58,gpt-5.6-sol
config_cross_domain,openai-agent(no-ref),False,one_inert,2,2,0,3,0,1.0,0.4,0.571,11,2,0,0,~N^2,2890,920,16.33,gpt-5.6-sol
config_cross_domain,openai-agent(ref),True,one_inert,5,5,0,0,0,1.0,1.0,1.0,5,5,0,10,~N,2803,106,8.3,gpt-5.6-sol
config_cross_domain,openai-agent(ref),True,one_inert,5,5,0,0,0,1.0,1.0,1.0,5,5,0,10,~N,2757,92,7.33,gpt-5.6-sol
config_cross_domain,openai-agent(ref),True,one_inert,5,5,0,0,0,1.0,1.0,1.0,5,5,0,10,~N,2791,112,13.96,gpt-5.6-sol
config_cross_domain,openai-agent(no-ref),False,both_inert,1,1,0,4,0,1.0,0.2,0.333,13,1,0,0,~N^2,3608,1692,35.32,gpt-5.6-sol
config_cross_domain,openai-agent(no-ref),False,both_inert,4,4,0,1,0,1.0,0.8,0.889,7,4,0,0,~N^2,4489,2407,52.01,gpt-5.6-sol
