case,model,pragmatics,scenario,trial,n_incidents_gold,n_incidents_agent,partition_exact,cause_correct,cause_accuracy,reasoning_tokens,latency_s
correlation_config,gpt-5.6-sol,on,C1,0,2,2,True,2,1.0,39,4.73
correlation_config,gpt-5.6-sol,on,C1,1,2,2,True,2,1.0,43,5.0
correlation_config,gpt-5.6-sol,on,C1,2,2,2,True,2,1.0,33,3.4
correlation_config,gpt-5.6-sol,on,C2,0,2,2,True,2,1.0,40,3.3
correlation_config,gpt-5.6-sol,on,C2,1,2,2,True,2,1.0,33,4.14
correlation_config,gpt-5.6-sol,on,C2,2,2,2,True,2,1.0,34,2.47
correlation_config,gpt-5.6-sol,on,C3,0,2,2,True,2,1.0,39,3.57
correlation_config,gpt-5.6-sol,on,C3,1,2,2,True,2,1.0,51,3.82
correlation_config,gpt-5.6-sol,on,C3,2,2,2,True,2,1.0,49,3.71
correlation_config,gpt-5.6-sol,off,C1,0,2,0,False,0,0.0,0,4.43
correlation_config,gpt-5.6-sol,off,C1,1,2,0,False,0,0.0,0,4.28
correlation_config,gpt-5.6-sol,off,C1,2,2,0,False,0,0.0,0,4.32
correlation_config,gpt-5.6-sol,off,C2,0,2,0,False,0,0.0,0,4.66
correlation_config,gpt-5.6-sol,off,C2,1,2,5,False,0,0.0,0,3.12
correlation_config,gpt-5.6-sol,off,C2,2,2,5,False,0,0.0,0,2.91
correlation_config,gpt-5.6-sol,off,C3,0,2,0,False,0,0.0,0,4.96
correlation_config,gpt-5.6-sol,off,C3,1,2,0,False,0,0.0,0,5.26
correlation_config,gpt-5.6-sol,off,C3,2,2,0,False,0,0.0,0,4.35
correlation_config,gpt-5-mini,on,C1,0,2,2,True,2,1.0,256,5.38
correlation_config,gpt-5-mini,on,C1,1,2,2,True,2,1.0,320,5.31
correlation_config,gpt-5-mini,on,C1,2,2,2,True,2,1.0,320,5.09
correlation_config,gpt-5-mini,on,C2,0,2,2,True,2,1.0,192,4.68
correlation_config,gpt-5-mini,on,C2,1,2,2,True,2,1.0,384,6.45
correlation_config,gpt-5-mini,on,C2,2,2,2,True,2,1.0,320,5.35
correlation_config,gpt-5-mini,on,C3,0,2,2,True,2,1.0,448,7.0
correlation_config,gpt-5-mini,on,C3,1,2,2,True,2,1.0,320,6.1
correlation_config,gpt-5-mini,on,C3,2,2,2,True,2,1.0,192,4.87
correlation_config,gpt-5-mini,off,C1,0,2,0,False,0,0.0,320,8.29
correlation_config,gpt-5-mini,off,C1,1,2,0,False,0,0.0,384,8.97
correlation_config,gpt-5-mini,off,C1,2,2,0,False,0,0.0,384,8.4
correlation_config,gpt-5-mini,off,C2,0,2,0,False,0,0.0,320,8.27
correlation_config,gpt-5-mini,off,C2,1,2,0,False,0,0.0,384,9.14
correlation_config,gpt-5-mini,off,C2,2,2,0,False,0,0.0,320,7.24
correlation_config,gpt-5-mini,off,C3,0,2,0,False,0,0.0,256,6.66
correlation_config,gpt-5-mini,off,C3,1,2,0,False,0,0.0,320,7.69
correlation_config,gpt-5-mini,off,C3,2,2,0,False,0,0.0,256,7.17
correlation_config,gpt-5-nano,on,C1,0,2,2,True,2,1.0,1792,12.34
correlation_config,gpt-5-nano,on,C1,1,2,2,True,2,1.0,2688,21.32
correlation_config,gpt-5-nano,on,C1,2,2,2,True,2,1.0,1600,13.8
correlation_config,gpt-5-nano,on,C2,0,2,2,True,2,1.0,1280,10.62
correlation_config,gpt-5-nano,on,C2,1,2,2,True,2,1.0,1920,13.17
correlation_config,gpt-5-nano,on,C2,2,2,2,True,2,1.0,1280,11.15
correlation_config,gpt-5-nano,on,C3,0,2,1,False,0,0.0,640,4.91
correlation_config,gpt-5-nano,on,C3,1,2,2,True,2,1.0,1664,12.13
correlation_config,gpt-5-nano,on,C3,2,2,1,False,0,0.0,1024,8.95
correlation_config,gpt-5-nano,off,C1,0,2,0,False,0,0.0,1216,14.28
correlation_config,gpt-5-nano,off,C1,1,2,0,False,0,0.0,1536,12.74
correlation_config,gpt-5-nano,off,C1,2,2,0,False,0,0.0,1984,19.46
correlation_config,gpt-5-nano,off,C2,0,2,0,False,0,0.0,1216,10.44
correlation_config,gpt-5-nano,off,C2,1,2,0,False,0,0.0,1408,11.59
correlation_config,gpt-5-nano,off,C2,2,2,0,False,0,0.0,1408,12.34
correlation_config,gpt-5-nano,off,C3,0,2,0,False,0,0.0,2304,15.17
correlation_config,gpt-5-nano,off,C3,1,2,0,False,0,0.0,1920,13.52
correlation_config,gpt-5-nano,off,C3,2,2,0,False,0,0.0,1024,8.78
