case,model,placement,cell,uses_reference,lexical,class,definition,example,n_fields,trial,precision,recall,surviving_false_cognates,residual,reasoning_tokens,surviving_traps
config_big_hard,gpt-5.6-sol,both_inert,id-only,True,0,0,0,0,0,0,0.923,1.0,0,5,1638,
config_big_hard,gpt-5.6-sol,both_inert,id-only,True,0,0,0,0,0,1,0.923,1.0,0,5,919,
config_big_hard,gpt-5.6-sol,both_inert,id-only,True,0,0,0,0,0,2,0.923,1.0,0,5,2113,
config_big_hard,gpt-5.6-sol,both_inert,id-only,True,0,0,0,0,0,3,0.917,0.917,0,7,512,
config_big_hard,gpt-5.6-sol,both_inert,id-only,True,0,0,0,0,0,4,0.923,1.0,0,5,1884,
config_big_hard,gpt-5.6-sol,both_inert,id-only,True,0,0,0,0,0,5,0.923,1.0,0,5,901,
config_big_hard,gpt-5.6-sol,both_inert,example,True,0,0,0,1,1,0,1.0,0.917,0,9,426,
config_big_hard,gpt-5.6-sol,both_inert,example,True,0,0,0,1,1,1,1.0,1.0,0,7,844,
config_big_hard,gpt-5.6-sol,both_inert,example,True,0,0,0,1,1,2,1.0,0.917,0,9,1024,
config_big_hard,gpt-5.6-sol,both_inert,example,True,0,0,0,1,1,3,1.0,0.917,0,9,600,
config_big_hard,gpt-5.6-sol,both_inert,example,True,0,0,0,1,1,4,1.0,0.917,0,9,754,
config_big_hard,gpt-5.6-sol,both_inert,example,True,0,0,0,1,1,5,1.0,0.917,0,9,1111,
config_big_hard,gpt-5.6-sol,both_inert,definition,True,0,0,1,0,1,0,1.0,1.0,0,7,287,
config_big_hard,gpt-5.6-sol,both_inert,definition,True,0,0,1,0,1,1,1.0,1.0,0,7,330,
config_big_hard,gpt-5.6-sol,both_inert,definition,True,0,0,1,0,1,2,1.0,1.0,0,7,258,
config_big_hard,gpt-5.6-sol,both_inert,definition,True,0,0,1,0,1,3,1.0,1.0,0,7,331,
config_big_hard,gpt-5.6-sol,both_inert,definition,True,0,0,1,0,1,4,1.0,1.0,0,7,254,
config_big_hard,gpt-5.6-sol,both_inert,definition,True,0,0,1,0,1,5,1.0,1.0,0,7,341,
config_big_hard,gpt-5.6-sol,both_inert,definition+example,True,0,0,1,1,2,0,1.0,1.0,0,7,330,
config_big_hard,gpt-5.6-sol,both_inert,definition+example,True,0,0,1,1,2,1,1.0,1.0,0,7,367,
config_big_hard,gpt-5.6-sol,both_inert,definition+example,True,0,0,1,1,2,2,1.0,1.0,0,7,402,
config_big_hard,gpt-5.6-sol,both_inert,definition+example,True,0,0,1,1,2,3,1.0,1.0,0,7,352,
config_big_hard,gpt-5.6-sol,both_inert,definition+example,True,0,0,1,1,2,4,1.0,1.0,0,7,300,
config_big_hard,gpt-5.6-sol,both_inert,definition+example,True,0,0,1,1,2,5,1.0,1.0,0,7,342,
config_big_hard,gpt-5.6-sol,both_inert,class,True,0,1,0,0,1,0,1.0,1.0,0,7,428,
config_big_hard,gpt-5.6-sol,both_inert,class,True,0,1,0,0,1,1,1.0,1.0,0,7,481,
config_big_hard,gpt-5.6-sol,both_inert,class,True,0,1,0,0,1,2,1.0,1.0,0,7,512,
config_big_hard,gpt-5.6-sol,both_inert,class,True,0,1,0,0,1,3,1.0,1.0,0,7,474,
config_big_hard,gpt-5.6-sol,both_inert,class,True,0,1,0,0,1,4,1.0,1.0,0,7,512,
config_big_hard,gpt-5.6-sol,both_inert,class,True,0,1,0,0,1,5,1.0,1.0,0,7,499,
config_big_hard,gpt-5.6-sol,both_inert,class+example,True,0,1,0,1,2,0,1.0,1.0,0,7,555,
config_big_hard,gpt-5.6-sol,both_inert,class+example,True,0,1,0,1,2,1,1.0,1.0,0,7,742,
config_big_hard,gpt-5.6-sol,both_inert,class+example,True,0,1,0,1,2,2,1.0,1.0,0,7,512,
config_big_hard,gpt-5.6-sol,both_inert,class+example,True,0,1,0,1,2,3,1.0,1.0,0,7,512,
config_big_hard,gpt-5.6-sol,both_inert,class+example,True,0,1,0,1,2,4,1.0,0.917,0,9,1019,
config_big_hard,gpt-5.6-sol,both_inert,class+example,True,0,1,0,1,2,5,1.0,1.0,0,7,512,
config_big_hard,gpt-5.6-sol,both_inert,class+definition,True,0,1,1,0,2,0,1.0,1.0,0,7,316,
config_big_hard,gpt-5.6-sol,both_inert,class+definition,True,0,1,1,0,2,1,1.0,1.0,0,7,442,
config_big_hard,gpt-5.6-sol,both_inert,class+definition,True,0,1,1,0,2,2,1.0,1.0,0,7,271,
config_big_hard,gpt-5.6-sol,both_inert,class+definition,True,0,1,1,0,2,3,1.0,1.0,0,7,306,
config_big_hard,gpt-5.6-sol,both_inert,class+definition,True,0,1,1,0,2,4,1.0,1.0,0,7,344,
config_big_hard,gpt-5.6-sol,both_inert,class+definition,True,0,1,1,0,2,5,1.0,1.0,0,7,283,
config_big_hard,gpt-5.6-sol,both_inert,class+definition+example,True,0,1,1,1,3,0,1.0,1.0,0,7,316,
config_big_hard,gpt-5.6-sol,both_inert,class+definition+example,True,0,1,1,1,3,1,1.0,1.0,0,7,345,
config_big_hard,gpt-5.6-sol,both_inert,class+definition+example,True,0,1,1,1,3,2,1.0,1.0,0,7,174,
config_big_hard,gpt-5.6-sol,both_inert,class+definition+example,True,0,1,1,1,3,3,1.0,1.0,0,7,328,
config_big_hard,gpt-5.6-sol,both_inert,class+definition+example,True,0,1,1,1,3,4,1.0,1.0,0,7,267,
config_big_hard,gpt-5.6-sol,both_inert,class+definition+example,True,0,1,1,1,3,5,1.0,1.0,0,7,237,
config_big_hard,gpt-5.6-sol,both_inert,lexical,True,1,0,0,0,1,0,1.0,1.0,0,7,323,
config_big_hard,gpt-5.6-sol,both_inert,lexical,True,1,0,0,0,1,1,1.0,1.0,0,7,413,
config_big_hard,gpt-5.6-sol,both_inert,lexical,True,1,0,0,0,1,2,1.0,1.0,0,7,349,
config_big_hard,gpt-5.6-sol,both_inert,lexical,True,1,0,0,0,1,3,1.0,1.0,0,7,337,
config_big_hard,gpt-5.6-sol,both_inert,lexical,True,1,0,0,0,1,4,1.0,1.0,0,7,399,
config_big_hard,gpt-5.6-sol,both_inert,lexical,True,1,0,0,0,1,5,1.0,1.0,0,7,461,
config_big_hard,gpt-5.6-sol,both_inert,lexical+example,True,1,0,0,1,2,0,1.0,1.0,0,7,349,
config_big_hard,gpt-5.6-sol,both_inert,lexical+example,True,1,0,0,1,2,1,1.0,1.0,0,7,380,
config_big_hard,gpt-5.6-sol,both_inert,lexical+example,True,1,0,0,1,2,2,1.0,1.0,0,7,406,
config_big_hard,gpt-5.6-sol,both_inert,lexical+example,True,1,0,0,1,2,3,1.0,1.0,0,7,377,
config_big_hard,gpt-5.6-sol,both_inert,lexical+example,True,1,0,0,1,2,4,1.0,1.0,0,7,419,
config_big_hard,gpt-5.6-sol,both_inert,lexical+example,True,1,0,0,1,2,5,1.0,1.0,0,7,360,
config_big_hard,gpt-5.6-sol,both_inert,lexical+definition,True,1,0,1,0,2,0,1.0,1.0,0,7,305,
config_big_hard,gpt-5.6-sol,both_inert,lexical+definition,True,1,0,1,0,2,1,1.0,1.0,0,7,289,
config_big_hard,gpt-5.6-sol,both_inert,lexical+definition,True,1,0,1,0,2,2,1.0,1.0,0,7,287,
config_big_hard,gpt-5.6-sol,both_inert,lexical+definition,True,1,0,1,0,2,3,1.0,1.0,0,7,323,
config_big_hard,gpt-5.6-sol,both_inert,lexical+definition,True,1,0,1,0,2,4,1.0,1.0,0,7,277,
config_big_hard,gpt-5.6-sol,both_inert,lexical+definition,True,1,0,1,0,2,5,1.0,1.0,0,7,296,
config_big_hard,gpt-5.6-sol,both_inert,lexical+definition+example,True,1,0,1,1,3,0,1.0,1.0,0,7,395,
config_big_hard,gpt-5.6-sol,both_inert,lexical+definition+example,True,1,0,1,1,3,1,1.0,1.0,0,7,330,
config_big_hard,gpt-5.6-sol,both_inert,lexical+definition+example,True,1,0,1,1,3,2,1.0,1.0,0,7,358,
config_big_hard,gpt-5.6-sol,both_inert,lexical+definition+example,True,1,0,1,1,3,3,1.0,1.0,0,7,302,
config_big_hard,gpt-5.6-sol,both_inert,lexical+definition+example,True,1,0,1,1,3,4,1.0,1.0,0,7,307,
config_big_hard,gpt-5.6-sol,both_inert,lexical+definition+example,True,1,0,1,1,3,5,1.0,1.0,0,7,290,
config_big_hard,gpt-5.6-sol,both_inert,lexical+class,True,1,1,0,0,2,0,1.0,1.0,0,7,484,
config_big_hard,gpt-5.6-sol,both_inert,lexical+class,True,1,1,0,0,2,1,1.0,1.0,0,7,504,
config_big_hard,gpt-5.6-sol,both_inert,lexical+class,True,1,1,0,0,2,2,1.0,1.0,0,7,398,
config_big_hard,gpt-5.6-sol,both_inert,lexical+class,True,1,1,0,0,2,3,1.0,1.0,0,7,437,
config_big_hard,gpt-5.6-sol,both_inert,lexical+class,True,1,1,0,0,2,4,1.0,1.0,0,7,384,
config_big_hard,gpt-5.6-sol,both_inert,lexical+class,True,1,1,0,0,2,5,1.0,1.0,0,7,382,
config_big_hard,gpt-5.6-sol,both_inert,lexical+class+example,True,1,1,0,1,3,0,1.0,1.0,0,7,388,
config_big_hard,gpt-5.6-sol,both_inert,lexical+class+example,True,1,1,0,1,3,1,1.0,1.0,0,7,432,
config_big_hard,gpt-5.6-sol,both_inert,lexical+class+example,True,1,1,0,1,3,2,1.0,1.0,0,7,306,
config_big_hard,gpt-5.6-sol,both_inert,lexical+class+example,True,1,1,0,1,3,3,1.0,1.0,0,7,300,
config_big_hard,gpt-5.6-sol,both_inert,lexical+class+example,True,1,1,0,1,3,4,1.0,1.0,0,7,412,
config_big_hard,gpt-5.6-sol,both_inert,lexical+class+example,True,1,1,0,1,3,5,1.0,1.0,0,7,314,
config_big_hard,gpt-5.6-sol,both_inert,lexical+class+definition,True,1,1,1,0,3,0,1.0,1.0,0,7,244,
