case,model,placement,cell,uses_reference,lexical,class,definition,example,n_fields,trial,precision,recall,surviving_false_cognates,residual,reasoning_tokens,surviving_traps
config_cross_domain,gpt-5.6-sol,both_inert,id-only,True,0,0,0,0,0,0,0.0,0.0,0,15,211,
config_cross_domain,gpt-5.6-sol,both_inert,id-only,True,0,0,0,0,0,1,0.0,0.0,0,15,804,
config_cross_domain,gpt-5.6-sol,both_inert,id-only,True,0,0,0,0,0,2,0.0,0.0,0,15,231,
config_cross_domain,gpt-5.6-sol,both_inert,example,True,0,0,0,1,1,0,1.0,1.0,0,5,120,
config_cross_domain,gpt-5.6-sol,both_inert,example,True,0,0,0,1,1,1,1.0,1.0,0,5,178,
config_cross_domain,gpt-5.6-sol,both_inert,example,True,0,0,0,1,1,2,1.0,1.0,0,5,87,
config_cross_domain,gpt-5.6-sol,both_inert,definition,True,0,0,1,0,1,0,1.0,1.0,0,5,164,
config_cross_domain,gpt-5.6-sol,both_inert,definition,True,0,0,1,0,1,1,1.0,1.0,0,5,276,
config_cross_domain,gpt-5.6-sol,both_inert,definition,True,0,0,1,0,1,2,1.0,1.0,0,5,198,
config_cross_domain,gpt-5.6-sol,both_inert,definition+example,True,0,0,1,1,2,0,1.0,1.0,0,5,120,
config_cross_domain,gpt-5.6-sol,both_inert,definition+example,True,0,0,1,1,2,1,1.0,1.0,0,5,182,
config_cross_domain,gpt-5.6-sol,both_inert,definition+example,True,0,0,1,1,2,2,1.0,1.0,0,5,203,
config_cross_domain,gpt-5.6-sol,both_inert,class,True,0,1,0,0,1,0,1.0,1.0,0,5,436,
config_cross_domain,gpt-5.6-sol,both_inert,class,True,0,1,0,0,1,1,1.0,1.0,0,5,744,
config_cross_domain,gpt-5.6-sol,both_inert,class,True,0,1,0,0,1,2,1.0,1.0,0,5,512,
config_cross_domain,gpt-5.6-sol,both_inert,class+example,True,0,1,0,1,2,0,1.0,1.0,0,5,86,
config_cross_domain,gpt-5.6-sol,both_inert,class+example,True,0,1,0,1,2,1,1.0,1.0,0,5,103,
config_cross_domain,gpt-5.6-sol,both_inert,class+example,True,0,1,0,1,2,2,1.0,1.0,0,5,122,
config_cross_domain,gpt-5.6-sol,both_inert,class+definition,True,0,1,1,0,2,0,1.0,1.0,0,5,264,
config_cross_domain,gpt-5.6-sol,both_inert,class+definition,True,0,1,1,0,2,1,1.0,1.0,0,5,287,
config_cross_domain,gpt-5.6-sol,both_inert,class+definition,True,0,1,1,0,2,2,1.0,0.8,0,7,421,
config_cross_domain,gpt-5.6-sol,both_inert,class+definition+example,True,0,1,1,1,3,0,1.0,1.0,0,5,512,
config_cross_domain,gpt-5.6-sol,both_inert,class+definition+example,True,0,1,1,1,3,1,1.0,1.0,0,5,192,
config_cross_domain,gpt-5.6-sol,both_inert,class+definition+example,True,0,1,1,1,3,2,1.0,0.8,0,7,270,
config_cross_domain,gpt-5.6-sol,both_inert,lexical,True,1,0,0,0,1,0,1.0,1.0,0,5,382,
config_cross_domain,gpt-5.6-sol,both_inert,lexical,True,1,0,0,0,1,1,1.0,0.8,0,7,605,
config_cross_domain,gpt-5.6-sol,both_inert,lexical,True,1,0,0,0,1,2,1.0,1.0,0,5,89,
config_cross_domain,gpt-5.6-sol,both_inert,lexical+example,True,1,0,0,1,2,0,1.0,1.0,0,5,67,
config_cross_domain,gpt-5.6-sol,both_inert,lexical+example,True,1,0,0,1,2,1,1.0,1.0,0,5,120,
config_cross_domain,gpt-5.6-sol,both_inert,lexical+example,True,1,0,0,1,2,2,1.0,1.0,0,5,111,
config_cross_domain,gpt-5.6-sol,both_inert,lexical+definition,True,1,0,1,0,2,0,1.0,1.0,0,5,132,
config_cross_domain,gpt-5.6-sol,both_inert,lexical+definition,True,1,0,1,0,2,1,1.0,1.0,0,5,203,
config_cross_domain,gpt-5.6-sol,both_inert,lexical+definition,True,1,0,1,0,2,2,1.0,1.0,0,5,155,
config_cross_domain,gpt-5.6-sol,both_inert,lexical+definition+example,True,1,0,1,1,3,0,1.0,0.8,0,7,942,
config_cross_domain,gpt-5.6-sol,both_inert,lexical+definition+example,True,1,0,1,1,3,1,1.0,1.0,0,5,210,
config_cross_domain,gpt-5.6-sol,both_inert,lexical+definition+example,True,1,0,1,1,3,2,1.0,1.0,0,5,421,
config_cross_domain,gpt-5.6-sol,both_inert,lexical+class,True,1,1,0,0,2,0,1.0,1.0,0,5,384,
config_cross_domain,gpt-5.6-sol,both_inert,lexical+class,True,1,1,0,0,2,1,1.0,1.0,0,5,182,
config_cross_domain,gpt-5.6-sol,both_inert,lexical+class,True,1,1,0,0,2,2,1.0,1.0,0,5,186,
config_cross_domain,gpt-5.6-sol,both_inert,lexical+class+example,True,1,1,0,1,3,0,1.0,1.0,0,5,74,
config_cross_domain,gpt-5.6-sol,both_inert,lexical+class+example,True,1,1,0,1,3,1,1.0,1.0,0,5,330,
config_cross_domain,gpt-5.6-sol,both_inert,lexical+class+example,True,1,1,0,1,3,2,1.0,1.0,0,5,147,
config_cross_domain,gpt-5.6-sol,both_inert,lexical+class+definition,True,1,1,1,0,3,0,1.0,1.0,0,5,124,
config_cross_domain,gpt-5.6-sol,both_inert,lexical+class+definition,True,1,1,1,0,3,1,1.0,1.0,0,5,131,
config_cross_domain,gpt-5.6-sol,both_inert,lexical+class+definition,True,1,1,1,0,3,2,1.0,1.0,0,5,129,
config_cross_domain,gpt-5.6-sol,both_inert,lexical+class+definition+example,True,1,1,1,1,4,0,1.0,0.8,0,7,600,
