case,model,placement,reference_variant,evidence,budget,trial,submitted,proposed,precision,recall,surviving_instance_fc,experiment_only_recall,residual_total,residual_experiment_only,residual_native,confirmed_provision,refuted_provision,interrogated,interrogate_calls,provision_calls,turns,total_tokens,reasoning_tokens,latency_s,mean_conf_correct,mean_conf_incorrect,surviving_traps
instance_hard,gpt-5-nano,both_cognitive,none,name+key+attrs+rels,12,0,True,11,1.0,1.0,0,1.0,3,0,3,2,0,4,8,2,7,87047,9536,67.63,0.928,,
instance_hard,gpt-5-nano,both_cognitive,none,name+key+attrs+rels,12,1,True,11,1.0,1.0,0,1.0,3,0,3,0,0,10,12,0,5,56116,8000,49.18,0.95,,
instance_hard,gpt-5-nano,both_cognitive,none,name+key+attrs+rels,12,2,True,11,1.0,1.0,0,1.0,3,0,3,0,0,6,10,0,3,35178,11072,66.44,0.925,,
instance_hard,gpt-5-nano,both_cognitive,none,name+attrs+rels,12,0,True,11,1.0,1.0,0,1.0,3,0,3,2,1,4,4,3,3,37479,10560,58.04,0.95,,
instance_hard,gpt-5-nano,both_cognitive,none,name+attrs+rels,12,1,True,11,1.0,1.0,0,1.0,3,0,3,0,0,0,0,0,1,13587,10432,57.37,0.957,,
instance_hard,gpt-5-nano,both_cognitive,none,name+attrs+rels,12,2,True,11,1.0,1.0,0,1.0,3,0,3,0,0,12,12,0,2,27095,10624,61.35,0.907,,
instance_hard,gpt-5-nano,both_cognitive,none,key+attrs+rels,12,0,True,11,1.0,1.0,0,1.0,3,0,3,0,0,12,12,0,2,26854,10688,56.54,0.954,,
instance_hard,gpt-5-nano,both_cognitive,none,key+attrs+rels,12,1,True,11,1.0,1.0,0,1.0,3,0,3,0,0,8,12,0,7,57989,7808,56.63,0.945,,
instance_hard,gpt-5-nano,both_cognitive,none,key+attrs+rels,12,2,True,11,1.0,1.0,0,1.0,3,0,3,0,0,4,8,0,8,95946,10176,66.18,0.895,,
instance_hard,gpt-5-nano,both_cognitive,none,name+key,12,0,True,1,1.0,0.091,0,0.0,23,4,3,1,1,0,0,2,2,13448,5824,38.62,0.99,,
instance_hard,gpt-5-nano,both_cognitive,none,name+key,12,1,True,7,1.0,0.636,0,0.0,11,4,3,2,0,0,0,2,2,12003,4992,30.25,0.98,,
instance_hard,gpt-5-nano,both_cognitive,none,name+key,12,2,True,12,0.917,1.0,1,1.0,1,0,1,0,0,10,12,0,5,34377,5632,35.82,0.817,0.9,a.svc100~b.svc100
instance_hard,gpt-5-nano,both_cognitive,none,attrs+rels,12,0,True,11,1.0,1.0,0,1.0,3,0,3,0,0,12,12,0,3,38401,10752,60.62,0.9,,
instance_hard,gpt-5-nano,both_cognitive,none,attrs+rels,12,1,True,11,1.0,1.0,0,1.0,3,0,3,0,0,12,12,0,3,30779,7744,50.04,0.94,,
instance_hard,gpt-5-nano,both_cognitive,none,attrs+rels,12,2,True,11,1.0,1.0,0,1.0,3,0,3,0,0,12,12,0,8,90564,8960,73.35,0.922,,
