case,model,placement,cell,uses_reference,lexical,class,definition,example,n_fields,trial,precision,recall,surviving_false_cognates,residual,reasoning_tokens,surviving_traps
config_big_hard,gpt-5.6-sol,both_inert,id-only,True,0,0,0,0,0,0,1.0,1.0,0,7,469,
config_big_hard,gpt-5.6-sol,both_inert,id-only,True,0,0,0,0,0,1,1.0,1.0,0,7,398,
config_big_hard,gpt-5.6-sol,both_inert,id-only,True,0,0,0,0,0,2,1.0,1.0,0,7,276,
config_big_hard,gpt-5.6-sol,both_inert,id-only,True,0,0,0,0,0,3,1.0,1.0,0,7,470,
config_big_hard,gpt-5.6-sol,both_inert,id-only,True,0,0,0,0,0,4,1.0,1.0,0,7,417,
config_big_hard,gpt-5.6-sol,both_inert,id-only,True,0,0,0,0,0,5,1.0,1.0,0,7,512,
config_big_hard,gpt-5.6-sol,both_inert,example,True,0,0,0,1,1,0,1.0,1.0,0,7,337,
config_big_hard,gpt-5.6-sol,both_inert,example,True,0,0,0,1,1,1,1.0,1.0,0,7,512,
config_big_hard,gpt-5.6-sol,both_inert,example,True,0,0,0,1,1,2,1.0,1.0,0,7,693,
config_big_hard,gpt-5.6-sol,both_inert,example,True,0,0,0,1,1,3,1.0,1.0,0,7,512,
config_big_hard,gpt-5.6-sol,both_inert,example,True,0,0,0,1,1,4,1.0,1.0,0,7,412,
config_big_hard,gpt-5.6-sol,both_inert,example,True,0,0,0,1,1,5,1.0,1.0,0,7,562,
config_big_hard,gpt-5.6-sol,both_inert,definition,True,0,0,1,0,1,0,1.0,1.0,0,7,415,
config_big_hard,gpt-5.6-sol,both_inert,definition,True,0,0,1,0,1,1,1.0,1.0,0,7,341,
config_big_hard,gpt-5.6-sol,both_inert,definition,True,0,0,1,0,1,2,1.0,1.0,0,7,263,
config_big_hard,gpt-5.6-sol,both_inert,definition,True,0,0,1,0,1,3,1.0,1.0,0,7,377,
config_big_hard,gpt-5.6-sol,both_inert,definition,True,0,0,1,0,1,4,1.0,1.0,0,7,413,
config_big_hard,gpt-5.6-sol,both_inert,definition,True,0,0,1,0,1,5,1.0,1.0,0,7,352,
config_big_hard,gpt-5.6-sol,both_inert,definition+example,True,0,0,1,1,2,0,1.0,1.0,0,7,460,
config_big_hard,gpt-5.6-sol,both_inert,definition+example,True,0,0,1,1,2,1,1.0,1.0,0,7,405,
