case,stack,uses_reference,placement,proposed,true_positives,false_positives,false_negatives,surviving_false_cognates,precision,recall,f1,residual,candidates,bilateral_checks,binding_ops,scaling,total_tokens,reasoning_tokens,latency_s,model
config_l3vpn,baseline-label-matcher,False,n/a,14,10,4,1,1,0.714,0.909,0.8,4,14,14,0,~N^2,,,,
config_l3vpn,reference-reconciler,True,n/a,11,11,0,0,0,1.0,1.0,1.0,4,11,0,24,~N,,,,
config_l3vpn,openai-agent(no-ref),False,both_cognitive,11,11,0,0,0,1.0,1.0,1.0,4,11,0,0,~N^2,3199,124,9.92,gpt-5.6-sol
config_l3vpn,openai-agent(no-ref),False,both_cognitive,11,11,0,0,0,1.0,1.0,1.0,4,11,0,0,~N^2,3205,141,7.54,gpt-5.6-sol
config_l3vpn,openai-agent(ref),True,both_cognitive,11,11,0,0,0,1.0,1.0,1.0,4,11,0,24,~N,3982,0,3.54,gpt-5.6-sol
config_l3vpn,openai-agent(ref),True,both_cognitive,11,11,0,0,0,1.0,1.0,1.0,4,11,0,24,~N,4168,73,5.95,gpt-5.6-sol
config_l3vpn,openai-agent(no-ref),False,one_inert,11,11,0,0,0,1.0,1.0,1.0,4,11,0,0,~N^2,3411,174,10.49,gpt-5.6-sol
config_l3vpn,openai-agent(no-ref),False,one_inert,11,11,0,0,0,1.0,1.0,1.0,4,11,0,0,~N^2,3368,135,9.23,gpt-5.6-sol
config_l3vpn,openai-agent(ref),True,one_inert,11,11,0,0,0,1.0,1.0,1.0,4,11,0,24,~N,4259,93,7.97,gpt-5.6-sol
config_l3vpn,openai-agent(ref),True,one_inert,11,11,0,0,0,1.0,1.0,1.0,4,11,0,24,~N,4183,55,6.65,gpt-5.6-sol
config_l3vpn,openai-agent(no-ref),False,both_inert,11,11,0,0,0,1.0,1.0,1.0,4,11,0,0,~N^2,3750,433,11.7,gpt-5.6-sol
config_l3vpn,openai-agent(no-ref),False,both_inert,11,11,0,0,0,1.0,1.0,1.0,4,11,0,0,~N^2,3745,424,12.26,gpt-5.6-sol
config_l3vpn,openai-agent(ref),True,both_inert,11,11,0,0,0,1.0,1.0,1.0,4,11,0,24,~N,4335,127,10.37,gpt-5.6-sol
config_l3vpn,openai-agent(ref),True,both_inert,11,11,0,0,0,1.0,1.0,1.0,4,11,0,24,~N,4360,162,9.32,gpt-5.6-sol
config_l3vpn,openai-agent(no-ref),False,both_cognitive,12,11,1,0,0,0.917,1.0,0.957,2,12,0,0,~N^2,3948,576,11.16,gpt-5-mini
config_l3vpn,openai-agent(no-ref),False,both_cognitive,11,11,0,0,0,1.0,1.0,1.0,4,11,0,0,~N^2,4043,704,13.62,gpt-5-mini
config_l3vpn,openai-agent(ref),True,both_cognitive,11,11,0,0,0,1.0,1.0,1.0,4,11,0,24,~N,5026,704,14.13,gpt-5-mini
config_l3vpn,openai-agent(ref),True,both_cognitive,12,11,1,0,0,0.917,1.0,0.957,2,12,0,24,~N,5650,1280,20.48,gpt-5-mini
config_l3vpn,openai-agent(no-ref),False,one_inert,12,11,1,0,0,0.917,1.0,0.957,2,12,0,0,~N^2,4615,896,18.97,gpt-5-mini
config_l3vpn,openai-agent(no-ref),False,one_inert,12,11,1,0,0,0.917,1.0,0.957,2,12,0,0,~N^2,4454,768,16.35,gpt-5-mini
config_l3vpn,openai-agent(ref),True,one_inert,12,11,1,0,0,0.917,1.0,0.957,2,12,0,24,~N,5684,1088,20.92,gpt-5-mini
config_l3vpn,openai-agent(ref),True,one_inert,12,11,1,0,0,0.917,1.0,0.957,2,12,0,24,~N,5844,1280,23.17,gpt-5-mini
config_l3vpn,openai-agent(no-ref),False,both_inert,12,11,1,0,0,0.917,1.0,0.957,2,12,0,0,~N^2,4567,768,16.35,gpt-5-mini
config_l3vpn,openai-agent(no-ref),False,both_inert,12,11,1,0,0,0.917,1.0,0.957,2,12,0,0,~N^2,4774,832,17.73,gpt-5-mini
config_l3vpn,openai-agent(ref),True,both_inert,11,11,0,0,0,1.0,1.0,1.0,4,11,0,24,~N,6047,1472,23.85,gpt-5-mini
config_l3vpn,openai-agent(ref),True,both_inert,11,11,0,0,0,1.0,1.0,1.0,4,11,0,24,~N,6327,1792,27.56,gpt-5-mini
config_l3vpn,openai-agent(no-ref),False,both_cognitive,12,11,1,0,0,0.917,1.0,0.957,2,12,0,0,~N^2,7113,3776,20.38,gpt-5-nano
config_l3vpn,openai-agent(no-ref),False,both_cognitive,12,11,1,0,0,0.917,1.0,0.957,2,12,0,0,~N^2,7568,4288,24.99,gpt-5-nano
config_l3vpn,openai-agent(ref),True,both_cognitive,11,11,0,0,0,1.0,1.0,1.0,4,11,0,24,~N,6746,2432,16.59,gpt-5-nano
config_l3vpn,openai-agent(ref),True,both_cognitive,11,11,0,0,0,1.0,1.0,1.0,4,11,0,24,~N,7632,3328,20.68,gpt-5-nano
config_l3vpn,openai-agent(no-ref),False,one_inert,12,11,1,0,0,0.917,1.0,0.957,2,12,0,0,~N^2,7519,4032,22.88,gpt-5-nano
config_l3vpn,openai-agent(no-ref),False,one_inert,12,11,1,0,0,0.917,1.0,0.957,2,12,0,0,~N^2,7907,4352,22.98,gpt-5-nano
config_l3vpn,openai-agent(ref),True,one_inert,12,11,1,0,0,0.917,1.0,0.957,2,12,0,24,~N,9436,5056,25.62,gpt-5-nano
config_l3vpn,openai-agent(ref),True,one_inert,12,11,1,0,0,0.917,1.0,0.957,2,12,0,24,~N,9223,4864,26.74,gpt-5-nano
config_l3vpn,openai-agent(no-ref),False,both_inert,12,11,1,0,0,0.917,1.0,0.957,2,12,0,0,~N^2,8343,5056,25.09,gpt-5-nano
config_l3vpn,openai-agent(no-ref),False,both_inert,12,11,1,0,0,0.917,1.0,0.957,2,12,0,0,~N^2,7050,3520,19.91,gpt-5-nano
config_l3vpn,openai-agent(ref),True,both_inert,11,11,0,0,0,1.0,1.0,1.0,4,11,0,24,~N,9782,5632,26.16,gpt-5-nano
config_l3vpn,openai-agent(ref),True,both_inert,11,11,0,0,0,1.0,1.0,1.0,4,11,0,24,~N,11411,7104,32.43,gpt-5-nano
