case,model,placement,interrogation,evidence,reference_variant,budget,trial,submitted,proposed,precision,recall,surviving_instance_fc,experiment_only_recall,residual_total,residual_experiment_only,residual_native,confirmed_provision,refuted_provision,interrogated,interrogate_calls,provision_calls,turns,total_tokens,reasoning_tokens,latency_s,mean_conf_correct,mean_conf_incorrect,surviving_traps
instance_hard,gpt-5.6-sol,both_cognitive,none,key,none,unbounded,0,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,1,1183,166,6.03,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,none,key,none,unbounded,1,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,1,1200,183,6.48,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,none,key,none,unbounded,2,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,1,1120,103,3.69,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,none,key,none,unbounded,3,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,1,1120,103,3.6,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,none,key,none,unbounded,4,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,1,1081,64,3.15,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,none,key,none,unbounded,5,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,1,1111,94,4.2,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,lookup,key,none,unbounded,0,True,9,1.0,0.818,0,0.5,7,2,3,0,0,11,24,0,4,8455,273,18.05,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,lookup,key,none,unbounded,1,True,12,0.917,1.0,1,1.0,1,0,1,0,0,11,18,0,3,6143,479,21.44,0.993,0.97,a.svc100~b.svc100
instance_hard,gpt-5.6-sol,both_cognitive,lookup,key,none,unbounded,2,True,9,1.0,0.818,0,0.5,7,2,3,0,0,11,17,0,3,6413,631,20.56,0.998,,
instance_hard,gpt-5.6-sol,both_cognitive,lookup,key,none,unbounded,3,True,9,1.0,0.818,0,0.5,7,2,3,0,0,11,31,0,5,11949,448,24.25,0.998,,
instance_hard,gpt-5.6-sol,both_cognitive,lookup,key,none,unbounded,4,True,9,1.0,0.818,0,0.5,7,2,3,0,0,11,25,0,4,8792,363,19.74,0.998,,
instance_hard,gpt-5.6-sol,both_cognitive,lookup,key,none,unbounded,5,True,9,1.0,0.818,0,0.5,7,2,3,0,0,11,25,0,4,8745,368,23.12,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,discovery,key,none,unbounded,0,True,11,1.0,1.0,0,1.0,3,0,3,0,0,11,11,0,2,3273,129,8.02,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,discovery,key,none,unbounded,1,True,11,1.0,1.0,0,1.0,3,0,3,0,0,11,11,0,2,3270,138,8.87,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,discovery,key,none,unbounded,2,True,11,1.0,1.0,0,1.0,3,0,3,0,0,11,11,0,2,3245,129,8.29,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,discovery,key,none,unbounded,3,True,11,1.0,1.0,0,1.0,3,0,3,0,0,11,11,0,2,3329,164,8.93,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,discovery,key,none,unbounded,4,True,11,1.0,1.0,0,1.0,3,0,3,0,0,11,11,0,2,3255,135,10.04,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,discovery,key,none,unbounded,5,True,11,1.0,1.0,0,1.0,3,0,3,0,0,11,11,0,2,3353,205,9.35,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,full,key,none,unbounded,0,True,11,1.0,1.0,0,1.0,3,0,3,0,1,11,11,1,3,5545,209,9.62,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,full,key,none,unbounded,1,True,11,1.0,1.0,0,1.0,3,0,3,0,1,11,11,1,3,5602,250,11.16,1.0,,
