case,model,trial,fact_id,gold_layer,gold_timing,layer,timing,confidence,layer_correct,timing_correct
config_cross_domain,gpt-5.6-sol,0,corr-underlay,schematic,freeze,schematic,freeze,0.99,1,1
config_cross_domain,gpt-5.6-sol,0,corr-demarc-identity,schematic,freeze,schematic,freeze,0.99,1,1
config_cross_domain,gpt-5.6-sol,0,cognate-grade,schematic,freeze,schematic,freeze,1.0,1,1
config_cross_domain,gpt-5.6-sol,0,schema-types,schematic,freeze,schematic,freeze,1.0,1,1
config_cross_domain,gpt-5.6-sol,0,src-rate,provenance,freeze,provenance,freeze,0.99,1,1
config_cross_domain,gpt-5.6-sol,0,src-latency,provenance,freeze,provenance,freeze,0.99,1,1
config_cross_domain,gpt-5.6-sol,0,val-latency-now,instance,live,instance,live,1.0,1,1
config_cross_domain,gpt-5.6-sol,0,state-protection-now,instance,live,instance,live,1.0,1,1
config_cross_domain,gpt-5.6-sol,0,deliverability-now,pragmatic,live,pragmatic,live,1.0,1,1
config_cross_domain,gpt-5.6-sol,0,use-intent,pragmatic,live,pragmatic,live,0.97,1,1
config_cross_domain,gpt-5.6-sol,0,demarc-change-resolution,pragmatic,live,pragmatic,live,1.0,1,1
config_cross_domain,gpt-5.6-sol,1,corr-underlay,schematic,freeze,schematic,freeze,0.98,1,1
config_cross_domain,gpt-5.6-sol,1,corr-demarc-identity,schematic,freeze,schematic,freeze,0.98,1,1
config_cross_domain,gpt-5.6-sol,1,cognate-grade,schematic,freeze,schematic,freeze,0.99,1,1
config_cross_domain,gpt-5.6-sol,1,schema-types,schematic,freeze,schematic,freeze,0.99,1,1
config_cross_domain,gpt-5.6-sol,1,src-rate,provenance,freeze,provenance,freeze,0.99,1,1
config_cross_domain,gpt-5.6-sol,1,src-latency,provenance,freeze,provenance,freeze,0.99,1,1
config_cross_domain,gpt-5.6-sol,1,val-latency-now,instance,live,instance,live,1.0,1,1
config_cross_domain,gpt-5.6-sol,1,state-protection-now,instance,live,instance,live,1.0,1,1
config_cross_domain,gpt-5.6-sol,1,deliverability-now,pragmatic,live,pragmatic,live,1.0,1,1
config_cross_domain,gpt-5.6-sol,1,use-intent,pragmatic,live,pragmatic,live,0.97,1,1
config_cross_domain,gpt-5.6-sol,1,demarc-change-resolution,pragmatic,live,pragmatic,live,1.0,1,1
config_cross_domain,gpt-5.6-sol,2,corr-underlay,schematic,freeze,schematic,freeze,0.98,1,1
config_cross_domain,gpt-5.6-sol,2,corr-demarc-identity,schematic,freeze,schematic,freeze,0.98,1,1
config_cross_domain,gpt-5.6-sol,2,cognate-grade,schematic,freeze,schematic,freeze,0.99,1,1
config_cross_domain,gpt-5.6-sol,2,schema-types,schematic,freeze,schematic,freeze,0.99,1,1
config_cross_domain,gpt-5.6-sol,2,src-rate,provenance,freeze,provenance,freeze,0.99,1,1
config_cross_domain,gpt-5.6-sol,2,src-latency,provenance,freeze,provenance,freeze,0.99,1,1
config_cross_domain,gpt-5.6-sol,2,val-latency-now,instance,live,instance,live,1.0,1,1
config_cross_domain,gpt-5.6-sol,2,state-protection-now,instance,live,instance,live,1.0,1,1
config_cross_domain,gpt-5.6-sol,2,deliverability-now,pragmatic,live,pragmatic,live,1.0,1,1
config_cross_domain,gpt-5.6-sol,2,use-intent,pragmatic,live,pragmatic,live,0.96,1,1
