case,model_side,arm,consumer,trial,meaning_score,confabulation_rate,use_recall,use_precision,ambiguity_flag_recall,over_claim,total_tokens,reasoning_tokens,latency_s
config_cross_domain,a,bare,deepseek-chat,0,1.0,0.0,1.0,0.857,0.0,1.0,2259,0,3.61
config_cross_domain,a,bare,deepseek-chat,1,0.8,0.0,0.833,0.833,0.0,1.0,2268,0,3.36
config_cross_domain,a,bare,deepseek-chat,2,1.0,0.0,0.833,0.833,0.0,1.0,2252,0,3.38
config_cross_domain,a,anchored,deepseek-chat,0,1.0,0.0,0.833,1.0,1.0,0.0,2935,0,3.27
config_cross_domain,a,anchored,deepseek-chat,1,1.0,0.0,1.0,0.857,0.0,1.0,2844,0,3.26
config_cross_domain,a,anchored,deepseek-chat,2,1.0,0.0,0.833,1.0,1.0,0.0,2858,0,3.17
config_big_hard,a,bare,deepseek-chat,0,1.0,0.0,1.0,0.429,0.5,0.5,3714,0,4.68
config_big_hard,a,bare,deepseek-chat,1,1.0,0.0,1.0,0.429,0.5,0.5,3730,0,4.21
config_big_hard,a,bare,deepseek-chat,2,1.0,0.0,1.0,0.429,0.5,0.5,3613,0,3.65
config_big_hard,a,anchored,deepseek-chat,0,1.0,0.0,1.0,0.429,1.0,0.0,5144,0,4.1
config_big_hard,a,anchored,deepseek-chat,1,1.0,0.0,1.0,0.462,0.5,0.5,5290,0,4.66
config_big_hard,a,anchored,deepseek-chat,2,1.0,0.0,0.0,0.0,0.0,1.0,5651,0,7.1
config_rest,a,bare,deepseek-chat,0,1.0,0.0,1.0,1.0,0.0,1.0,2383,0,3.02
config_rest,a,bare,deepseek-chat,1,1.0,0.0,1.0,0.857,0.0,1.0,2405,0,2.98
config_rest,a,bare,deepseek-chat,2,1.0,0.0,1.0,1.0,0.0,1.0,2469,0,3.38
config_rest,a,anchored,deepseek-chat,0,0.833,0.167,1.0,0.857,0.0,1.0,3118,0,3.8
config_rest,a,anchored,deepseek-chat,1,1.0,0.0,0.833,1.0,0.0,1.0,3112,0,3.84
config_rest,a,anchored,deepseek-chat,2,0.833,0.167,1.0,0.857,1.0,0.0,3118,0,3.87
config_cross_domain,a,bare,qwen2.5:7b,0,0.0,0.0,0.167,1.0,1.0,0.0,1630,0,17.92
config_cross_domain,a,bare,qwen2.5:7b,1,1.0,0.0,0.833,1.0,1.0,0.0,1887,0,23.6
config_cross_domain,a,bare,qwen2.5:7b,2,0.0,0.0,0.833,1.0,1.0,0.0,1657,0,10.18
config_cross_domain,a,anchored,qwen2.5:7b,0,1.0,0.0,0.5,0.6,0.0,1.0,2555,0,33.04
config_cross_domain,a,anchored,qwen2.5:7b,1,1.0,0.0,0.833,0.833,0.0,1.0,2476,0,18.47
config_cross_domain,a,anchored,qwen2.5:7b,2,1.0,0.0,0.667,0.8,0.0,1.0,2455,0,17.61
config_big_hard,a,bare,qwen2.5:7b,0,0.833,0.0,0.5,0.429,0.5,0.5,3126,0,41.47
config_big_hard,a,bare,qwen2.5:7b,1,0.167,0.667,0.0,0.0,0.5,0.5,3032,0,18.33
config_big_hard,a,bare,qwen2.5:7b,2,0.0,0.0,0.167,0.5,0.5,0.5,2905,0,11.57
config_big_hard,a,anchored,qwen2.5:7b,0,0.5,0.167,0.667,0.667,0.0,1.0,2432,0,36.5
config_big_hard,a,anchored,qwen2.5:7b,1,0.333,0.167,0.0,0.0,0.0,1.0,2542,0,29.8
config_big_hard,a,anchored,qwen2.5:7b,2,0.667,0.167,0.5,0.75,0.5,0.5,2490,0,29.57
config_rest,a,bare,qwen2.5:7b,0,1.0,0.0,0.833,0.833,0.0,1.0,2121,0,48.89
config_rest,a,bare,qwen2.5:7b,1,1.0,0.0,0.167,1.0,0.0,1.0,2073,0,29.17
config_rest,a,bare,qwen2.5:7b,2,1.0,0.0,0.833,0.5,1.0,0.0,2141,0,34.79
config_rest,a,anchored,qwen2.5:7b,0,0.833,0.0,0.0,0.0,0.0,1.0,2709,0,47.03
config_rest,a,anchored,qwen2.5:7b,1,0.833,0.0,0.167,0.5,1.0,0.0,2608,0,22.51
config_rest,a,anchored,qwen2.5:7b,2,0.0,0.167,0.833,1.0,1.0,0.0,2478,0,13.87
