case,consumer,arm,trial,qid,judge_a,judge_b,label_a,label_b,agree
config_cross_domain,gpt-5.6-sol,bare,0,q_circuit,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5.6-sol,bare,0,q_grade,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5.6-sol,bare,0,q_bearer,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5.6-sol,bare,0,q_handoff,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5.6-sol,bare,0,q_protection,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5.6-sol,bare,1,q_circuit,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5.6-sol,bare,1,q_grade,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5.6-sol,bare,1,q_bearer,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5.6-sol,bare,1,q_handoff,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5.6-sol,bare,1,q_protection,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5.6-sol,bare,2,q_circuit,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5.6-sol,bare,2,q_grade,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5.6-sol,bare,2,q_bearer,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5.6-sol,bare,2,q_handoff,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5.6-sol,bare,2,q_protection,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5-nano,bare,0,q_circuit,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5-nano,bare,0,q_grade,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5-nano,bare,0,q_bearer,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5-nano,bare,0,q_handoff,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5-nano,bare,0,q_protection,gpt-5.6-sol,deepseek-chat,faithful,faithful,1
config_cross_domain,gpt-5-nano,bare,1,q_circuit,gpt-5.6-sol,deepseek-chat,partial,faithful,0
