case,stack,uses_reference,placement,proposed,true_positives,false_positives,false_negatives,surviving_false_cognates,precision,recall,f1,conf_correct_mean,conf_wrong_mean,calibration_gap,brier,confident_errors,confident_error_rate,residual,candidates,bilateral_checks,binding_ops,scaling,total_tokens,reasoning_tokens,latency_s,model
config_vendor_messy,baseline-label-matcher,False,n/a,3,3,0,6,0,1.0,0.333,0.5,,,,,,,14,3,3,0,~N^2,,,,
config_vendor_messy,reference-reconciler,True,n/a,9,9,0,0,0,1.0,1.0,1.0,,,,,,,3,9,0,20,~N,,,,
config_vendor_messy,openai-agent(no-ref),False,both_cognitive,8,8,0,1,0,1.0,0.889,0.941,0.968,,,0.002,0,0.0,4,8,0,0,~N^2,2251,65,6.81,gpt-5.6-sol
config_vendor_messy,openai-agent(no-ref),False,both_cognitive,8,8,0,1,0,1.0,0.889,0.941,0.972,,,0.001,0,0.0,4,8,0,0,~N^2,2266,65,5.97,gpt-5.6-sol
config_vendor_messy,openai-agent(no-ref),False,both_cognitive,8,8,0,1,0,1.0,0.889,0.941,0.969,,,0.002,0,0.0,4,8,0,0,~N^2,2267,72,7.16,gpt-5.6-sol
config_vendor_messy,openai-agent(ref),True,both_cognitive,9,9,0,0,0,1.0,1.0,1.0,1.0,,,0.0,0,0.0,3,9,0,20,~N,3090,116,10.59,gpt-5.6-sol
config_vendor_messy,openai-agent(ref),True,both_cognitive,9,9,0,0,0,1.0,1.0,1.0,1.0,,,0.0,0,0.0,3,9,0,20,~N,3071,119,8.82,gpt-5.6-sol
config_vendor_messy,openai-agent(ref),True,both_cognitive,9,9,0,0,0,1.0,1.0,1.0,1.0,,,0.0,0,0.0,3,9,0,20,~N,3085,106,9.47,gpt-5.6-sol
config_vendor_messy,openai-agent(no-ref),False,one_inert,8,8,0,1,0,1.0,0.889,0.941,0.973,,,0.001,0,0.0,4,8,0,0,~N^2,2617,205,18.45,gpt-5.6-sol
config_vendor_messy,openai-agent(no-ref),False,one_inert,8,8,0,1,0,1.0,0.889,0.941,0.978,,,0.001,0,0.0,4,8,0,0,~N^2,2578,157,19.68,gpt-5.6-sol
config_vendor_messy,openai-agent(no-ref),False,one_inert,8,8,0,1,0,1.0,0.889,0.941,0.979,,,0.001,0,0.0,4,8,0,0,~N^2,2506,86,15.37,gpt-5.6-sol
