case,stack,uses_reference,placement,proposed,true_positives,false_positives,false_negatives,surviving_false_cognates,precision,recall,f1,residual,candidates,bilateral_checks,binding_ops,scaling,total_tokens,reasoning_tokens,latency_s,model
obs_routing,baseline-label-matcher,False,n/a,7,4,3,0,1,0.571,1.0,0.727,6,7,7,0,~N^2,,,,
obs_routing,reference-reconciler,True,n/a,3,3,0,1,0,1.0,0.75,0.857,11,3,0,10,~N,,,,
obs_routing,openai-agent(no-ref),False,both_cognitive,3,3,0,1,0,1.0,0.75,0.857,11,3,0,0,~N^2,2286,219,6.76,gpt-5.6-sol
obs_routing,openai-agent(no-ref),False,both_cognitive,3,3,0,1,0,1.0,0.75,0.857,11,3,0,0,~N^2,2138,67,4.28,gpt-5.6-sol
obs_routing,openai-agent(ref),True,both_cognitive,3,3,0,1,0,1.0,0.75,0.857,11,3,0,10,~N,2547,0,2.37,gpt-5.6-sol
obs_routing,openai-agent(ref),True,both_cognitive,3,3,0,1,0,1.0,0.75,0.857,11,3,0,10,~N,2542,0,2.61,gpt-5.6-sol
obs_routing,openai-agent(no-ref),False,one_inert,2,2,0,2,0,1.0,0.5,0.667,13,2,0,0,~N^2,2719,711,13.84,gpt-5.6-sol
obs_routing,openai-agent(no-ref),False,one_inert,2,2,0,2,0,1.0,0.5,0.667,13,2,0,0,~N^2,2348,375,8.3,gpt-5.6-sol
obs_routing,openai-agent(ref),True,one_inert,3,3,0,1,0,1.0,0.75,0.857,11,3,0,10,~N,2657,160,4.79,gpt-5.6-sol
obs_routing,openai-agent(ref),True,one_inert,3,3,0,1,0,1.0,0.75,0.857,11,3,0,10,~N,2588,78,5.14,gpt-5.6-sol
obs_routing,openai-agent(no-ref),False,both_inert,3,3,0,1,0,1.0,0.75,0.857,11,3,0,0,~N^2,2106,111,4.42,gpt-5.6-sol
obs_routing,openai-agent(no-ref),False,both_inert,3,3,0,1,0,1.0,0.75,0.857,11,3,0,0,~N^2,2102,118,4.56,gpt-5.6-sol
obs_routing,openai-agent(ref),True,both_inert,3,3,0,1,0,1.0,0.75,0.857,11,3,0,10,~N,2584,172,6.25,gpt-5.6-sol
