case,arm,model,intent,scenario,policy,trial,offer_id,gold_offer,offer_correct,decision,gold_decision,decision_correct,offer_deliverable,catalogue_offer,catalogue_undeliverable,diverges_from_catalogue
intent_hard,catalogue_oracle,deterministic,I2,clear,exec,0,r1a,r1a,1,reject,reject,1,1,r1a,0,0
intent_hard,deliverability_oracle,deterministic,I2,clear,exec,0,r1a,r1a,1,reject,reject,1,1,r1a,0,0
intent_hard,catalogue_oracle,deterministic,I2,clear,resil,0,r1b,r1b,1,accept,accept,1,1,r1b,0,0
intent_hard,deliverability_oracle,deterministic,I2,clear,resil,0,r1b,r1b,1,accept,accept,1,1,r1b,0,0
intent_hard,catalogue_oracle,deterministic,I2,clear,bulk,0,r1a,r1a,1,accept,accept,1,1,r1a,0,0
intent_hard,deliverability_oracle,deterministic,I2,clear,bulk,0,r1a,r1a,1,accept,accept,1,1,r1a,0,0
intent_hard,catalogue_oracle,deterministic,I2,constrained,exec,0,r1a,r1a,1,reject,reject,1,1,r1a,0,0
intent_hard,deliverability_oracle,deterministic,I2,constrained,exec,0,r1a,r1a,1,reject,reject,1,1,r1a,0,0
intent_hard,catalogue_oracle,deterministic,I2,constrained,resil,0,r1b,r1c,0,decline,accept,0,0,r1b,1,0
intent_hard,deliverability_oracle,deterministic,I2,constrained,resil,0,r1c,r1c,1,accept,accept,1,1,r1b,1,1
intent_hard,catalogue_oracle,deterministic,I2,constrained,bulk,0,r1a,r1a,1,accept,accept,1,1,r1a,0,0
intent_hard,deliverability_oracle,deterministic,I2,constrained,bulk,0,r1a,r1a,1,accept,accept,1,1,r1a,0,0
intent_hard,catalogue_oracle,deterministic,I2,outage,exec,0,r1a,decline,0,decline,decline,1,0,r1a,1,0
intent_hard,deliverability_oracle,deterministic,I2,outage,exec,0,decline,decline,1,decline,decline,1,1,r1a,1,1
intent_hard,catalogue_oracle,deterministic,I2,outage,resil,0,r1b,decline,0,decline,decline,1,0,r1b,1,0
intent_hard,deliverability_oracle,deterministic,I2,outage,resil,0,decline,decline,1,decline,decline,1,1,r1b,1,1
intent_hard,catalogue_oracle,deterministic,I2,outage,bulk,0,r1a,decline,0,decline,decline,1,0,r1a,1,0
intent_hard,deliverability_oracle,deterministic,I2,outage,bulk,0,decline,decline,1,decline,decline,1,1,r1a,1,1
intent_hard,catalogue_oracle,deterministic,I3,clear,exec,0,r4a,r4a,1,reject,reject,1,1,r4a,0,0
intent_hard,deliverability_oracle,deterministic,I3,clear,exec,0,r4a,r4a,1,reject,reject,1,1,r4a,0,0
intent_hard,catalogue_oracle,deterministic,I3,clear,resil,0,r4b,r4b,1,accept,accept,1,1,r4b,0,0
intent_hard,deliverability_oracle,deterministic,I3,clear,resil,0,r4b,r4b,1,accept,accept,1,1,r4b,0,0
intent_hard,catalogue_oracle,deterministic,I3,clear,bulk,0,r4a,r4a,1,reject,reject,1,1,r4a,0,0
intent_hard,deliverability_oracle,deterministic,I3,clear,bulk,0,r4a,r4a,1,reject,reject,1,1,r4a,0,0
intent_hard,catalogue_oracle,deterministic,I3,constrained,exec,0,r4a,r4a,1,reject,reject,1,1,r4a,0,0
intent_hard,deliverability_oracle,deterministic,I3,constrained,exec,0,r4a,r4a,1,reject,reject,1,1,r4a,0,0
intent_hard,catalogue_oracle,deterministic,I3,constrained,resil,0,r4b,r4a,0,decline,reject,0,0,r4b,1,0
intent_hard,deliverability_oracle,deterministic,I3,constrained,resil,0,r4a,r4a,1,reject,reject,1,1,r4b,1,1
intent_hard,catalogue_oracle,deterministic,I3,constrained,bulk,0,r4a,r4a,1,reject,reject,1,1,r4a,0,0
intent_hard,deliverability_oracle,deterministic,I3,constrained,bulk,0,r4a,r4a,1,reject,reject,1,1,r4a,0,0
intent_hard,catalogue_oracle,deterministic,I3,outage,exec,0,r4a,decline,0,decline,decline,1,0,r4a,1,0
intent_hard,deliverability_oracle,deterministic,I3,outage,exec,0,decline,decline,1,decline,decline,1,1,r4a,1,1
intent_hard,catalogue_oracle,deterministic,I3,outage,resil,0,r4b,decline,0,decline,decline,1,0,r4b,1,0
intent_hard,deliverability_oracle,deterministic,I3,outage,resil,0,decline,decline,1,decline,decline,1,1,r4b,1,1
intent_hard,catalogue_oracle,deterministic,I3,outage,bulk,0,r4a,decline,0,decline,decline,1,0,r4a,1,0
intent_hard,deliverability_oracle,deterministic,I3,outage,bulk,0,decline,decline,1,decline,decline,1,1,r4a,1,1
