case,phase,model,policy,placement,reference,trial,submitted,n_intents,decision_correct,decision_accuracy,offer_correct,refer_count,best_calls,policy_calls,feasibility_calls,turns,total_tokens,reasoning_tokens,latency_s
intent_metro,negotiate,gpt-5.6-sol,premium,both_cognitive,none,0,True,3,3,1.0,3,0,3,3,3,3,6937,53,6.68
intent_metro,negotiate,gpt-5.6-sol,premium,both_cognitive,none,1,True,3,3,1.0,3,0,3,3,3,3,6928,49,6.4
intent_metro,negotiate,gpt-5.6-sol,premium,provider_inert,none,0,True,3,3,1.0,3,0,0,3,0,3,7096,559,14.69
intent_metro,negotiate,gpt-5.6-sol,premium,provider_inert,none,1,True,3,3,1.0,3,0,0,3,0,3,6841,416,17.71
intent_metro,negotiate,gpt-5.6-sol,premium,consumer_policy,none,0,True,3,3,1.0,3,0,3,3,3,3,7073,64,6.76
intent_metro,negotiate,gpt-5.6-sol,premium,consumer_policy,none,1,True,3,3,1.0,3,0,3,3,3,4,9693,87,7.57
intent_metro,negotiate,gpt-5.6-sol,premium,consumer_mute,none,0,True,3,0,0.0,0,3,3,0,3,3,6990,85,9.92
intent_metro,negotiate,gpt-5.6-sol,premium,consumer_mute,none,1,True,3,0,0.0,0,3,3,0,3,3,7018,87,6.67
intent_metro,negotiate,gpt-5.6-sol,premium,both_inert,none,0,True,3,0,0.0,0,3,0,0,0,1,2408,671,9.21
intent_metro,negotiate,gpt-5.6-sol,premium,both_inert,none,1,True,3,0,0.0,0,3,0,0,0,1,2152,415,6.14
intent_metro,negotiate,gpt-5.6-sol,premium,both_cognitive,unit,0,True,3,3,1.0,3,0,3,3,3,3,7930,83,8.87
intent_metro,negotiate,gpt-5.6-sol,premium,both_cognitive,unit,1,True,3,3,1.0,3,0,3,3,3,3,7878,55,6.21
intent_metro,negotiate,gpt-5.6-sol,premium,both_cognitive,invariant,0,True,3,3,1.0,3,0,3,3,3,4,12069,46,6.42
intent_metro,negotiate,gpt-5.6-sol,premium,both_cognitive,invariant,1,True,3,3,1.0,3,0,3,3,3,3,8891,57,7.07
intent_metro,negotiate,gpt-5.6-sol,assured,both_cognitive,none,0,True,3,3,1.0,3,0,3,3,3,3,6926,55,6.27
intent_metro,negotiate,gpt-5.6-sol,assured,both_cognitive,none,1,True,3,3,1.0,3,0,3,3,3,3,6915,50,5.38
intent_metro,negotiate,gpt-5.6-sol,assured,provider_inert,none,0,True,3,3,1.0,2,0,0,3,0,3,6645,301,10.65
intent_metro,negotiate,gpt-5.6-sol,assured,provider_inert,none,1,True,3,3,1.0,2,0,0,3,0,3,6514,252,9.32
intent_metro,negotiate,gpt-5.6-sol,assured,consumer_policy,none,0,True,3,3,1.0,3,0,3,3,3,3,7092,81,6.21
intent_metro,negotiate,gpt-5.6-sol,assured,consumer_policy,none,1,True,3,3,1.0,3,0,3,3,3,3,7120,88,8.12
intent_metro,negotiate,gpt-5.6-sol,assured,consumer_mute,none,0,True,3,0,0.0,0,3,3,0,3,3,6966,78,10.11
intent_metro,negotiate,gpt-5.6-sol,assured,consumer_mute,none,1,True,3,0,0.0,0,3,3,0,3,3,6985,85,6.06
intent_metro,negotiate,gpt-5.6-sol,assured,both_inert,none,0,True,3,0,0.0,0,3,0,0,0,1,1894,159,3.26
intent_metro,negotiate,gpt-5.6-sol,assured,both_inert,none,1,True,3,0,0.0,0,3,0,0,0,1,2075,340,5.77
