case,phase,model,policy,placement,reference,trial,submitted,n_intents,decision_correct,decision_accuracy,offer_correct,refer_count,best_calls,policy_calls,feasibility_calls,turns,total_tokens,reasoning_tokens,latency_s
intent_hard,negotiate,gpt-5.6-sol,exec,both_cognitive,none,0,True,3,3,1.0,3,0,3,3,3,3,7232,53,8.6
intent_hard,negotiate,gpt-5.6-sol,exec,both_cognitive,none,1,True,3,3,1.0,3,0,3,3,3,3,7228,48,7.73
intent_hard,negotiate,gpt-5.6-sol,exec,provider_inert,none,0,True,3,3,1.0,3,0,0,3,0,3,7187,434,12.71
intent_hard,negotiate,gpt-5.6-sol,exec,provider_inert,none,1,True,3,3,1.0,3,0,0,3,0,3,6981,337,10.69
intent_hard,negotiate,gpt-5.6-sol,exec,consumer_policy,none,0,True,3,3,1.0,3,0,3,3,3,3,7367,63,8.68
intent_hard,negotiate,gpt-5.6-sol,exec,consumer_policy,none,1,True,3,3,1.0,3,0,3,3,3,3,7463,112,9.03
intent_hard,negotiate,gpt-5.6-sol,exec,consumer_mute,none,0,True,3,0,0.0,0,3,3,0,3,3,7291,73,8.51
intent_hard,negotiate,gpt-5.6-sol,exec,consumer_mute,none,1,True,3,0,0.0,0,3,3,0,3,3,7235,62,9.65
intent_hard,negotiate,gpt-5.6-sol,exec,both_inert,none,0,True,3,0,0.0,0,3,0,0,0,1,2103,266,7.22
intent_hard,negotiate,gpt-5.6-sol,exec,both_inert,none,1,True,3,0,0.0,0,3,0,0,0,1,2249,412,8.25
intent_hard,negotiate,gpt-5.6-sol,exec,both_cognitive,unit,0,True,3,3,1.0,3,0,3,3,3,3,8329,66,7.47
intent_hard,negotiate,gpt-5.6-sol,exec,both_cognitive,unit,1,True,3,3,1.0,3,0,3,3,3,3,8289,48,7.18
intent_hard,negotiate,gpt-5.6-sol,exec,both_cognitive,invariant,0,True,3,3,1.0,3,0,3,3,3,3,9417,55,7.93
intent_hard,negotiate,gpt-5.6-sol,exec,both_cognitive,invariant,1,True,3,3,1.0,3,0,3,3,3,3,9406,49,8.12
intent_hard,negotiate,gpt-5.6-sol,resil,both_cognitive,none,0,True,3,3,1.0,3,0,3,3,3,3,7196,42,7.75
intent_hard,negotiate,gpt-5.6-sol,resil,both_cognitive,none,1,True,3,3,1.0,3,0,3,3,3,3,7215,54,7.23
intent_hard,negotiate,gpt-5.6-sol,resil,provider_inert,none,0,True,3,3,1.0,2,0,0,3,0,3,6760,225,9.43
intent_hard,negotiate,gpt-5.6-sol,resil,provider_inert,none,1,True,3,3,1.0,2,0,0,3,0,3,7031,389,11.74
