case,condition,model,placement,trial,precision,recall,surviving_false_cognates,residual,constructed_entries,construct_reasoning_tokens,construct_total_tokens,bind_reasoning_tokens,bind_total_tokens,total_reasoning_tokens,total_tokens
config_big_hard,no-ref,gpt-5.6-sol,both_cognitive,0,1.0,0.833,0,11,,0,0,861,4090,861,4090
config_big_hard,given-ref,gpt-5.6-sol,both_cognitive,0,1.0,1.0,0,7,,0,0,113,4529,113,4529
config_big_hard,constructed,gpt-5.6-sol,both_cognitive,0,1.0,1.0,0,7,19,1368,5436,0,4704,1368,10140
config_big_hard,no-ref,gpt-5.6-sol,both_cognitive,1,1.0,0.667,0,15,,0,0,1688,4860,1688,4860
config_big_hard,given-ref,gpt-5.6-sol,both_cognitive,1,1.0,1.0,0,7,,0,0,107,4535,107,4535
config_big_hard,constructed,gpt-5.6-sol,both_cognitive,1,1.0,1.0,0,7,19,947,5037,72,4800,1019,9837
config_big_hard,no-ref,gpt-5.6-sol,both_cognitive,2,1.0,0.75,0,13,,0,0,2538,5767,2538,5767
config_big_hard,given-ref,gpt-5.6-sol,both_cognitive,2,1.0,1.0,0,7,,0,0,0,4422,0,4422
config_big_hard,constructed,gpt-5.6-sol,both_cognitive,2,0.917,0.917,0,7,19,988,5081,98,4838,1086,9919
config_big_hard,no-ref,gpt-5.6-sol,one_inert,0,1.0,1.0,0,7,,0,0,563,4395,563,4395
config_big_hard,given-ref,gpt-5.6-sol,one_inert,0,1.0,1.0,0,7,,0,0,266,5218,266,5218
config_big_hard,constructed,gpt-5.6-sol,one_inert,0,1.0,1.0,0,7,19,858,4911,105,5143,963,10054
config_big_hard,no-ref,gpt-5.6-sol,one_inert,1,0.917,0.917,0,7,,0,0,2270,6098,2270,6098
config_big_hard,given-ref,gpt-5.6-sol,one_inert,1,1.0,1.0,0,7,,0,0,240,5100,240,5100
config_big_hard,constructed,gpt-5.6-sol,one_inert,1,1.0,0.917,0,9,20,1266,5435,128,5279,1394,10714
config_big_hard,no-ref,gpt-5.6-sol,one_inert,2,1.0,0.917,0,9,,0,0,1226,5009,1226,5009
config_big_hard,given-ref,gpt-5.6-sol,one_inert,2,1.0,1.0,0,7,,0,0,272,5151,272,5151
config_big_hard,constructed,gpt-5.6-sol,one_inert,2,0.923,1.0,0,5,18,825,4853,0,5019,825,9872
config_big_hard,no-ref,gpt-5-mini,both_cognitive,0,0.923,1.0,0,5,,0,0,1664,5440,1664,5440
config_big_hard,given-ref,gpt-5-mini,both_cognitive,0,1.0,1.0,0,7,,0,0,1024,5887,1024,5887
config_big_hard,constructed,gpt-5-mini,both_cognitive,0,0.917,0.917,0,7,19,2816,7349,1664,6452,4480,13801
config_big_hard,no-ref,gpt-5-mini,both_cognitive,1,0.917,0.917,0,7,,0,0,2048,5699,2048,5699
config_big_hard,given-ref,gpt-5-mini,both_cognitive,1,1.0,1.0,0,7,,0,0,1088,5865,1088,5865
config_big_hard,constructed,gpt-5-mini,both_cognitive,1,0.857,1.0,0,4,17,2944,7346,2880,7620,5824,14966
config_big_hard,no-ref,gpt-5-mini,both_cognitive,2,0.923,1.0,0,5,,0,0,1920,5636,1920,5636
config_big_hard,given-ref,gpt-5-mini,both_cognitive,2,1.0,1.0,0,7,,0,0,1024,5789,1024,5789
config_big_hard,constructed,gpt-5-mini,both_cognitive,2,0.846,0.917,0,5,18,1536,5570,1728,6419,3264,11989
config_big_hard,no-ref,gpt-5-mini,one_inert,0,0.857,1.0,0,3,,0,0,1920,6304,1920,6304
config_big_hard,given-ref,gpt-5-mini,one_inert,0,0.923,1.0,0,5,,0,0,2304,7731,2304,7731
config_big_hard,constructed,gpt-5-mini,one_inert,0,0.857,1.0,0,3,17,2560,6989,1728,6836,4288,13825
config_big_hard,no-ref,gpt-5-mini,one_inert,1,0.857,1.0,0,3,,0,0,1984,6374,1984,6374
config_big_hard,given-ref,gpt-5-mini,one_inert,1,1.0,1.0,0,7,,0,0,2048,7269,2048,7269
config_big_hard,constructed,gpt-5-mini,one_inert,1,0.909,0.833,0,9,20,3136,7777,2048,7123,5184,14900
config_big_hard,no-ref,gpt-5-mini,one_inert,2,0.857,1.0,0,3,,0,0,2176,6712,2176,6712
config_big_hard,given-ref,gpt-5-mini,one_inert,2,0.923,1.0,0,5,,0,0,2816,8313,2816,8313
config_big_hard,constructed,gpt-5-mini,one_inert,2,0.923,1.0,0,5,18,2944,6943,1664,6852,4608,13795
config_big_hard,no-ref,gpt-5-nano,both_cognitive,0,0.857,1.0,1,3,,0,0,6784,10113,6784,10113
config_big_hard,given-ref,gpt-5-nano,both_cognitive,0,1.0,1.0,0,7,,0,0,3840,8462,3840,8462
config_big_hard,constructed,gpt-5-nano,both_cognitive,0,1.0,0.75,0,13,17,12160,15929,6656,10924,18816,26853
config_big_hard,no-ref,gpt-5-nano,both_cognitive,1,0.923,1.0,1,5,,0,0,4736,8046,4736,8046
config_big_hard,given-ref,gpt-5-nano,both_cognitive,1,1.0,1.0,0,7,,0,0,3200,7886,3200,7886
config_big_hard,constructed,gpt-5-nano,both_cognitive,1,0.875,0.583,1,15,21,12544,17076,10944,15487,23488,32563
config_big_hard,no-ref,gpt-5-nano,both_cognitive,2,0.923,1.0,1,5,,0,0,6464,10112,6464,10112
config_big_hard,given-ref,gpt-5-nano,both_cognitive,2,1.0,1.0,0,7,,0,0,2816,7408,2816,7408
config_big_hard,constructed,gpt-5-nano,both_cognitive,2,0.917,0.917,0,8,16,13376,17499,7808,12104,21184,29603
config_big_hard,no-ref,gpt-5-nano,one_inert,0,0.923,1.0,1,5,,0,0,7360,11190,7360,11190
config_big_hard,given-ref,gpt-5-nano,one_inert,0,0.923,1.0,1,5,,0,0,7488,12845,7488,12845
config_big_hard,constructed,gpt-5-nano,one_inert,0,1.0,0.833,0,11,16,12032,15864,7552,12259,19584,28123
config_big_hard,no-ref,gpt-5-nano,one_inert,1,0.857,1.0,1,3,,0,0,8448,12482,8448,12482
config_big_hard,given-ref,gpt-5-nano,one_inert,1,1.0,1.0,0,7,,0,0,12288,17564,12288,17564
config_big_hard,constructed,gpt-5-nano,one_inert,1,0.0,0.0,0,31,16,12288,16338,2880,7509,15168,23847
config_big_hard,no-ref,gpt-5-nano,one_inert,2,0.8,1.0,1,1,,0,0,9344,13521,9344,13521
config_big_hard,given-ref,gpt-5-nano,one_inert,2,1.0,0.917,0,9,,0,0,9408,14236,9408,14236
config_big_hard,constructed,gpt-5-nano,one_inert,2,1.0,1.0,0,7,20,12800,17152,5824,10895,18624,28047
