case,arm,model,trial,n_systems,agent_passes,total_tokens,precision,recall,f1,false_pos
scaling_otn,reuse (control: reference),-,0,4,3,0,1.0,1.0,1.0,0
scaling_otn,pairwise (control: label),-,0,4,6,0,0.738,0.407,0.505,12
scaling_otn,reuse (agent),gpt-5.6-sol,0,4,3,6517,1.0,1.0,1.0,0
scaling_otn,pairwise (agent),gpt-5.6-sol,0,4,6,12499,1.0,0.945,0.967,0
scaling_otn,reuse (agent),gpt-5.6-sol,1,4,3,6499,1.0,1.0,1.0,0
scaling_otn,pairwise (agent),gpt-5.6-sol,1,4,6,14102,1.0,0.87,0.924,0
scaling_otn,reuse (agent),gpt-5.6-sol,2,4,3,6499,1.0,1.0,1.0,0
scaling_otn,pairwise (agent),gpt-5.6-sol,2,4,6,14126,1.0,0.908,0.946,0
scaling_otn,reuse (agent),gpt-5-mini,0,4,3,8582,1.0,1.0,1.0,0
scaling_otn,pairwise (agent),gpt-5-mini,0,4,6,16665,1.0,1.0,1.0,0
scaling_otn,reuse (agent),gpt-5-mini,1,4,3,8587,1.0,1.0,1.0,0
scaling_otn,pairwise (agent),gpt-5-mini,1,4,6,17398,1.0,0.982,0.99,0
scaling_otn,reuse (agent),gpt-5-mini,2,4,3,8547,1.0,1.0,1.0,0
scaling_otn,pairwise (agent),gpt-5-mini,2,4,6,17407,1.0,1.0,1.0,0
scaling_otn,reuse (agent),gpt-5-nano,0,4,3,11319,1.0,1.0,1.0,0
scaling_otn,pairwise (agent),gpt-5-nano,0,4,6,29761,1.0,0.982,0.99,0
scaling_otn,reuse (agent),gpt-5-nano,1,4,3,11416,1.0,1.0,1.0,0
scaling_otn,pairwise (agent),gpt-5-nano,1,4,6,31177,1.0,0.963,0.979,0
scaling_otn,reuse (agent),gpt-5-nano,2,4,3,10399,0.833,0.833,0.833,0
scaling_otn,pairwise (agent),gpt-5-nano,2,4,6,29738,0.833,0.685,0.743,0
