case,phase,model,policy,placement,reference,trial,submitted,n_intents,decision_correct,decision_accuracy,offer_correct,refer_count,best_calls,policy_calls,feasibility_calls,turns,total_tokens,reasoning_tokens,latency_s
intent_hard,negotiate,gpt-5-mini,exec,both_cognitive,none,0,True,3,3,1.0,3,0,3,3,3,6,19489,704,16.76
intent_hard,negotiate,gpt-5-mini,exec,both_cognitive,none,1,True,3,3,1.0,3,0,3,3,3,10,26917,256,17.8
intent_hard,negotiate,gpt-5-mini,exec,provider_inert,none,0,True,3,3,1.0,3,0,0,3,0,10,36334,1856,33.71
intent_hard,negotiate,gpt-5-mini,exec,provider_inert,none,1,True,3,3,1.0,3,0,0,3,0,8,29295,1792,29.06
intent_hard,negotiate,gpt-5-mini,exec,consumer_policy,none,0,True,3,3,1.0,3,0,3,3,3,10,28296,384,19.67
intent_hard,negotiate,gpt-5-mini,exec,consumer_policy,none,1,True,3,3,1.0,3,0,3,3,0,7,17921,320,16.89
intent_hard,negotiate,gpt-5-mini,exec,consumer_mute,none,0,True,3,0,0.0,0,3,3,0,3,6,16448,192,14.63
intent_hard,negotiate,gpt-5-mini,exec,consumer_mute,none,1,True,3,0,0.0,0,3,3,0,3,6,18343,576,17.93
intent_hard,negotiate,gpt-5-mini,exec,both_inert,none,0,True,3,0,0.0,0,3,0,0,0,1,3599,1728,18.16
intent_hard,negotiate,gpt-5-mini,exec,both_inert,none,1,True,3,0,0.0,0,3,0,0,0,1,3768,1920,21.45
intent_hard,negotiate,gpt-5-mini,exec,both_cognitive,unit,0,True,3,3,1.0,3,0,3,3,3,6,20093,512,14.94
intent_hard,negotiate,gpt-5-mini,exec,both_cognitive,unit,1,True,3,3,1.0,3,0,3,3,3,6,20408,704,17.75
intent_hard,negotiate,gpt-5-mini,exec,both_cognitive,invariant,0,True,3,3,1.0,3,0,3,3,3,6,22611,512,16.76
intent_hard,negotiate,gpt-5-mini,exec,both_cognitive,invariant,1,True,3,3,1.0,3,0,3,3,3,3,11082,704,12.82
intent_hard,negotiate,gpt-5-mini,resil,both_cognitive,none,0,True,3,3,1.0,3,0,3,3,3,8,25719,960,21.92
intent_hard,negotiate,gpt-5-mini,resil,both_cognitive,none,1,True,3,3,1.0,3,0,3,3,3,6,16642,256,12.89
intent_hard,negotiate,gpt-5-mini,resil,provider_inert,none,0,True,3,3,1.0,2,0,0,3,0,8,31578,2048,32.17
intent_hard,negotiate,gpt-5-mini,resil,provider_inert,none,1,True,3,3,1.0,2,0,0,3,0,5,15566,1472,21.54
intent_hard,negotiate,gpt-5-mini,resil,consumer_policy,none,0,True,3,3,1.0,3,0,3,3,3,6,16752,256,13.08
intent_hard,negotiate,gpt-5-mini,resil,consumer_policy,none,1,True,3,3,1.0,3,0,3,3,3,6,16881,320,16.83
intent_hard,negotiate,gpt-5-mini,resil,consumer_mute,none,0,True,3,0,0.0,0,3,3,0,3,8,25143,704,20.38
intent_hard,negotiate,gpt-5-mini,resil,consumer_mute,none,1,True,3,0,0.0,0,3,3,0,3,10,27820,384,19.88
intent_hard,negotiate,gpt-5-mini,resil,both_inert,none,0,True,3,0,0.0,0,3,0,0,0,1,4230,2368,23.86
intent_hard,negotiate,gpt-5-mini,resil,both_inert,none,1,True,3,0,0.0,0,3,0,0,0,1,3205,1344,14.53
intent_hard,negotiate,gpt-5-mini,resil,both_cognitive,unit,0,True,3,3,1.0,3,0,3,3,3,6,23664,1152,21.31
intent_hard,negotiate,gpt-5-mini,resil,both_cognitive,unit,1,True,3,3,1.0,3,0,3,3,3,6,19966,512,15.84
