case,phase,model,placement,reference,trial,submitted,n_intents,satisfaction_correct,satisfaction_accuracy,eo_correct,eo_total,fabricated,feasibility_calls,turns,total_tokens,reasoning_tokens,latency_s
intent_metro,refine,gpt-5.6-sol,both_cognitive,none,0,True,6,6,1.0,2,2,0,9,2,5226,256,9.58
intent_metro,refine,gpt-5.6-sol,both_cognitive,none,1,True,6,6,1.0,2,2,0,10,3,8657,484,22.1
intent_metro,refine,gpt-5.6-sol,both_cognitive,unit,0,True,6,6,1.0,2,2,0,13,2,6636,353,10.05
intent_metro,refine,gpt-5.6-sol,both_cognitive,unit,1,True,6,6,1.0,2,2,0,11,3,9926,493,14.29
intent_metro,refine,gpt-5.6-sol,both_cognitive,invariant,0,True,6,6,1.0,2,2,0,13,3,11659,580,18.14
intent_metro,refine,gpt-5.6-sol,both_cognitive,invariant,1,True,6,6,1.0,2,2,0,13,2,7068,233,8.86
intent_metro,refine,gpt-5.6-sol,provider_inert,none,0,True,6,4,0.667,0,2,0,0,2,5381,423,9.62
intent_metro,refine,gpt-5.6-sol,provider_inert,none,1,True,6,4,0.667,0,2,0,0,2,5283,535,10.47
intent_metro,refine,gpt-5.6-sol,provider_inert,unit,0,True,6,4,0.667,0,2,0,0,2,5878,550,10.72
intent_metro,refine,gpt-5.6-sol,provider_inert,unit,1,True,6,4,0.667,0,2,0,0,2,5927,562,10.97
intent_metro,refine,gpt-5.6-sol,provider_inert,invariant,0,True,6,4,0.667,0,2,0,0,2,6355,420,9.65
intent_metro,refine,gpt-5.6-sol,provider_inert,invariant,1,True,6,4,0.667,0,2,0,0,2,6070,236,7.13
intent_metro,refine,gpt-5.6-sol,both_inert,none,0,True,6,2,0.333,0,2,0,0,1,1970,192,4.18
intent_metro,refine,gpt-5.6-sol,both_inert,none,1,True,6,2,0.333,0,2,0,0,1,2168,390,5.62
intent_metro,refine,gpt-5.6-sol,both_inert,unit,0,True,6,2,0.333,0,2,0,0,1,2459,369,6.3
intent_metro,refine,gpt-5.6-sol,both_inert,unit,1,True,6,2,0.333,0,2,0,0,1,2417,327,7.96
