case,judge_model,pair,category,trial,expected_same,judged_same,correct,confidence
config_evpn,gpt-5.6-sol,m.seg~e.vlan,gold,0,True,True,1,0.95
config_evpn,gpt-5.6-sol,m.seg~e.vlan,gold,1,True,True,1,0.96
config_evpn,gpt-5.6-sol,m.ethsvc~e.evi,gold,0,True,False,0,0.97
config_evpn,gpt-5.6-sol,m.ethsvc~e.evi,gold,1,True,False,0,0.98
config_evpn,gpt-5.6-sol,m.cos~e.tc,gold,0,True,True,1,0.96
config_evpn,gpt-5.6-sol,m.cos~e.tc,gold,1,True,True,1,0.97
config_evpn,gpt-5.6-sol,m.bwp~e.policer,gold,0,True,True,1,0.95
config_evpn,gpt-5.6-sol,m.bwp~e.policer,gold,1,True,True,1,0.96
config_evpn,gpt-5.6-sol,m.maclearn~e.maclearn,gold,0,True,True,1,0.93
config_evpn,gpt-5.6-sol,m.maclearn~e.maclearn,gold,1,True,True,1,0.96
config_evpn,gpt-5.6-sol,m.ep~e.access,gold,0,True,True,1,0.93
config_evpn,gpt-5.6-sol,m.ep~e.access,gold,1,True,True,1,0.86
config_evpn,gpt-5.6-sol,m.uni~e.ac,gold,0,True,False,0,0.94
config_evpn,gpt-5.6-sol,m.uni~e.ac,gold,1,True,False,0,0.96
config_evpn,gpt-5.6-sol,m.mtu~e.mtu,gold,0,True,False,0,0.96
config_evpn,gpt-5.6-sol,m.mtu~e.mtu,gold,1,True,False,0,0.96
config_evpn,gpt-5.6-sol,m.maclearn~e.macmob,trap,0,False,False,1,0.99
config_evpn,gpt-5.6-sol,m.maclearn~e.macmob,trap,1,False,False,1,0.99
config_evpn,gpt-5.6-sol,m.seg~e.esi,trap,0,False,False,1,0.99
config_evpn,gpt-5.6-sol,m.seg~e.esi,trap,1,False,False,1,0.99
config_evpn,gpt-5.6-sol,m.ethsvc~e.vlan,decoy,0,False,False,1,0.96
config_evpn,gpt-5.6-sol,m.ethsvc~e.vlan,decoy,1,False,False,1,0.98
config_evpn,gpt-5.6-sol,m.uni~e.policer,decoy,0,False,False,1,0.99
config_evpn,gpt-5.6-sol,m.uni~e.policer,decoy,1,False,False,1,0.99
config_evpn,gpt-5.6-sol,m.ep~e.tc,decoy,0,False,False,1,0.99
config_evpn,gpt-5.6-sol,m.ep~e.tc,decoy,1,False,False,1,0.99
config_evpn,gpt-5.6-sol,m.seg~e.maclearn,decoy,0,False,False,1,0.99
config_evpn,gpt-5.6-sol,m.seg~e.maclearn,decoy,1,False,False,1,0.99
config_evpn,gpt-5.6-sol,m.bwp~e.mtu,decoy,0,False,False,1,0.99
config_evpn,gpt-5.6-sol,m.bwp~e.mtu,decoy,1,False,False,1,1.0
