case,stack,uses_reference,placement,proposed,true_positives,false_positives,false_negatives,surviving_false_cognates,precision,recall,f1,residual,candidates,bilateral_checks,binding_ops,scaling,total_tokens,reasoning_tokens,latency_s,model
config_xdom_dc,baseline-label-matcher,False,n/a,3,2,1,3,0,0.667,0.4,0.5,10,3,3,0,~N^2,,,,
config_xdom_dc,reference-reconciler,True,n/a,5,5,0,0,0,1.0,1.0,1.0,6,5,0,14,~N,,,,
config_xdom_dc,openai-agent(no-ref),False,both_cognitive,3,3,0,2,0,1.0,0.6,0.75,10,3,0,0,~N^2,2541,407,12.39,gpt-5.6-sol
config_xdom_dc,openai-agent(no-ref),False,both_cognitive,3,3,0,2,0,1.0,0.6,0.75,10,3,0,0,~N^2,2620,510,10.96,gpt-5.6-sol
config_xdom_dc,openai-agent(ref),True,both_cognitive,5,5,0,0,0,1.0,1.0,1.0,6,5,0,14,~N,2812,0,2.76,gpt-5.6-sol
config_xdom_dc,openai-agent(ref),True,both_cognitive,5,5,0,0,0,1.0,1.0,1.0,6,5,0,14,~N,2812,0,2.66,gpt-5.6-sol
config_xdom_dc,openai-agent(no-ref),False,one_inert,5,5,0,0,0,1.0,1.0,1.0,6,5,0,0,~N^2,3375,1143,23.09,gpt-5.6-sol
config_xdom_dc,openai-agent(no-ref),False,one_inert,5,5,0,0,0,1.0,1.0,1.0,6,5,0,0,~N^2,3485,1258,26.76,gpt-5.6-sol
config_xdom_dc,openai-agent(ref),True,one_inert,5,5,0,0,0,1.0,1.0,1.0,6,5,0,14,~N,2915,70,4.57,gpt-5.6-sol
config_xdom_dc,openai-agent(ref),True,one_inert,5,5,0,0,0,1.0,1.0,1.0,6,5,0,14,~N,2982,89,5.73,gpt-5.6-sol
config_xdom_dc,openai-agent(no-ref),False,both_inert,4,4,0,1,0,1.0,0.8,0.889,8,4,0,0,~N^2,2546,462,9.94,gpt-5.6-sol
config_xdom_dc,openai-agent(no-ref),False,both_inert,4,4,0,1,0,1.0,0.8,0.889,8,4,0,0,~N^2,2463,372,8.59,gpt-5.6-sol
config_xdom_dc,openai-agent(ref),True,both_inert,5,5,0,0,0,1.0,1.0,1.0,6,5,0,14,~N,2790,62,5.02,gpt-5.6-sol
config_xdom_dc,openai-agent(ref),True,both_inert,5,5,0,0,0,1.0,1.0,1.0,6,5,0,14,~N,2817,80,5.61,gpt-5.6-sol
config_xdom_dc,openai-agent(no-ref),False,both_cognitive,5,4,1,1,0,0.8,0.8,0.8,6,5,0,0,~N^2,3695,1344,17.2,gpt-5-mini
config_xdom_dc,openai-agent(no-ref),False,both_cognitive,5,4,1,1,0,0.8,0.8,0.8,6,5,0,0,~N^2,3853,1536,17.81,gpt-5-mini
config_xdom_dc,openai-agent(ref),True,both_cognitive,5,5,0,0,0,1.0,1.0,1.0,6,5,0,14,~N,3505,448,11.05,gpt-5-mini
config_xdom_dc,openai-agent(ref),True,both_cognitive,5,5,0,0,0,1.0,1.0,1.0,6,5,0,14,~N,3743,704,13.15,gpt-5-mini
config_xdom_dc,openai-agent(no-ref),False,one_inert,6,5,1,0,0,0.833,1.0,0.909,4,6,0,0,~N^2,3763,1216,18.77,gpt-5-mini
config_xdom_dc,openai-agent(no-ref),False,one_inert,4,4,0,1,0,1.0,0.8,0.889,8,4,0,0,~N^2,4244,1920,22.29,gpt-5-mini
config_xdom_dc,openai-agent(ref),True,one_inert,5,5,0,0,0,1.0,1.0,1.0,6,5,0,14,~N,4316,1216,18.94,gpt-5-mini
config_xdom_dc,openai-agent(ref),True,one_inert,6,5,1,0,0,0.833,1.0,0.909,4,6,0,14,~N,4479,1216,18.94,gpt-5-mini
config_xdom_dc,openai-agent(no-ref),False,both_inert,6,5,1,0,0,0.833,1.0,0.909,4,6,0,0,~N^2,3589,1152,15.79,gpt-5-mini
config_xdom_dc,openai-agent(no-ref),False,both_inert,6,5,1,0,0,0.833,1.0,0.909,4,6,0,0,~N^2,3580,1152,15.35,gpt-5-mini
config_xdom_dc,openai-agent(ref),True,both_inert,5,5,0,0,0,1.0,1.0,1.0,6,5,0,14,~N,4048,1152,15.75,gpt-5-mini
config_xdom_dc,openai-agent(ref),True,both_inert,5,5,0,0,0,1.0,1.0,1.0,6,5,0,14,~N,4145,1152,17.1,gpt-5-mini
config_xdom_dc,openai-agent(no-ref),False,both_cognitive,4,4,0,1,0,1.0,0.8,0.889,8,4,0,0,~N^2,6386,4096,19.51,gpt-5-nano
config_xdom_dc,openai-agent(no-ref),False,both_cognitive,2,2,0,3,0,1.0,0.4,0.571,12,2,0,0,~N^2,5044,2880,14.95,gpt-5-nano
config_xdom_dc,openai-agent(ref),True,both_cognitive,5,5,0,0,0,1.0,1.0,1.0,6,5,0,14,~N,5041,2048,10.24,gpt-5-nano
config_xdom_dc,openai-agent(ref),True,both_cognitive,5,5,0,0,0,1.0,1.0,1.0,6,5,0,14,~N,4904,1984,10.26,gpt-5-nano
config_xdom_dc,openai-agent(no-ref),False,one_inert,5,4,1,1,0,0.8,0.8,0.8,6,5,0,0,~N^2,6762,4480,20.05,gpt-5-nano
config_xdom_dc,openai-agent(no-ref),False,one_inert,6,5,1,0,0,0.833,1.0,0.909,4,6,0,0,~N^2,5723,3328,16.59,gpt-5-nano
config_xdom_dc,openai-agent(ref),True,one_inert,6,5,1,0,0,0.833,1.0,0.909,4,6,0,14,~N,8303,5440,23.99,gpt-5-nano
config_xdom_dc,openai-agent(ref),True,one_inert,5,5,0,0,0,1.0,1.0,1.0,6,5,0,14,~N,8769,5696,27.07,gpt-5-nano
config_xdom_dc,openai-agent(no-ref),False,both_inert,6,5,1,0,0,0.833,1.0,0.909,4,6,0,0,~N^2,7428,5056,27.42,gpt-5-nano
config_xdom_dc,openai-agent(no-ref),False,both_inert,6,5,1,0,0,0.833,1.0,0.909,4,6,0,0,~N^2,5583,3392,17.41,gpt-5-nano
config_xdom_dc,openai-agent(ref),True,both_inert,5,5,0,0,0,1.0,1.0,1.0,6,5,0,14,~N,9070,6144,27.97,gpt-5-nano
config_xdom_dc,openai-agent(ref),True,both_inert,5,5,0,0,0,1.0,1.0,1.0,6,5,0,14,~N,7323,4480,20.48,gpt-5-nano
