case,model,placement,reference_variant,evidence,budget,trial,submitted,proposed,precision,recall,surviving_instance_fc,experiment_only_recall,residual_total,residual_experiment_only,residual_native,confirmed_provision,refuted_provision,interrogated,interrogate_calls,provision_calls,turns,total_tokens,reasoning_tokens,latency_s,mean_conf_correct,mean_conf_incorrect,surviving_traps
instance_hard,gpt-5-mini,both_inert,none,id-only,unbounded,0,True,8,0.875,0.636,1,0.5,9,2,1,0,0,0,0,0,1,2775,1600,23.45,0.9,0.95,a.svc100~b.svc100
instance_hard,gpt-5-mini,both_inert,none,id-only,unbounded,1,True,8,0.75,0.545,2,0.5,9,2,0,0,0,0,0,0,1,2415,1280,18.58,0.817,0.85,a.r1~b.r1;a.svc100~b.svc100
instance_hard,gpt-5-mini,both_inert,none,id-only,unbounded,2,True,8,0.875,0.636,1,0.5,9,2,1,0,0,0,0,0,1,2227,1088,15.87,0.829,0.95,a.svc100~b.svc100
instance_hard,gpt-5-mini,both_inert,none,id-only,unbounded,3,True,7,0.857,0.545,1,0.5,11,2,1,0,0,0,0,0,1,2105,960,16.3,0.842,0.95,a.svc100~b.svc100
instance_hard,gpt-5-mini,both_inert,none,id-only,unbounded,4,True,6,0.833,0.455,1,0.5,13,2,1,0,0,0,0,0,1,2844,1728,21.58,0.81,0.9,a.svc100~b.svc100
instance_hard,gpt-5-mini,both_inert,none,id-only,unbounded,5,True,8,0.875,0.636,1,0.5,9,2,1,0,0,0,0,0,1,3371,2240,28.38,0.807,0.95,a.svc100~b.svc100
instance_hard,gpt-5-mini,both_inert,none,rels,unbounded,0,True,11,1.0,1.0,0,1.0,3,0,3,0,0,0,0,0,1,4185,1728,24.49,0.791,,
instance_hard,gpt-5-mini,both_inert,none,rels,unbounded,1,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,3900,1472,23.92,0.9,,
instance_hard,gpt-5-mini,both_inert,none,rels,unbounded,2,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,3847,1408,20.76,0.894,,
instance_hard,gpt-5-mini,both_inert,none,rels,unbounded,3,True,11,1.0,1.0,0,1.0,3,0,3,0,0,0,0,0,1,3723,1280,19.38,0.845,,
instance_hard,gpt-5-mini,both_inert,none,rels,unbounded,4,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,4340,1920,26.73,0.817,,
instance_hard,gpt-5-mini,both_inert,none,rels,unbounded,5,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,3859,1472,20.72,0.8,,
instance_hard,gpt-5-mini,both_inert,none,attrs,unbounded,0,True,9,0.889,0.727,1,0.5,7,2,2,0,0,0,0,0,1,3179,1600,23.63,0.887,0.95,a.r1~b.r1
instance_hard,gpt-5-mini,both_inert,none,attrs,unbounded,1,True,5,1.0,0.455,0,0.5,15,2,3,0,0,0,0,0,1,3215,1664,22.54,0.9,,
instance_hard,gpt-5-mini,both_inert,none,attrs,unbounded,2,True,8,1.0,0.727,0,0.5,9,2,3,0,0,0,0,0,1,2973,1344,20.3,0.831,,
instance_hard,gpt-5-mini,both_inert,none,attrs,unbounded,3,True,5,1.0,0.455,0,0.5,15,2,3,0,0,0,0,0,1,3289,1728,24.16,0.92,,
instance_hard,gpt-5-mini,both_inert,none,attrs,unbounded,4,True,2,1.0,0.182,0,0.0,21,4,3,0,0,0,0,0,1,2912,1408,19.29,0.9,,
instance_hard,gpt-5-mini,both_inert,none,attrs,unbounded,5,True,5,1.0,0.455,0,0.5,15,2,3,0,0,0,0,0,1,3170,1600,26.7,0.92,,
instance_hard,gpt-5-mini,both_inert,none,attrs+rels,unbounded,0,True,11,1.0,1.0,0,1.0,3,0,3,0,0,0,0,0,1,4399,1536,22.01,0.855,,
instance_hard,gpt-5-mini,both_inert,none,attrs+rels,unbounded,1,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,4161,1280,19.9,0.867,,
instance_hard,gpt-5-mini,both_inert,none,attrs+rels,unbounded,2,True,11,1.0,1.0,0,1.0,3,0,3,0,0,0,0,0,1,4278,1408,21.4,0.882,,
instance_hard,gpt-5-mini,both_inert,none,attrs+rels,unbounded,3,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,4707,1856,27.29,0.85,,
instance_hard,gpt-5-mini,both_inert,none,attrs+rels,unbounded,4,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,1,4806,1984,28.16,0.9,,
instance_hard,gpt-5-mini,both_inert,none,attrs+rels,unbounded,5,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,4737,1856,29.37,0.861,,
instance_hard,gpt-5-mini,both_inert,none,key,unbounded,0,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,1,2517,1280,19.53,1.0,,
instance_hard,gpt-5-mini,both_inert,none,key,unbounded,1,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,1,2087,832,12.6,1.0,,
instance_hard,gpt-5-mini,both_inert,none,key,unbounded,2,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,1,2568,1280,18.12,1.0,,
instance_hard,gpt-5-mini,both_inert,none,key,unbounded,3,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,1,2184,896,14.13,0.9,,
instance_hard,gpt-5-mini,both_inert,none,key,unbounded,4,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,1,1903,640,11.46,0.95,,
instance_hard,gpt-5-mini,both_inert,none,key,unbounded,5,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,1,2072,832,14.2,1.0,,
instance_hard,gpt-5-mini,both_inert,none,key+rels,unbounded,0,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,3682,1152,17.11,0.889,,
instance_hard,gpt-5-mini,both_inert,none,key+rels,unbounded,1,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,4183,1664,22.83,0.948,,
instance_hard,gpt-5-mini,both_inert,none,key+rels,unbounded,2,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,1,3498,1024,19.0,0.9,,
instance_hard,gpt-5-mini,both_inert,none,key+rels,unbounded,3,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,3604,1088,17.24,0.928,,
instance_hard,gpt-5-mini,both_inert,none,key+rels,unbounded,4,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,4137,1600,24.16,0.878,,
instance_hard,gpt-5-mini,both_inert,none,key+rels,unbounded,5,True,11,1.0,1.0,0,1.0,3,0,3,0,0,0,0,0,1,3848,1280,20.89,0.914,,
instance_hard,gpt-5-mini,both_inert,none,key+attrs,unbounded,0,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,2938,1216,19.45,0.917,,
instance_hard,gpt-5-mini,both_inert,none,key+attrs,unbounded,1,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,2801,1088,15.42,0.917,,
instance_hard,gpt-5-mini,both_inert,none,key+attrs,unbounded,2,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,2896,1152,18.92,0.917,,
instance_hard,gpt-5-mini,both_inert,none,key+attrs,unbounded,3,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,3083,1344,17.39,0.878,,
instance_hard,gpt-5-mini,both_inert,none,key+attrs,unbounded,4,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,3016,1280,22.58,0.917,,
instance_hard,gpt-5-mini,both_inert,none,key+attrs,unbounded,5,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,2813,1088,13.86,0.844,,
instance_hard,gpt-5-mini,both_inert,none,key+attrs+rels,unbounded,0,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,4623,1664,25.08,0.939,,
instance_hard,gpt-5-mini,both_inert,none,key+attrs+rels,unbounded,1,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,1,4156,1216,17.63,0.95,,
instance_hard,gpt-5-mini,both_inert,none,key+attrs+rels,unbounded,2,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,4299,1344,18.57,0.917,,
instance_hard,gpt-5-mini,both_inert,none,key+attrs+rels,unbounded,3,True,11,1.0,1.0,0,1.0,3,0,3,0,0,0,0,0,1,4838,1856,26.98,0.895,,
instance_hard,gpt-5-mini,both_inert,none,key+attrs+rels,unbounded,4,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,4587,1600,22.43,0.939,,
instance_hard,gpt-5-mini,both_inert,none,key+attrs+rels,unbounded,5,True,9,1.0,0.818,0,0.5,7,2,3,0,0,0,0,0,1,4703,1728,24.39,0.95,,
instance_hard,gpt-5-mini,both_inert,none,name,unbounded,0,True,8,0.75,0.545,2,0.5,9,2,0,0,0,0,0,0,1,3014,1600,21.82,0.825,0.9,a.r1~b.r1;a.svc100~b.svc100
instance_hard,gpt-5-mini,both_inert,none,name,unbounded,1,True,7,0.714,0.455,2,0.5,11,2,0,0,0,0,0,0,1,2954,1600,21.53,0.82,0.925,a.r1~b.r1;a.svc100~b.svc100
instance_hard,gpt-5-mini,both_inert,none,name,unbounded,2,True,8,0.75,0.545,2,0.5,9,2,0,0,0,0,0,0,1,3498,2112,28.2,0.867,0.85,a.r1~b.r1;a.svc100~b.svc100
instance_hard,gpt-5-mini,both_inert,none,name,unbounded,3,True,5,0.6,0.273,2,0.0,15,4,0,0,0,0,0,0,1,3117,1792,26.21,0.9,0.95,a.r1~b.r1;a.svc100~b.svc100
instance_hard,gpt-5-mini,both_inert,none,name,unbounded,4,True,7,0.714,0.455,2,0.5,11,2,0,0,0,0,0,0,1,3238,1856,25.93,0.74,0.875,a.r1~b.r1;a.svc100~b.svc100
