case,model,placement,reference_variant,evidence,budget,trial,submitted,proposed,precision,recall,surviving_instance_fc,experiment_only_recall,residual_total,residual_experiment_only,residual_native,confirmed_provision,refuted_provision,interrogated,interrogate_calls,provision_calls,turns,total_tokens,reasoning_tokens,latency_s,mean_conf_correct,mean_conf_incorrect,surviving_traps
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key+attrs+rels,0,0,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,2,7435,293,12.55,0.99,,
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key+attrs+rels,0,1,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,2,7519,397,14.44,0.997,,
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key+attrs+rels,0,2,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,2,7492,361,12.66,0.99,,
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key+attrs+rels,0,3,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,2,7375,261,11.93,0.99,,
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key+attrs+rels,0,4,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,2,7316,199,11.06,0.99,,
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key+attrs+rels,0,5,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,2,7568,452,12.86,0.997,,
instance_hard,gpt-5.6-sol,one_inert,none,name+key+attrs+rels,0,0,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,2,7085,396,10.8,1.0,,
instance_hard,gpt-5.6-sol,one_inert,none,name+key+attrs+rels,0,1,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,2,7471,628,16.96,0.99,,
instance_hard,gpt-5.6-sol,one_inert,none,name+key+attrs+rels,0,2,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,2,7238,485,14.49,0.997,,
instance_hard,gpt-5.6-sol,one_inert,none,name+key+attrs+rels,0,3,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,2,7258,579,14.24,0.997,,
instance_hard,gpt-5.6-sol,one_inert,none,name+key+attrs+rels,0,4,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,2,6929,275,10.3,0.997,,
instance_hard,gpt-5.6-sol,one_inert,none,name+key+attrs+rels,0,5,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,2,7333,543,13.91,0.997,,
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key+attrs+rels,3,0,True,9,1.0,0.818,0,0.5,7,2,3,0,0,3,3,0,2,7535,401,13.1,0.996,,
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key+attrs+rels,3,1,True,9,1.0,0.818,0,0.5,7,2,3,0,0,3,3,0,2,7408,285,12.76,0.999,,
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key+attrs+rels,3,2,True,8,1.0,0.727,0,0.25,9,3,3,0,0,3,3,0,2,7591,451,16.38,0.991,,
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key+attrs+rels,3,3,True,8,1.0,0.727,0,0.25,9,3,3,0,0,3,3,0,2,7988,788,22.42,0.997,,
