case,model,placement,cell,uses_reference,lexical,class,definition,example,n_fields,trial,precision,recall,surviving_false_cognates,residual,reasoning_tokens,surviving_traps
config_evpn_indeplex,gpt-5.6-sol,both_inert,id-only,True,0,0,0,0,0,0,1.0,0.875,0,7,448,
config_evpn_indeplex,gpt-5.6-sol,both_inert,id-only,True,0,0,0,0,0,1,1.0,0.875,0,7,693,
config_evpn_indeplex,gpt-5.6-sol,both_inert,id-only,True,0,0,0,0,0,2,1.0,0.875,0,7,744,
config_evpn_indeplex,gpt-5.6-sol,both_inert,example,True,0,0,0,1,1,0,1.0,0.875,0,7,721,
config_evpn_indeplex,gpt-5.6-sol,both_inert,example,True,0,0,0,1,1,1,1.0,1.0,0,5,1368,
config_evpn_indeplex,gpt-5.6-sol,both_inert,example,True,0,0,0,1,1,2,1.0,0.875,0,7,976,
config_evpn_indeplex,gpt-5.6-sol,both_inert,definition,True,0,0,1,0,1,0,1.0,1.0,0,5,171,
config_evpn_indeplex,gpt-5.6-sol,both_inert,definition,True,0,0,1,0,1,1,1.0,1.0,0,5,290,
config_evpn_indeplex,gpt-5.6-sol,both_inert,definition,True,0,0,1,0,1,2,1.0,1.0,0,5,109,
config_evpn_indeplex,gpt-5.6-sol,both_inert,definition+example,True,0,0,1,1,2,0,1.0,1.0,0,5,215,
config_evpn_indeplex,gpt-5.6-sol,both_inert,definition+example,True,0,0,1,1,2,1,1.0,1.0,0,5,130,
config_evpn_indeplex,gpt-5.6-sol,both_inert,definition+example,True,0,0,1,1,2,2,1.0,1.0,0,5,512,
config_evpn_indeplex,gpt-5.6-sol,both_inert,class,True,0,1,0,0,1,0,1.0,0.875,0,7,313,
config_evpn_indeplex,gpt-5.6-sol,both_inert,class,True,0,1,0,0,1,1,1.0,1.0,0,5,343,
config_evpn_indeplex,gpt-5.6-sol,both_inert,class,True,0,1,0,0,1,2,1.0,0.875,0,7,223,
config_evpn_indeplex,gpt-5.6-sol,both_inert,class+example,True,0,1,0,1,2,0,1.0,0.875,0,7,726,
config_evpn_indeplex,gpt-5.6-sol,both_inert,class+example,True,0,1,0,1,2,1,1.0,1.0,0,5,1371,
config_evpn_indeplex,gpt-5.6-sol,both_inert,class+example,True,0,1,0,1,2,2,1.0,1.0,0,5,967,
config_evpn_indeplex,gpt-5.6-sol,both_inert,class+definition,True,0,1,1,0,2,0,1.0,1.0,0,5,162,
config_evpn_indeplex,gpt-5.6-sol,both_inert,class+definition,True,0,1,1,0,2,1,1.0,1.0,0,5,170,
config_evpn_indeplex,gpt-5.6-sol,both_inert,class+definition,True,0,1,1,0,2,2,1.0,1.0,0,5,235,
config_evpn_indeplex,gpt-5.6-sol,both_inert,class+definition+example,True,0,1,1,1,3,0,1.0,1.0,0,5,139,
