case,phase,model,policy,placement,reference,trial,submitted,n_intents,decision_correct,decision_accuracy,offer_correct,refer_count,best_calls,policy_calls,feasibility_calls,turns,total_tokens,reasoning_tokens,latency_s
intent_dci,negotiate,gpt-5.6-sol,premium,both_cognitive,none,0,True,3,3,1.0,3,0,3,3,3,3,6899,50,7.22
intent_dci,negotiate,gpt-5.6-sol,premium,both_cognitive,none,1,True,3,3,1.0,3,0,3,3,3,3,6888,46,12.96
intent_dci,negotiate,gpt-5.6-sol,premium,provider_inert,none,0,True,3,3,1.0,2,0,0,3,0,3,6821,425,11.16
intent_dci,negotiate,gpt-5.6-sol,premium,provider_inert,none,1,True,3,3,1.0,2,0,0,3,0,3,6731,366,9.37
intent_dci,negotiate,gpt-5.6-sol,premium,consumer_policy,none,0,True,3,3,1.0,3,0,3,3,3,4,9732,102,9.01
intent_dci,negotiate,gpt-5.6-sol,premium,consumer_policy,none,1,True,3,3,1.0,3,0,3,3,3,3,7051,79,6.89
intent_dci,negotiate,gpt-5.6-sol,premium,consumer_mute,none,0,True,3,0,0.0,0,3,3,0,3,3,7022,130,7.03
intent_dci,negotiate,gpt-5.6-sol,premium,consumer_mute,none,1,True,3,0,0.0,0,3,3,0,3,3,6966,93,6.04
intent_dci,negotiate,gpt-5.6-sol,premium,both_inert,none,0,True,3,0,0.0,0,3,0,0,0,1,2177,450,7.27
intent_dci,negotiate,gpt-5.6-sol,premium,both_inert,none,1,True,3,0,0.0,0,3,0,0,0,1,2239,512,7.58
intent_dci,negotiate,gpt-5.6-sol,premium,both_cognitive,unit,0,True,3,3,1.0,3,0,3,3,3,3,7860,59,6.55
intent_dci,negotiate,gpt-5.6-sol,premium,both_cognitive,unit,1,True,3,3,1.0,3,0,3,3,3,3,7846,50,7.06
intent_dci,negotiate,gpt-5.6-sol,premium,both_cognitive,invariant,0,True,3,3,1.0,3,0,3,3,3,3,8847,51,7.59
intent_dci,negotiate,gpt-5.6-sol,premium,both_cognitive,invariant,1,True,3,3,1.0,3,0,3,3,3,3,8843,49,5.18
intent_dci,negotiate,gpt-5.6-sol,assured,both_cognitive,none,0,True,3,3,1.0,3,0,3,3,3,3,6892,57,7.62
intent_dci,negotiate,gpt-5.6-sol,assured,both_cognitive,none,1,True,3,3,1.0,3,0,3,3,3,3,6865,40,7.45
intent_dci,negotiate,gpt-5.6-sol,assured,provider_inert,none,0,True,3,3,1.0,2,0,0,3,0,3,6581,329,9.61
intent_dci,negotiate,gpt-5.6-sol,assured,provider_inert,none,1,True,3,3,1.0,2,0,0,3,0,3,6756,390,9.42
intent_dci,negotiate,gpt-5.6-sol,assured,consumer_policy,none,0,True,3,3,1.0,3,0,3,3,3,3,7054,76,6.34
intent_dci,negotiate,gpt-5.6-sol,assured,consumer_policy,none,1,True,3,3,1.0,3,0,3,3,3,3,6988,49,6.05
intent_dci,negotiate,gpt-5.6-sol,assured,consumer_mute,none,0,True,3,0,0.0,0,3,3,0,3,3,6980,98,6.85
intent_dci,negotiate,gpt-5.6-sol,assured,consumer_mute,none,1,True,3,0,0.0,0,3,3,0,3,3,6979,86,6.66
intent_dci,negotiate,gpt-5.6-sol,assured,both_inert,none,0,True,3,0,0.0,0,3,0,0,0,1,1943,218,3.79
intent_dci,negotiate,gpt-5.6-sol,assured,both_inert,none,1,True,3,0,0.0,0,3,0,0,0,1,1946,221,3.47
intent_dci,negotiate,gpt-5.6-sol,assured,both_cognitive,unit,0,True,3,3,1.0,3,0,3,3,3,3,7831,54,8.81
intent_dci,negotiate,gpt-5.6-sol,assured,both_cognitive,unit,1,True,3,3,1.0,3,0,3,3,3,3,7862,62,6.51
intent_dci,negotiate,gpt-5.6-sol,assured,both_cognitive,invariant,0,True,3,3,1.0,3,0,3,3,3,3,8834,44,6.3
intent_dci,negotiate,gpt-5.6-sol,assured,both_cognitive,invariant,1,True,3,3,1.0,3,0,3,3,3,3,8816,39,6.22
intent_dci,negotiate,gpt-5.6-sol,economy,both_cognitive,none,0,True,3,3,1.0,3,0,3,3,3,3,6900,62,6.76
intent_dci,negotiate,gpt-5.6-sol,economy,both_cognitive,none,1,True,3,3,1.0,3,0,3,3,3,3,6889,57,7.27
intent_dci,negotiate,gpt-5.6-sol,economy,provider_inert,none,0,True,3,2,0.667,2,0,0,3,0,3,6896,480,10.56
intent_dci,negotiate,gpt-5.6-sol,economy,provider_inert,none,1,True,3,2,0.667,2,0,0,3,0,3,6968,504,11.77
intent_dci,negotiate,gpt-5.6-sol,economy,consumer_policy,none,0,True,3,3,1.0,3,0,3,3,3,3,7025,73,7.66
intent_dci,negotiate,gpt-5.6-sol,economy,consumer_policy,none,1,True,3,3,1.0,3,0,3,3,3,3,7011,70,5.94
intent_dci,negotiate,gpt-5.6-sol,economy,consumer_mute,none,0,True,3,0,0.0,0,3,3,0,3,4,9600,111,8.29
intent_dci,negotiate,gpt-5.6-sol,economy,consumer_mute,none,1,True,3,0,0.0,0,3,3,0,3,3,6924,80,6.04
intent_dci,negotiate,gpt-5.6-sol,economy,both_inert,none,0,True,3,0,0.0,0,3,0,0,0,1,2318,596,9.21
intent_dci,negotiate,gpt-5.6-sol,economy,both_inert,none,1,True,3,0,0.0,0,3,0,0,0,1,1985,263,4.91
intent_dci,negotiate,gpt-5.6-sol,economy,both_cognitive,unit,0,True,3,3,1.0,3,0,3,3,3,3,7853,64,7.08
intent_dci,negotiate,gpt-5.6-sol,economy,both_cognitive,unit,1,True,3,3,1.0,3,0,3,3,3,3,7829,56,8.8
intent_dci,negotiate,gpt-5.6-sol,economy,both_cognitive,invariant,0,True,3,3,1.0,3,0,3,3,3,3,8857,64,6.84
intent_dci,negotiate,gpt-5.6-sol,economy,both_cognitive,invariant,1,True,3,3,1.0,3,0,3,3,3,3,8812,44,6.17
intent_dci,negotiate,gpt-5-mini,premium,both_cognitive,none,0,True,3,3,1.0,3,0,3,3,3,6,15571,256,10.96
intent_dci,negotiate,gpt-5-mini,premium,both_cognitive,none,1,True,3,3,1.0,3,0,3,3,3,6,16819,448,13.47
intent_dci,negotiate,gpt-5-mini,premium,provider_inert,none,0,True,3,3,1.0,2,0,0,3,0,5,19123,2304,24.96
intent_dci,negotiate,gpt-5-mini,premium,provider_inert,none,1,True,3,3,1.0,2,0,0,3,0,3,8857,1344,18.97
intent_dci,negotiate,gpt-5-mini,premium,consumer_policy,none,0,True,3,3,1.0,3,0,3,3,3,5,11577,256,13.15
intent_dci,negotiate,gpt-5-mini,premium,consumer_policy,none,1,True,3,3,1.0,3,0,3,3,3,8,23577,640,16.47
intent_dci,negotiate,gpt-5-mini,premium,consumer_mute,none,0,True,3,0,0.0,0,3,3,0,3,8,23649,512,16.11
intent_dci,negotiate,gpt-5-mini,premium,consumer_mute,none,1,True,3,0,0.0,0,3,3,0,3,8,22314,512,14.92
intent_dci,negotiate,gpt-5-mini,premium,both_inert,none,0,True,3,2,0.667,1,1,0,0,0,1,4196,2432,23.54
intent_dci,negotiate,gpt-5-mini,premium,both_inert,none,1,True,3,0,0.0,0,3,0,0,0,1,5576,3840,35.91
intent_dci,negotiate,gpt-5-mini,premium,both_cognitive,unit,0,True,3,3,1.0,3,0,3,3,3,3,9084,512,10.1
intent_dci,negotiate,gpt-5-mini,premium,both_cognitive,unit,1,True,3,3,1.0,3,0,3,3,3,6,18163,384,13.38
intent_dci,negotiate,gpt-5-mini,premium,both_cognitive,invariant,0,True,3,3,1.0,3,0,3,3,3,6,20904,512,15.54
intent_dci,negotiate,gpt-5-mini,premium,both_cognitive,invariant,1,True,3,3,1.0,3,0,3,3,3,8,26914,320,17.74
intent_dci,negotiate,gpt-5-mini,assured,both_cognitive,none,0,True,3,3,1.0,3,0,3,3,3,6,17013,512,11.91
intent_dci,negotiate,gpt-5-mini,assured,both_cognitive,none,1,True,3,3,1.0,3,0,3,3,3,8,21357,320,12.88
intent_dci,negotiate,gpt-5-mini,assured,provider_inert,none,0,True,3,3,1.0,2,0,0,3,0,6,18128,1216,17.7
intent_dci,negotiate,gpt-5-mini,assured,provider_inert,none,1,True,3,3,1.0,2,0,0,3,0,3,9878,1856,22.49
intent_dci,negotiate,gpt-5-mini,assured,consumer_policy,none,0,True,3,3,1.0,3,0,3,3,3,6,20446,1024,20.29
intent_dci,negotiate,gpt-5-mini,assured,consumer_policy,none,1,True,3,3,1.0,3,0,3,3,3,6,16743,320,12.33
