case,phase,model,policy,placement,reference,trial,submitted,n_intents,decision_correct,decision_accuracy,offer_correct,refer_count,best_calls,policy_calls,feasibility_calls,turns,total_tokens,reasoning_tokens,latency_s
intent_hard,negotiate,gpt-5-nano,exec,both_cognitive,none,0,True,3,3,1.0,3,0,3,3,3,6,32334,4032,39.62
intent_hard,negotiate,gpt-5-nano,exec,both_cognitive,none,1,True,3,3,1.0,3,0,3,3,3,3,16519,3648,33.23
intent_hard,negotiate,gpt-5-nano,exec,provider_inert,none,0,True,3,3,1.0,3,0,0,3,0,5,36093,6528,50.15
intent_hard,negotiate,gpt-5-nano,exec,provider_inert,none,1,True,3,1,0.333,1,2,0,1,0,2,14663,5952,41.59
intent_hard,negotiate,gpt-5-nano,exec,consumer_policy,none,0,True,3,0,0.0,0,3,0,0,0,1,4225,2368,15.33
intent_hard,negotiate,gpt-5-nano,exec,consumer_policy,none,1,True,3,3,1.0,3,0,3,3,3,8,66316,5952,48.52
intent_hard,negotiate,gpt-5-nano,exec,consumer_mute,none,0,True,3,0,0.0,0,3,3,0,3,3,14159,3136,26.47
intent_hard,negotiate,gpt-5-nano,exec,consumer_mute,none,1,True,3,0,0.0,0,3,3,0,3,3,13273,2496,20.06
intent_hard,negotiate,gpt-5-nano,exec,both_inert,none,0,True,3,2,0.667,2,1,0,0,0,1,9865,8000,53.93
intent_hard,negotiate,gpt-5-nano,exec,both_inert,none,1,True,3,0,0.0,0,3,0,0,0,2,19049,8000,67.91
intent_hard,negotiate,gpt-5-nano,exec,both_cognitive,unit,0,True,3,3,1.0,3,0,3,3,3,8,61920,5376,47.56
intent_hard,negotiate,gpt-5-nano,exec,both_cognitive,unit,1,True,3,3,1.0,3,0,3,3,3,8,70156,6400,58.01
intent_hard,negotiate,gpt-5-nano,exec,both_cognitive,invariant,0,True,3,3,1.0,3,0,3,3,3,8,58267,4608,45.39
intent_hard,negotiate,gpt-5-nano,exec,both_cognitive,invariant,1,True,3,3,1.0,3,0,3,3,3,3,12845,1856,19.86
intent_hard,negotiate,gpt-5-nano,resil,both_cognitive,none,0,True,3,3,1.0,3,0,3,3,3,8,62948,5952,58.13
intent_hard,negotiate,gpt-5-nano,resil,both_cognitive,none,1,True,3,3,1.0,3,0,3,3,3,8,77890,7488,64.56
intent_hard,negotiate,gpt-5-nano,resil,provider_inert,none,0,True,3,3,1.0,2,0,0,3,0,8,55107,6208,50.36
intent_hard,negotiate,gpt-5-nano,resil,provider_inert,none,1,True,3,0,0.0,0,3,0,0,0,2,11314,3904,27.13
intent_hard,negotiate,gpt-5-nano,resil,consumer_policy,none,0,True,3,3,1.0,3,0,3,3,3,8,77080,7424,60.62
intent_hard,negotiate,gpt-5-nano,resil,consumer_policy,none,1,True,3,3,1.0,3,0,3,3,3,3,17427,3968,30.76
intent_hard,negotiate,gpt-5-nano,resil,consumer_mute,none,0,True,3,0,0.0,0,3,0,0,0,2,15198,5824,43.21
intent_hard,negotiate,gpt-5-nano,resil,consumer_mute,none,1,True,3,1,0.333,1,0,0,0,0,1,7160,5248,36.21
intent_hard,negotiate,gpt-5-nano,resil,both_inert,none,0,True,3,0,0.0,0,3,0,0,0,8,58610,5312,47.05
intent_hard,negotiate,gpt-5-nano,resil,both_inert,none,1,True,3,0,0.0,0,3,0,0,0,1,6754,4864,34.32
intent_hard,negotiate,gpt-5-nano,resil,both_cognitive,unit,0,True,3,3,1.0,3,0,3,3,3,3,20857,4992,40.8
intent_hard,negotiate,gpt-5-nano,resil,both_cognitive,unit,1,True,3,3,1.0,3,0,3,3,3,8,63486,5888,54.68
intent_hard,negotiate,gpt-5-nano,resil,both_cognitive,invariant,0,True,3,3,1.0,3,0,3,3,3,8,68930,6336,52.29
intent_hard,negotiate,gpt-5-nano,resil,both_cognitive,invariant,1,True,3,3,1.0,3,0,3,3,3,6,55399,6528,55.26
intent_hard,negotiate,gpt-5-nano,bulk,both_cognitive,none,0,True,3,3,1.0,3,0,3,3,3,8,56938,4736,55.21
intent_hard,negotiate,gpt-5-nano,bulk,both_cognitive,none,1,True,3,3,1.0,3,0,3,3,3,8,55448,4544,41.13
intent_hard,negotiate,gpt-5-nano,bulk,provider_inert,none,0,True,3,2,0.667,1,0,0,3,0,3,35369,11200,91.51
intent_hard,negotiate,gpt-5-nano,bulk,provider_inert,none,1,True,3,3,1.0,3,0,0,3,0,3,26080,6848,60.72
intent_hard,negotiate,gpt-5-nano,bulk,consumer_policy,none,0,True,3,3,1.0,3,0,3,3,3,3,17369,3840,31.46
intent_hard,negotiate,gpt-5-nano,bulk,consumer_policy,none,1,True,3,3,1.0,3,0,3,3,3,6,57454,7360,62.65
intent_hard,negotiate,gpt-5-nano,bulk,consumer_mute,none,0,True,3,0,0.0,0,3,3,0,3,3,13721,2496,22.81
intent_hard,negotiate,gpt-5-nano,bulk,consumer_mute,none,1,True,3,0,0.0,0,3,3,0,3,6,66992,8768,73.22
intent_hard,negotiate,gpt-5-nano,bulk,both_inert,none,0,True,3,0,0.0,0,3,0,0,0,1,6852,4992,39.19
intent_hard,negotiate,gpt-5-nano,bulk,both_inert,none,1,True,3,1,0.333,0,0,0,0,0,2,20692,8512,67.35
intent_hard,negotiate,gpt-5-nano,bulk,both_cognitive,unit,0,True,3,3,1.0,3,0,3,3,3,3,19416,4160,39.72
intent_hard,negotiate,gpt-5-nano,bulk,both_cognitive,unit,1,True,3,3,1.0,3,0,3,3,0,3,15281,3392,31.57
intent_hard,negotiate,gpt-5-nano,bulk,both_cognitive,invariant,0,True,3,3,1.0,3,0,3,3,3,8,44251,4672,49.61
intent_hard,negotiate,gpt-5-nano,bulk,both_cognitive,invariant,1,True,3,3,1.0,3,0,3,3,3,6,41286,3776,40.55
