case,phase,model,placement,reference,trial,submitted,n_intents,satisfaction_correct,satisfaction_accuracy,eo_correct,eo_total,fabricated,feasibility_calls,turns,total_tokens,reasoning_tokens,latency_s
intent_hard,refine,gpt-5-mini,both_cognitive,none,0,True,7,7,1.0,2,2,0,8,3,13305,2048,30.92
intent_hard,refine,gpt-5-mini,both_cognitive,unit,0,True,7,7,1.0,2,2,0,8,2,9234,1984,28.72
intent_hard,refine,gpt-5-mini,both_cognitive,invariant,0,True,7,7,1.0,2,2,0,9,2,10056,1920,29.89
intent_hard,refine,gpt-5-mini,provider_inert,none,0,True,7,5,0.714,0,2,0,0,2,8061,1920,26.21
intent_hard,refine,gpt-5-mini,provider_inert,unit,0,True,7,5,0.714,0,2,0,0,2,8788,1984,23.08
intent_hard,refine,gpt-5-mini,provider_inert,invariant,0,True,7,5,0.714,0,2,0,0,2,9627,2048,24.18
intent_hard,refine,gpt-5-mini,both_inert,none,0,True,7,5,0.714,0,2,0,0,1,3399,1408,16.01
intent_hard,refine,gpt-5-mini,both_inert,unit,0,True,7,5,0.714,0,2,0,0,1,3851,1472,19.83
intent_hard,refine,gpt-5-mini,both_inert,invariant,0,True,7,5,0.714,0,2,0,0,1,4059,1344,15.43
intent_hard,refine,gpt-5-mini,both_cognitive,none,1,True,7,7,1.0,2,2,0,8,3,13468,2304,28.74
intent_hard,refine,gpt-5-mini,both_cognitive,unit,1,True,7,7,1.0,2,2,0,7,2,8507,1600,21.2
intent_hard,refine,gpt-5-mini,both_cognitive,invariant,1,True,7,7,1.0,2,2,0,8,2,11869,3264,39.22
intent_hard,refine,gpt-5-mini,provider_inert,none,1,True,7,5,0.714,0,2,0,0,2,7440,1536,22.31
intent_hard,refine,gpt-5-mini,provider_inert,unit,1,True,7,5,0.714,0,2,0,0,2,8549,1856,21.75
intent_hard,refine,gpt-5-mini,provider_inert,invariant,1,True,7,5,0.714,0,2,0,0,2,9002,1664,20.13
intent_hard,refine,gpt-5-mini,both_inert,none,1,True,7,5,0.714,0,2,0,0,1,3622,1600,17.83
intent_hard,refine,gpt-5-mini,both_inert,unit,1,True,7,5,0.714,0,2,0,0,1,3984,1600,17.21
intent_hard,refine,gpt-5-mini,both_inert,invariant,1,True,7,5,0.714,0,2,0,0,1,4329,1600,19.32
