case,stack,model,uses_reference,uses_experiment,exp_budget,trial,precision,resolved_fraction,surviving_false_cognates,residual,turns,experiments_used,total_tokens,reasoning_tokens,latency_s
config_cross_domain,single,gpt-5.6-sol,False,False,,0,1.0,0.4,0,11,,,2122,235,8.94
config_cross_domain,single,gpt-5.6-sol,False,False,,1,1.0,0.4,0,11,,,3391,1469,31.23
config_cross_domain,single,gpt-5-nano,False,False,,0,0.833,1.0,1,3,,,5844,3712,32.52
config_cross_domain,single,gpt-5.6-sol,False,False,,2,1.0,0.4,0,11,,,2387,502,12.96
config_cross_domain,single,gpt-5-mini,False,False,,0,1.0,1.0,0,5,,,3310,1088,47.1
config_cross_domain,single,gpt-5-nano,False,False,,1,0.833,1.0,1,3,,,5656,3456,30.27
config_cross_domain,single,gpt-5-mini,False,False,,1,1.0,1.0,0,5,,,3350,1152,41.24
config_cross_domain,two-agent,gpt-5.6-sol,False,False,,0,1.0,0.2,0,13,6,0,25897,822,57.3
config_cross_domain,single,gpt-5-nano,False,False,,2,0.833,1.0,1,3,,,5878,3712,32.08
config_cross_domain,single,gpt-5-mini,False,False,,2,1.0,1.0,0,5,,,3203,1024,49.38
config_cross_domain,two-agent,gpt-5.6-sol,False,False,,1,1.0,0.2,0,13,4,0,15377,455,43.02
config_cross_domain,two-agent,gpt-5.6-sol,False,False,,2,1.0,0.2,0,13,4,0,16020,919,53.42
config_cross_domain,two-agent+exp,gpt-5.6-sol,False,True,6,0,1.0,0.2,0,13,4,1,17441,971,48.61
config_cross_domain,two-agent+exp,gpt-5.6-sol,False,True,6,1,1.0,0.2,0,13,6,1,28240,852,53.94
config_cross_domain,two-agent+exp,gpt-5.6-sol,False,True,6,2,1.0,0.4,0,11,6,1,28678,1256,62.19
config_cross_domain,two-agent/ref,gpt-5.6-sol,True,False,,0,1.0,1.0,0,5,4,0,17669,963,63.89
config_cross_domain,two-agent/ref,gpt-5.6-sol,True,False,,1,1.0,1.0,0,5,4,0,16976,695,57.49
config_cross_domain,two-agent,gpt-5-mini,False,False,,0,1.0,1.0,0,5,6,0,44416,12480,351.85
config_cross_domain,two-agent/ref,gpt-5.6-sol,True,False,,2,1.0,1.0,0,5,4,0,16904,736,51.07
config_cross_domain,single/ref,gpt-5.6-sol,True,False,,0,1.0,1.0,0,5,,,2642,34,5.19
config_cross_domain,single/ref,gpt-5.6-sol,True,False,,1,1.0,1.0,0,5,,,2604,0,4.37
config_cross_domain,single/ref,gpt-5.6-sol,True,False,,2,1.0,1.0,0,5,,,2626,0,5.27
config_big_hard,single,gpt-5.6-sol,False,False,,0,1.0,0.833,0,11,,,4174,927,23.53
config_big_hard,single,gpt-5.6-sol,False,False,,1,0.923,1.0,0,5,,,3895,512,16.89
config_big_hard,single,gpt-5.6-sol,False,False,,2,1.0,0.833,0,11,,,4563,1303,28.27
config_big_hard,two-agent,gpt-5.6-sol,False,False,,0,1.0,0.667,0,15,6,0,42487,2118,93.37
config_cross_domain,two-agent,gpt-5-nano,False,False,,0,1.0,0.6,0,9,12,0,167912,70080,615.19
config_big_hard,two-agent,gpt-5.6-sol,False,False,,1,1.0,0.75,0,13,4,0,26648,2513,93.48
config_cross_domain,two-agent,gpt-5-mini,False,False,,1,1.0,0.8,0,7,6,0,44343,12928,360.63
config_big_hard,two-agent,gpt-5.6-sol,False,False,,2,1.0,0.583,0,17,4,0,31593,2688,124.1
config_cross_domain,two-agent,gpt-5-mini,False,False,,2,1.0,0.6,0,9,2,0,13123,4864,139.65
config_big_hard,two-agent+exp,gpt-5.6-sol,False,True,15,0,0.923,1.0,0,5,6,3,42409,1440,68.41
config_big_hard,two-agent+exp,gpt-5.6-sol,False,True,15,1,1.0,1.0,0,7,6,5,43690,2636,91.1
config_big_hard,two-agent+exp,gpt-5.6-sol,False,True,15,2,1.0,1.0,0,7,6,4,43944,2496,85.41
config_big_hard,two-agent/ref,gpt-5.6-sol,True,False,,0,1.0,1.0,0,7,4,0,29991,999,85.26
config_cross_domain,two-agent+exp,gpt-5-mini,False,True,6,0,1.0,1.0,0,5,4,2,27868,8832,276.79
config_big_hard,two-agent/ref,gpt-5.6-sol,True,False,,1,1.0,1.0,0,7,4,0,29732,1021,85.0
config_cross_domain,two-agent,gpt-5-nano,False,False,,1,0.8,0.8,0,5,12,0,194897,77504,676.35
config_big_hard,two-agent/ref,gpt-5.6-sol,True,False,,2,1.0,1.0,0,7,4,0,29149,1036,80.91
config_big_hard,single/ref,gpt-5.6-sol,True,False,,0,1.0,1.0,0,7,,,4546,130,7.53
config_big_hard,single/ref,gpt-5.6-sol,True,False,,1,1.0,1.0,0,7,,,4655,230,10.55
config_big_hard,single/ref,gpt-5.6-sol,True,False,,2,1.0,1.0,0,7,,,4550,111,8.33
config_rest,single,gpt-5.6-sol,False,False,,0,1.0,0.2,0,13,,,2167,107,5.54
config_rest,single,gpt-5.6-sol,False,False,,1,1.0,0.2,0,13,,,2148,93,4.52
config_rest,single,gpt-5.6-sol,False,False,,2,1.0,0.2,0,13,,,2136,78,5.12
config_cross_domain,two-agent+exp,gpt-5-mini,False,True,6,1,1.0,1.0,0,5,4,1,27723,7360,219.94
config_rest,two-agent,gpt-5.6-sol,False,False,,0,1.0,0.2,0,13,4,0,15624,781,45.64
config_rest,two-agent,gpt-5.6-sol,False,False,,1,1.0,0.2,0,13,4,0,15536,630,44.68
config_rest,two-agent,gpt-5.6-sol,False,False,,2,1.0,0.2,0,13,4,0,15344,578,38.51
config_rest,two-agent+exp,gpt-5.6-sol,False,True,6,0,1.0,0.2,0,13,4,1,16601,754,39.1
config_rest,two-agent+exp,gpt-5.6-sol,False,True,6,1,1.0,0.4,0,11,6,2,25200,1205,46.66
config_cross_domain,two-agent+exp,gpt-5-mini,False,True,6,2,1.0,1.0,0,5,4,1,28170,7360,221.83
config_rest,two-agent+exp,gpt-5.6-sol,False,True,6,2,1.0,0.2,0,13,6,1,26150,785,43.69
config_rest,two-agent/ref,gpt-5.6-sol,True,False,,0,1.0,1.0,0,5,4,0,16547,649,46.27
config_rest,two-agent/ref,gpt-5.6-sol,True,False,,1,1.0,1.0,0,5,6,0,27702,828,59.0
config_rest,two-agent/ref,gpt-5.6-sol,True,False,,2,1.0,1.0,0,5,6,0,27135,950,56.23
config_rest,single/ref,gpt-5.6-sol,True,False,,0,1.0,1.0,0,5,,,2765,0,3.61
config_rest,single/ref,gpt-5.6-sol,True,False,,1,1.0,1.0,0,5,,,2764,0,3.2
