case,phase,model,placement,reference,trial,submitted,n_intents,satisfaction_correct,satisfaction_accuracy,eo_correct,eo_total,fabricated,feasibility_calls,turns,total_tokens,reasoning_tokens,latency_s
intent_hard,refine,gpt-5-nano,both_cognitive,none,0,True,7,5,0.714,0,2,0,4,2,10848,3712,27.02
intent_hard,refine,gpt-5-nano,both_cognitive,none,1,True,7,5,0.714,1,2,0,2,2,9523,2752,17.4
intent_hard,refine,gpt-5-nano,both_cognitive,unit,0,True,7,5,0.714,1,2,0,2,2,11099,3200,22.61
intent_hard,refine,gpt-5-nano,both_cognitive,unit,1,True,7,5,0.714,1,2,0,2,2,11351,3328,20.95
intent_hard,refine,gpt-5-nano,both_cognitive,invariant,0,True,7,6,0.857,1,2,0,3,2,14876,4800,26.97
intent_hard,refine,gpt-5-nano,both_cognitive,invariant,1,True,7,5,0.714,1,2,0,2,2,10138,2432,16.79
intent_hard,refine,gpt-5-nano,provider_inert,none,0,True,7,5,0.714,0,2,0,0,1,5818,3776,31.34
intent_hard,refine,gpt-5-nano,provider_inert,none,1,True,7,5,0.714,0,2,0,0,2,14557,6208,43.62
intent_hard,refine,gpt-5-nano,provider_inert,unit,0,True,7,5,0.714,1,2,0,0,2,11031,3840,29.58
intent_hard,refine,gpt-5-nano,provider_inert,unit,1,True,7,3,0.429,1,2,0,0,2,12929,4800,31.06
intent_hard,refine,gpt-5-nano,provider_inert,invariant,0,True,7,5,0.714,1,2,0,0,2,13080,4288,27.21
intent_hard,refine,gpt-5-nano,provider_inert,invariant,1,True,7,5,0.714,1,2,0,0,1,6237,3456,22.53
intent_hard,refine,gpt-5-nano,both_inert,none,0,True,7,5,0.714,0,2,0,0,2,12053,4352,30.69
intent_hard,refine,gpt-5-nano,both_inert,none,1,True,7,5,0.714,1,2,0,0,1,4420,2432,15.79
intent_hard,refine,gpt-5-nano,both_inert,unit,0,True,7,5,0.714,0,2,0,0,2,13738,5312,34.89
intent_hard,refine,gpt-5-nano,both_inert,unit,1,True,7,5,0.714,0,2,0,0,2,13798,4992,36.87
intent_hard,refine,gpt-5-nano,both_inert,invariant,0,True,7,5,0.714,0,2,0,0,1,6316,3584,25.09
intent_hard,refine,gpt-5-nano,both_inert,invariant,1,True,7,5,0.714,1,2,0,0,2,10804,3008,22.81
