case,phase,model,placement,reference,trial,submitted,n_intents,satisfaction_correct,satisfaction_accuracy,eo_correct,eo_total,fabricated,feasibility_calls,turns,total_tokens,reasoning_tokens,latency_s
intent_hard,refine,gpt-5.6-sol,both_cognitive,none,0,True,7,7,1.0,2,2,0,14,2,6177,182,8.43
intent_hard,refine,gpt-5.6-sol,both_cognitive,none,1,True,7,7,1.0,2,2,0,14,2,6086,141,8.57
intent_hard,refine,gpt-5.6-sol,both_cognitive,unit,0,True,7,7,1.0,2,2,0,14,2,6738,107,8.2
intent_hard,refine,gpt-5.6-sol,both_cognitive,unit,1,True,7,7,1.0,2,2,0,14,2,6729,104,8.88
intent_hard,refine,gpt-5.6-sol,both_cognitive,invariant,0,True,7,7,1.0,2,2,0,14,2,7897,321,10.07
intent_hard,refine,gpt-5.6-sol,both_cognitive,invariant,1,True,7,7,1.0,2,2,0,14,2,7576,167,7.2
intent_hard,refine,gpt-5.6-sol,provider_inert,none,0,True,7,5,0.714,0,2,0,0,2,5921,521,13.85
intent_hard,refine,gpt-5.6-sol,provider_inert,none,1,True,7,5,0.714,0,2,0,0,2,5762,554,14.01
intent_hard,refine,gpt-5.6-sol,provider_inert,unit,0,True,7,5,0.714,0,2,0,0,2,6655,503,11.9
intent_hard,refine,gpt-5.6-sol,provider_inert,unit,1,True,7,5,0.714,0,2,0,0,2,6512,591,12.88
intent_hard,refine,gpt-5.6-sol,provider_inert,invariant,0,True,7,5,0.714,0,2,0,0,1,2866,138,8.91
intent_hard,refine,gpt-5.6-sol,provider_inert,invariant,1,True,7,5,0.714,0,2,0,0,2,6926,519,15.16
intent_hard,refine,gpt-5.6-sol,both_inert,none,0,True,7,2,0.286,0,2,0,0,1,2331,362,8.15
intent_hard,refine,gpt-5.6-sol,both_inert,none,1,True,7,2,0.286,0,2,0,0,1,2238,269,6.17
intent_hard,refine,gpt-5.6-sol,both_inert,unit,0,True,7,2,0.286,0,2,0,0,1,2693,369,8.33
intent_hard,refine,gpt-5.6-sol,both_inert,unit,1,True,7,2,0.286,0,2,0,0,1,2892,568,10.78
intent_hard,refine,gpt-5.6-sol,both_inert,invariant,0,True,7,5,0.714,0,2,0,0,1,2844,148,5.55
intent_hard,refine,gpt-5.6-sol,both_inert,invariant,1,True,7,5,0.714,0,2,0,0,1,2839,143,4.73
