case,setting,stack,model,uses_reference,trial,precision,resolved_fraction,surviving_false_cognates,residual,turns,total_tokens,reasoning_tokens,latency_s
config_tapi_teas,1 · configuration (flagship),single,gpt-5.6-sol,False,0,1.0,0.667,0,8,,3721,1468,38.1
config_tapi_teas,1 · configuration (flagship),two-agent,gpt-5.6-sol,False,0,1.0,0.333,0,14,4,22027,2156,112.9
config_tapi_teas,1 · configuration (flagship),single,gpt-5.6-sol,False,1,0.9,1.0,0,0,,4123,1681,42.37
config_tapi_teas,1 · configuration (flagship),two-agent,gpt-5.6-sol,False,1,1.0,0.444,0,12,4,21505,2678,117.4
config_tapi_teas,1 · configuration (flagship),single,gpt-5.6-sol,True,0,1.0,1.0,0,2,,3057,0,5.1
config_tapi_teas,1 · configuration (flagship),two-agent,gpt-5.6-sol,True,0,1.0,1.0,0,2,6,33452,686,65.8
config_tapi_teas,1 · configuration (flagship),single,gpt-5.6-sol,True,1,1.0,1.0,0,2,,3057,0,5.62
config_tapi_teas,1 · configuration (flagship),two-agent,gpt-5.6-sol,True,1,1.0,1.0,0,2,4,20250,874,56.68
config_tapi_teas,1 · configuration (flagship),single,gpt-5-mini,False,0,1.0,1.0,0,2,,4269,1664,24.43
config_tapi_teas,1 · configuration (flagship),two-agent,gpt-5-mini,False,0,1.0,0.667,0,8,6,64688,16192,186.11
config_tapi_teas,1 · configuration (flagship),single,gpt-5-mini,False,1,1.0,1.0,0,2,,4034,1408,17.58
config_tapi_teas,1 · configuration (flagship),two-agent,gpt-5-mini,False,1,1.0,0.778,0,6,6,69521,18560,198.23
config_tapi_teas,1 · configuration (flagship),single,gpt-5-mini,True,0,1.0,1.0,0,2,,4326,896,12.27
config_tapi_teas,1 · configuration (flagship),two-agent,gpt-5-mini,True,0,1.0,1.0,0,2,2,16292,5248,67.59
config_tapi_teas,1 · configuration (flagship),single,gpt-5-mini,True,1,1.0,1.0,0,2,,4284,832,12.25
config_tapi_teas,1 · configuration (flagship),two-agent,gpt-5-mini,True,1,1.0,0.667,0,8,4,41918,14272,152.29
config_big_hard,1 · configuration (hard),single,gpt-5.6-sol,False,0,1.0,0.75,0,13,,5758,2536,59.48
config_big_hard,1 · configuration (hard),two-agent,gpt-5.6-sol,False,0,1.0,0.75,0,13,6,40748,2873,115.9
config_big_hard,1 · configuration (hard),single,gpt-5.6-sol,False,1,0.923,1.0,0,5,,4042,655,21.82
config_big_hard,1 · configuration (hard),two-agent,gpt-5.6-sol,False,1,1.0,0.5,0,19,4,31008,3316,159.26
config_big_hard,1 · configuration (hard),single,gpt-5.6-sol,True,0,1.0,1.0,0,7,,4570,142,11.05
config_big_hard,1 · configuration (hard),two-agent,gpt-5.6-sol,True,0,1.0,1.0,0,7,6,47646,1055,80.42
config_big_hard,1 · configuration (hard),single,gpt-5.6-sol,True,1,1.0,1.0,0,7,,4522,106,9.49
config_big_hard,1 · configuration (hard),two-agent,gpt-5.6-sol,True,1,1.0,1.0,0,7,4,27948,1223,71.43
config_big_hard,1 · configuration (hard),single,gpt-5-mini,False,0,0.857,1.0,0,3,,5453,1664,30.91
config_big_hard,1 · configuration (hard),two-agent,gpt-5-mini,False,0,1.0,0.833,0,11,4,42384,14336,180.42
config_big_hard,1 · configuration (hard),single,gpt-5-mini,False,1,0.857,1.0,0,3,,5965,2112,31.39
config_big_hard,1 · configuration (hard),two-agent,gpt-5-mini,False,1,0.9,0.75,0,11,6,71511,18240,252.22
config_big_hard,1 · configuration (hard),single,gpt-5-mini,True,0,1.0,1.0,0,7,,5792,1024,18.05
config_big_hard,1 · configuration (hard),two-agent,gpt-5-mini,True,0,0.909,0.833,0,9,4,46297,12288,197.84
config_big_hard,1 · configuration (hard),single,gpt-5-mini,True,1,1.0,1.0,0,7,,5731,960,18.01
config_big_hard,1 · configuration (hard),two-agent,gpt-5-mini,True,1,0.917,0.917,0,7,4,46780,11136,192.7
config_cross_domain,3 · cross-domain,single,gpt-5.6-sol,False,0,1.0,0.4,0,11,,2342,450,12.98
config_cross_domain,3 · cross-domain,two-agent,gpt-5.6-sol,False,0,1.0,0.2,0,13,4,15605,660,54.46
config_cross_domain,3 · cross-domain,single,gpt-5.6-sol,False,1,1.0,0.4,0,11,,2205,313,11.15
config_cross_domain,3 · cross-domain,two-agent,gpt-5.6-sol,False,1,1.0,0.2,0,13,4,15717,833,62.38
config_cross_domain,3 · cross-domain,single,gpt-5.6-sol,True,0,1.0,1.0,0,5,,2628,0,6.02
config_cross_domain,3 · cross-domain,two-agent,gpt-5.6-sol,True,0,1.0,1.0,0,5,4,16633,656,49.49
config_cross_domain,3 · cross-domain,single,gpt-5.6-sol,True,1,1.0,1.0,0,5,,2628,0,6.24
config_cross_domain,3 · cross-domain,two-agent,gpt-5.6-sol,True,1,1.0,1.0,0,5,4,16067,478,41.11
config_cross_domain,3 · cross-domain,single,gpt-5-mini,False,0,1.0,1.0,0,5,,3214,1088,18.2
config_cross_domain,3 · cross-domain,two-agent,gpt-5-mini,False,0,1.0,1.0,0,5,4,27628,8064,125.53
config_cross_domain,3 · cross-domain,single,gpt-5-mini,False,1,1.0,1.0,0,5,,3353,1152,18.95
config_cross_domain,3 · cross-domain,two-agent,gpt-5-mini,False,1,1.0,0.6,0,9,4,29454,9344,136.59
config_cross_domain,3 · cross-domain,single,gpt-5-mini,True,0,1.0,1.0,0,5,,3136,384,10.5
config_cross_domain,3 · cross-domain,two-agent,gpt-5-mini,True,0,1.0,1.0,0,5,4,27233,8448,127.9
config_cross_domain,3 · cross-domain,single,gpt-5-mini,True,1,1.0,1.0,0,5,,3353,576,11.88
config_cross_domain,3 · cross-domain,two-agent,gpt-5-mini,True,1,1.0,0.4,0,11,2,12689,4096,78.13
config_observability,4 · observability,single,gpt-5.6-sol,False,0,1.0,0.75,0,11,,2972,812,20.54
config_observability,4 · observability,two-agent,gpt-5.6-sol,False,0,1.0,0.25,0,15,4,17271,1324,64.42
config_observability,4 · observability,single,gpt-5.6-sol,False,1,1.0,0.75,0,11,,2622,478,12.62
config_tapi_teas,1 · configuration (flagship),single,gpt-5-nano,False,0,0.9,1.0,0,1,,6934,4224,40.1
config_observability,4 · observability,two-agent,gpt-5.6-sol,False,1,1.0,0.25,0,15,6,27962,1971,93.98
config_observability,4 · observability,single,gpt-5.6-sol,True,0,1.0,0.75,0,11,,2753,0,5.62
config_observability,4 · observability,two-agent,gpt-5.6-sol,True,0,1.0,0.75,0,11,4,17535,784,63.02
config_observability,4 · observability,single,gpt-5.6-sol,True,1,1.0,0.75,0,11,,2734,0,3.02
config_observability,4 · observability,two-agent,gpt-5.6-sol,True,1,1.0,0.75,0,11,4,17480,703,59.91
config_observability,4 · observability,single,gpt-5-mini,False,0,1.0,0.75,0,11,,3899,1600,19.15
config_observability,4 · observability,two-agent,gpt-5-mini,False,0,1.0,0.5,0,13,4,35107,11648,177.39
config_observability,4 · observability,single,gpt-5-mini,False,1,0.75,0.75,1,9,,4130,1728,23.1
config_observability,4 · observability,two-agent,gpt-5-mini,False,1,1.0,0.75,0,11,4,33143,10624,166.22
config_observability,4 · observability,single,gpt-5-mini,True,0,1.0,0.75,0,11,,3438,576,9.04
config_tapi_teas,1 · configuration (flagship),two-agent,gpt-5-nano,False,0,1.0,0.333,0,14,12,176952,76544,700.88
config_tapi_teas,1 · configuration (flagship),single,gpt-5-nano,True,0,1.0,1.0,0,2,,6074,2944,30.02
config_observability,4 · observability,two-agent,gpt-5-mini,True,0,1.0,0.75,0,11,4,34274,10880,182.61
config_observability,4 · observability,single,gpt-5-mini,True,1,1.0,0.75,0,11,,3555,704,10.56
config_observability,4 · observability,two-agent,gpt-5-mini,True,1,0.75,0.75,0,10,4,33615,9792,161.28
config_tapi_teas,1 · configuration (flagship),two-agent,gpt-5-nano,True,0,1.0,0.222,0,16,12,175149,87104,778.62
config_big_hard,1 · configuration (hard),single,gpt-5-nano,False,0,1.0,1.0,0,7,,8487,4992,39.83
config_big_hard,1 · configuration (hard),two-agent,gpt-5-nano,False,0,0.8,0.333,0,21,12,155034,84096,680.48
config_big_hard,1 · configuration (hard),single,gpt-5-nano,True,0,1.0,1.0,0,7,,8457,3776,34.85
config_big_hard,1 · configuration (hard),two-agent,gpt-5-nano,True,0,1.0,0.583,0,17,12,221134,109504,958.25
config_cross_domain,3 · cross-domain,single,gpt-5-nano,False,0,0.833,1.0,1,3,,5791,3648,37.27
config_cross_domain,3 · cross-domain,two-agent,gpt-5-nano,False,0,0.667,0.4,0,10,12,178206,97600,829.01
config_cross_domain,3 · cross-domain,single,gpt-5-nano,True,0,1.0,1.0,0,5,,4405,1728,15.18
config_cross_domain,3 · cross-domain,two-agent,gpt-5-nano,True,0,1.0,0.2,0,13,12,182319,75200,672.52
config_observability,4 · observability,single,gpt-5-nano,False,0,1.0,0.75,0,11,,5168,2944,22.66
config_observability,4 · observability,two-agent,gpt-5-nano,False,0,1.0,0.75,0,11,12,186119,80960,750.0
config_observability,4 · observability,single,gpt-5-nano,True,0,1.0,0.75,0,11,,5152,2304,21.84
config_observability,4 · observability,two-agent,gpt-5-nano,True,0,0.75,0.75,1,9,12,166466,81472,801.48
