case,stack,uses_reference,placement,proposed,true_positives,false_positives,false_negatives,surviving_false_cognates,precision,recall,f1,residual,candidates,bilateral_checks,binding_ops,scaling,total_tokens,reasoning_tokens,latency_s,model
config_evpn,baseline-label-matcher,False,n/a,6,4,2,4,1,0.667,0.5,0.571,11,6,6,0,~N^2,,,,
config_evpn,reference-reconciler,True,n/a,8,8,0,0,0,1.0,1.0,1.0,5,8,0,19,~N,,,,
config_evpn,openai-agent(no-ref),False,both_cognitive,8,8,0,0,0,1.0,1.0,1.0,5,8,0,0,~N^2,2683,75,6.73,gpt-5.6-sol
config_evpn,openai-agent(no-ref),False,both_cognitive,8,8,0,0,0,1.0,1.0,1.0,5,8,0,0,~N^2,2725,113,7.49,gpt-5.6-sol
config_evpn,openai-agent(ref),True,both_cognitive,8,8,0,0,0,1.0,1.0,1.0,5,8,0,19,~N,3373,0,3.78,gpt-5.6-sol
config_evpn,openai-agent(ref),True,both_cognitive,8,8,0,0,0,1.0,1.0,1.0,5,8,0,19,~N,3391,0,3.52,gpt-5.6-sol
config_evpn,openai-agent(no-ref),False,one_inert,7,7,0,1,0,1.0,0.875,0.933,7,7,0,0,~N^2,3348,797,18.34,gpt-5.6-sol
config_evpn,openai-agent(no-ref),False,one_inert,8,8,0,0,0,1.0,1.0,1.0,5,8,0,0,~N^2,2880,247,11.11,gpt-5.6-sol
config_evpn,openai-agent(ref),True,one_inert,8,8,0,0,0,1.0,1.0,1.0,5,8,0,19,~N,3559,173,7.63,gpt-5.6-sol
config_evpn,openai-agent(ref),True,one_inert,8,8,0,0,0,1.0,1.0,1.0,5,8,0,19,~N,3520,148,6.86,gpt-5.6-sol
config_evpn,openai-agent(no-ref),False,both_inert,7,7,0,1,0,1.0,0.875,0.933,7,7,0,0,~N^2,2788,238,7.87,gpt-5.6-sol
config_evpn,openai-agent(no-ref),False,both_inert,7,7,0,1,0,1.0,0.875,0.933,7,7,0,0,~N^2,3181,602,13.84,gpt-5.6-sol
config_evpn,openai-agent(ref),True,both_inert,8,8,0,0,0,1.0,1.0,1.0,5,8,0,19,~N,3602,248,10.75,gpt-5.6-sol
config_evpn,openai-agent(ref),True,both_inert,8,8,0,0,0,1.0,1.0,1.0,5,8,0,19,~N,3475,228,9.65,gpt-5.6-sol
config_evpn,openai-agent(no-ref),False,both_cognitive,9,8,1,0,0,0.889,1.0,0.941,3,9,0,0,~N^2,3748,832,13.87,gpt-5-mini
config_evpn,openai-agent(no-ref),False,both_cognitive,9,8,1,0,0,0.889,1.0,0.941,3,9,0,0,~N^2,3760,768,13.46,gpt-5-mini
config_evpn,openai-agent(ref),True,both_cognitive,8,8,0,0,0,1.0,1.0,1.0,5,8,0,19,~N,4179,576,12.41,gpt-5-mini
config_evpn,openai-agent(ref),True,both_cognitive,8,8,0,0,0,1.0,1.0,1.0,5,8,0,19,~N,4240,640,13.41,gpt-5-mini
config_evpn,openai-agent(no-ref),False,one_inert,9,8,1,0,0,0.889,1.0,0.941,3,9,0,0,~N^2,4191,1280,21.92,gpt-5-mini
config_evpn,openai-agent(no-ref),False,one_inert,9,8,1,0,0,0.889,1.0,0.941,3,9,0,0,~N^2,4032,1024,19.05,gpt-5-mini
config_evpn,openai-agent(ref),True,one_inert,9,8,1,0,0,0.889,1.0,0.941,3,9,0,19,~N,5292,1600,25.22,gpt-5-mini
config_evpn,openai-agent(ref),True,one_inert,9,8,1,0,0,0.889,1.0,0.941,3,9,0,19,~N,4997,1216,20.7,gpt-5-mini
config_evpn,openai-agent(no-ref),False,both_inert,9,8,1,0,0,0.889,1.0,0.941,3,9,0,0,~N^2,4427,1472,18.78,gpt-5-mini
config_evpn,openai-agent(no-ref),False,both_inert,8,8,0,0,0,1.0,1.0,1.0,5,8,0,0,~N^2,4327,1344,20.39,gpt-5-mini
config_evpn,openai-agent(ref),True,both_inert,8,8,0,0,0,1.0,1.0,1.0,5,8,0,19,~N,5121,1536,21.9,gpt-5-mini
config_evpn,openai-agent(ref),True,both_inert,8,8,0,0,0,1.0,1.0,1.0,5,8,0,19,~N,4603,1088,16.87,gpt-5-mini
config_evpn,openai-agent(no-ref),False,both_cognitive,9,8,1,0,0,0.889,1.0,0.941,3,9,0,0,~N^2,5042,2240,12.51,gpt-5-nano
config_evpn,openai-agent(no-ref),False,both_cognitive,9,8,1,0,0,0.889,1.0,0.941,3,9,0,0,~N^2,5152,2304,15.46,gpt-5-nano
