case,model,placement,reference_variant,evidence,budget,trial,submitted,proposed,precision,recall,surviving_instance_fc,experiment_only_recall,residual_total,residual_experiment_only,residual_native,confirmed_provision,refuted_provision,interrogated,interrogate_calls,provision_calls,turns,total_tokens,reasoning_tokens,latency_s,mean_conf_correct,mean_conf_incorrect,surviving_traps
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key+attrs+rels,12,0,True,11,1.0,1.0,0,1.0,3,0,3,2,1,8,8,3,2,7523,233,12.05,0.995,,
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key+attrs+rels,12,1,True,11,1.0,1.0,0,1.0,3,0,3,2,1,8,8,3,2,7521,228,10.81,0.995,,
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key+attrs+rels,12,2,True,11,1.0,1.0,0,1.0,3,0,3,2,1,8,8,3,2,7619,289,11.61,0.995,,
instance_hard,gpt-5.6-sol,both_cognitive,none,name+attrs+rels,12,0,True,11,1.0,1.0,0,1.0,3,0,3,2,0,10,10,2,3,11624,470,15.75,0.995,,
instance_hard,gpt-5.6-sol,both_cognitive,none,name+attrs+rels,12,1,True,11,1.0,1.0,0,1.0,3,0,3,2,1,8,8,3,2,7476,317,11.01,0.995,,
instance_hard,gpt-5.6-sol,both_cognitive,none,name+attrs+rels,12,2,True,11,1.0,1.0,0,1.0,3,0,3,2,1,9,9,3,3,11938,525,18.67,0.995,,
instance_hard,gpt-5.6-sol,both_cognitive,none,key+attrs+rels,12,0,True,11,1.0,1.0,0,1.0,3,0,3,2,1,8,8,3,2,7205,321,11.32,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,none,key+attrs+rels,12,1,True,11,1.0,1.0,0,1.0,3,0,3,2,1,8,8,3,2,7130,273,11.54,0.995,,
instance_hard,gpt-5.6-sol,both_cognitive,none,key+attrs+rels,12,2,True,11,1.0,1.0,0,1.0,3,0,3,2,1,8,8,3,2,7128,272,12.1,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key,12,0,True,11,1.0,1.0,0,1.0,3,0,3,0,1,8,8,1,2,3914,180,10.22,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key,12,1,True,11,1.0,1.0,0,1.0,3,0,3,0,1,8,8,1,2,3927,194,9.41,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key,12,2,True,11,1.0,1.0,0,1.0,3,0,3,0,1,8,8,1,2,3860,128,9.14,1.0,,
instance_hard,gpt-5.6-sol,both_cognitive,none,attrs+rels,12,0,True,11,1.0,1.0,0,1.0,3,0,3,2,1,9,9,3,3,11326,610,19.89,0.995,,
